Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;5260;63529;0.08279683294243574;8.279683294243574
ב;3105;63529;0.04887531678446064;4.887531678446064
ג;368;63529;0.005792630137417557;0.5792630137417557
ד;1464;63529;0.023044593807552458;2.3044593807552456
ה;6120;63529;0.09633395772009633;9.633395772009633
ו;6181;63529;0.09729414912874436;9.729414912874436
ז;523;63529;0.008232460765949409;0.8232460765949409
ח;1517;63529;0.023878858474082703;2.3878858474082705
ט;348;63529;0.005477813282123125;0.5477813282123125
י;6546;63529;0.10303955673786774;10.303955673786774
כ;1774;63529;0.027924255064616158;2.792425506461616
ך;548;63529;0.008625981835067449;0.8625981835067449
כ/ך;2322;63529;0.03655023689968361;3.655023689968361
ל;4292;63529;0.0675596971461852;6.75596971461852
מ;3307;63529;0.052054967022934405;5.20549670229344
ם;2197;63529;0.034582631554093406;3.4582631554093406
מ/ם;5504;63529;0.08663759857702781;8.66375985770278
נ;1807;63529;0.028443702875851972;2.844370287585197
ן;864;63529;0.013600088148719483;1.3600088148719482
נ/ן;2671;63529;0.04204379102457145;4.204379102457145
ס;376;63529;0.00591855687953533;0.591855687953533
ע;2582;63529;0.04064285601851123;4.0642856018511235
פ;877;63529;0.013804719104660863;1.3804719104660863
ף;119;63529;0.0018731602890018732;0.18731602890018734
פ/ף;996;63529;0.015677879393662737;1.5677879393662737
צ;787;63529;0.012388043255835918;1.2388043255835919
ץ;160;63529;0.00251853484235546;0.251853484235546
צ/ץ;947;63529;0.014906578098191377;1.4906578098191376
ק;940;63529;0.014796392198838326;1.4796392198838326
ר;3788;63529;0.05962631239276551;5.962631239276551
ש;3518;63529;0.05537628484629067;5.537628484629066
ת;4161;63529;0.06549764674400667;6.549764674400667
