Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;4361;50623;0.0861466131995338;8.614661319953381
ב;3065;50623;0.060545601801552655;6.054560180155265
ג;284;50623;0.005610098176718092;0.5610098176718092
ד;1314;50623;0.025956581000730894;2.5956581000730896
ה;4511;50623;0.0891096932224483;8.91096932224483
ו;5055;50623;0.09985579677221816;9.985579677221816
ז;372;50623;0.007348438456827924;0.7348438456827924
ח;1112;50623;0.021966299903206053;2.1966299903206052
ט;221;50623;0.004365604567094008;0.43656045670940086
י;5799;50623;0.114552673685874;11.4552673685874
כ;1333;50623;0.026331904470300063;2.6331904470300063
ך;854;50623;0.016869802263793136;1.6869802263793137
כ/ך;2187;50623;0.043201706734093195;4.3201706734093195
ל;4002;50623;0.07905497501135847;7.905497501135847
מ;2603;50623;0.05141931533097604;5.141931533097604
ם;1566;50623;0.03093455543922723;3.093455543922723
מ/ם;4169;50623;0.08235387077020327;8.235387077020327
נ;1447;50623;0.02858384528771507;2.858384528771507
ן;559;50623;0.011042411552061315;1.1042411552061315
נ/ן;2006;50623;0.039626256839776386;3.9626256839776386
ס;304;50623;0.0060051755131066906;0.6005175513106691
ע;1866;50623;0.0368607154850562;3.6860715485056197
פ;516;50623;0.01019299527882583;1.019299527882583
ף;67;50623;0.0013235090769018036;0.13235090769018035
פ/ף;583;50623;0.011516504355727633;1.1516504355727633
צ;392;50623;0.007743515793216522;0.7743515793216522
ץ;79;50623;0.0015605554787349624;0.15605554787349624
צ/ץ;471;50623;0.009304071271951484;0.9304071271951484
ק;572;50623;0.011299211820713905;1.1299211820713906
ר;2950;50623;0.05827390711731822;5.827390711731821
ש;2655;50623;0.052446516405586396;5.24465164055864
ת;2764;50623;0.05459968788890425;5.459968788890425
