Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;4222;47837;0.08825804293747518;8.825804293747517
ב;2548;47837;0.0532642097121475;5.32642097121475
ג;309;47837;0.006459435165248657;0.6459435165248657
ד;1121;47837;0.023433743754834126;2.3433743754834127
ה;4356;47837;0.09105922194117524;9.105922194117525
ו;5262;47837;0.10999853669753538;10.999853669753538
ז;423;47837;0.008842527750486025;0.8842527750486026
ח;1080;47837;0.0225766665969856;2.2576666596985597
ט;185;47837;0.0038672993707799404;0.386729937077994
י;5800;47837;0.12124506135418191;12.12450613541819
כ;1167;47837;0.024395342517298326;2.4395342517298326
ך;708;47837;0.014800259213579447;1.4800259213579448
כ/ך;1875;47837;0.03919560173087777;3.919560173087777
ל;3559;47837;0.0743984781654368;7.439847816543679
מ;2360;47837;0.049334197378598156;4.933419737859816
ם;1537;47837;0.03212994125885821;3.212994125885821
מ/ם;3897;47837;0.08146413863745636;8.146413863745636
נ;1233;47837;0.025775027698225223;2.577502769822522
ן;491;47837;0.010264021573259193;1.0264021573259194
נ/ן;1724;47837;0.036039049271484415;3.6039049271484416
ס;356;47837;0.007441938248635993;0.7441938248635993
ע;1686;47837;0.03524468507640529;3.524468507640529
פ;457;47837;0.00955327466187261;0.9553274661872609
ף;93;47837;0.0019441018458515374;0.19441018458515374
פ/ף;550;47837;0.011497376507724146;1.1497376507724146
צ;374;47837;0.00781821602525242;0.7818216025252419
ץ;100;47837;0.0020904320923134812;0.20904320923134811
צ/ץ;474;47837;0.0099086481175659;0.99086481175659
ק;617;47837;0.012897966009574179;1.2897966009574178
ר;2881;47837;0.06022534857955139;6.022534857955139
ש;2591;47837;0.0541630955118423;5.41630955118423
ת;2321;47837;0.0485189288625959;4.85189288625959
