Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;4707;66888;0.0703713670613563;7.03713670613563
ב;3353;66888;0.050128573137184544;5.012857313718454
ג;727;66888;0.010868915201530917;1.0868915201530918
ד;1758;66888;0.026282741298887694;2.6282741298887693
ה;5223;66888;0.07808575529242913;7.808575529242913
ו;7830;66888;0.11706135629709365;11.706135629709365
ז;649;66888;0.00970278674799665;0.970278674799665
ח;1606;66888;0.024010285850974762;2.4010285850974764
ט;391;66888;0.005845592632460232;0.5845592632460231
י;7944;66888;0.11876569788302835;11.876569788302834
כ;2078;66888;0.031066858031335964;3.1066858031335967
ך;799;66888;0.011945341466331779;1.1945341466331778
כ/ך;2877;66888;0.04301219949766774;4.301219949766774
ל;4549;66888;0.06800920942470996;6.800920942470996
מ;3237;66888;0.04839433082167205;4.839433082167205
ם;2180;66888;0.03259179523980385;3.259179523980385
מ/ם;5417;66888;0.0809861260614759;8.09861260614759
נ;2203;66888;0.03293565362994857;3.293565362994857
ן;790;66888;0.01181078818323167;1.181078818323167
נ/ן;2993;66888;0.04474644181318024;4.474644181318024
ס;545;66888;0.008147948809950963;0.8147948809950962
ע;2643;66888;0.039513814137064944;3.9513814137064944
פ;998;66888;0.014920464059323048;1.4920464059323049
ף;177;66888;0.0026462145676354504;0.26462145676354504
פ/ף;1175;66888;0.017566678626958498;1.7566678626958498
צ;997;66888;0.014905513694534146;1.4905513694534145
ץ;263;66888;0.003931945939480924;0.39319459394809236
צ/ץ;1260;66888;0.01883745963401507;1.883745963401507
ק;1150;66888;0.017192919507235976;1.7192919507235978
ר;3995;66888;0.05972670733165889;5.972670733165889
ש;3031;66888;0.04531455567515848;4.531455567515848
ת;3065;66888;0.0458228680779811;4.58228680779811
