Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;740;9385;0.07884922749067662;7.884922749067662
ב;514;9385;0.05476824720298348;5.476824720298349
ג;97;9385;0.010335641981885989;1.0335641981885988
ד;226;9385;0.024080980287693128;2.408098028769313
ה;695;9385;0.0740543420351625;7.40543420351625
ו;1055;9385;0.11241342567927544;11.241342567927544
ז;89;9385;0.009483217900905701;0.9483217900905702
ח;206;9385;0.021949920085242408;2.194992008524241
ט;59;9385;0.006286627597229622;0.6286627597229622
י;1186;9385;0.12637187000532765;12.637187000532766
כ;345;9385;0.036760788492274904;3.6760788492274905
ך;87;9385;0.009270111880660629;0.9270111880660629
כ/ך;432;9385;0.046030900372935536;4.603090037293554
ל;656;9385;0.06989877464038359;6.989877464038359
מ;420;9385;0.044752264251465106;4.47522642514651
ם;415;9385;0.04421949920085243;4.421949920085242
מ/ם;835;9385;0.08897176345231753;8.897176345231752
נ;276;9385;0.029408630793819925;2.9408630793819923
ן;112;9385;0.011933937133724027;1.1933937133724026
נ/ן;388;9385;0.041342567927543955;4.134256792754395
ס;53;9385;0.005647309536494406;0.5647309536494406
ע;348;9385;0.037080447522642515;3.7080447522642515
פ;162;9385;0.017261587639850827;1.7261587639850826
ף;16;9385;0.0017048481619605753;0.17048481619605754
פ/ף;178;9385;0.018966435801811402;1.8966435801811403
צ;92;9385;0.009802876931273309;0.9802876931273309
ץ;25;9385;0.002663825253063399;0.26638252530633993
צ/ץ;117;9385;0.012466702184336707;1.2466702184336707
ק;117;9385;0.012466702184336707;1.2466702184336707
ר;564;9385;0.06009589770911028;6.0095897709110275
ש;420;9385;0.044752264251465106;4.47522642514651
ת;410;9385;0.04368673415023974;4.3686734150239745
