Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;690;8033;0.08589568031868543;8.589568031868543
ב;430;8033;0.05352919208265903;5.352919208265903
ג;89;8033;0.011079297896178265;1.1079297896178266
ד;191;8033;0.02377692020415785;2.377692020415785
ה;707;8033;0.08801195070334869;8.801195070334868
ו;862;8033;0.10730735715174904;10.730735715174903
ז;48;8033;0.005975351674343334;0.5975351674343334
ח;154;8033;0.019170919955184863;1.9170919955184864
ט;47;8033;0.005850865181127847;0.5850865181127848
י;900;8033;0.1120378438939375;11.20378438939375
כ;255;8033;0.03174405576994896;3.174405576994896
ך;48;8033;0.005975351674343334;0.5975351674343334
כ/ך;303;8033;0.037719407444292294;3.771940744429229
ל;555;8033;0.0690900037345948;6.90900037345948
מ;375;8033;0.046682434955807296;4.66824349558073
ם;326;8033;0.04058259678824847;4.0582596788248475
מ/ם;701;8033;0.08726503174405577;8.726503174405577
נ;274;8033;0.034109299141043194;3.4109299141043192
ן;80;8033;0.00995891945723889;0.995891945723889
נ/ן;354;8033;0.04406821859828209;4.406821859828209
ס;72;8033;0.008963027511515;0.8963027511515
ע;321;8033;0.039960164322171046;3.996016432217105
פ;103;8033;0.01282210880119507;1.2822108801195071
ף;15;8033;0.0018672973982322917;0.18672973982322918
פ/ף;118;8033;0.014689406199427362;1.4689406199427362
צ;83;8033;0.010332378936885349;1.033237893688535
ץ;30;8033;0.0037345947964645835;0.37345947964645837
צ/ץ;113;8033;0.014066973733349931;1.406697373334993
ק;125;8033;0.015560811651935765;1.5560811651935764
ר;482;8033;0.06000248972986431;6.000248972986431
ש;377;8033;0.04693140794223827;4.693140794223827
ת;394;8033;0.04904767832690153;4.904767832690153
