Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;197;2996;0.0657543391188251;6.575433911882509
ב;172;2996;0.05740987983978638;5.740987983978639
ג;41;2996;0.013684913217623497;1.3684913217623498
ד;65;2996;0.021695594125500667;2.1695594125500666
ה;306;2996;0.10213618157543392;10.213618157543392
ו;330;2996;0.11014686248331108;11.014686248331108
ז;21;2996;0.007009345794392523;0.7009345794392523
ח;54;2996;0.018024032042723633;1.8024032042723632
ט;16;2996;0.0053404539385847796;0.5340453938584779
י;373;2996;0.12449933244325767;12.449933244325766
כ;95;2996;0.03170894526034713;3.170894526034713
ך;25;2996;0.008344459279038718;0.8344459279038717
כ/ך;120;2996;0.04005340453938585;4.005340453938585
ל;211;2996;0.07042723631508678;7.042723631508678
מ;118;2996;0.03938584779706275;3.938584779706275
ם;132;2996;0.044058744993324434;4.405874499332444
מ/ם;250;2996;0.08344459279038718;8.344459279038718
נ;71;2996;0.02369826435246996;2.369826435246996
ן;37;2996;0.012349799732977304;1.2349799732977305
נ/ן;108;2996;0.036048064085447265;3.6048064085447264
ס;24;2996;0.00801068090787717;0.801068090787717
ע;121;2996;0.040387182910547395;4.03871829105474
פ;48;2996;0.01602136181575434;1.602136181575434
ף;12;2996;0.004005340453938585;0.4005340453938585
פ/ף;60;2996;0.020026702269692925;2.0026702269692924
צ;29;2996;0.009679572763684913;0.9679572763684913
ץ;11;2996;0.003671562082777036;0.36715620827770357
צ/ץ;40;2996;0.01335113484646195;1.335113484646195
ק;58;2996;0.019359145527369826;1.9359145527369825
ר;163;2996;0.05440587449933244;5.440587449933244
ש;131;2996;0.04372496662216288;4.372496662216288
ת;135;2996;0.04506008010680908;4.506008010680908
