Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;1087;12432;0.08743564993564994;8.743564993564993
ב;685;12432;0.0550997425997426;5.5099742599742605
ג;118;12432;0.009491634491634492;0.9491634491634492
ד;319;12432;0.02565958815958816;2.565958815958816
ה;1388;12432;0.11164736164736165;11.164736164736166
ו;1450;12432;0.11663449163449163;11.663449163449163
ז;88;12432;0.007078507078507079;0.7078507078507079
ח;224;12432;0.018018018018018018;1.8018018018018018
ט;47;12432;0.0037805662805662807;0.37805662805662804
י;1497;12432;0.12041505791505791;12.041505791505791
כ;334;12432;0.026866151866151867;2.6866151866151866
ך;74;12432;0.005952380952380952;0.5952380952380952
כ/ך;408;12432;0.032818532818532815;3.2818532818532815
ל;764;12432;0.061454311454311454;6.145431145431146
מ;546;12432;0.04391891891891892;4.391891891891892
ם;464;12432;0.03732303732303732;3.7323037323037322
מ/ם;1010;12432;0.08124195624195624;8.124195624195623
נ;372;12432;0.029922779922779922;2.9922779922779923
ן;151;12432;0.012146074646074647;1.2146074646074647
נ/ן;523;12432;0.04206885456885457;4.206885456885457
ס;91;12432;0.00731981981981982;0.7319819819819819
ע;389;12432;0.03129021879021879;3.1290218790218787
פ;120;12432;0.009652509652509652;0.9652509652509652
ף;25;12432;0.002010939510939511;0.2010939510939511
פ/ף;145;12432;0.011663449163449163;1.1663449163449164
צ;186;12432;0.014961389961389961;1.4961389961389961
ץ;45;12432;0.00361969111969112;0.36196911196911197
צ/ץ;231;12432;0.018581081081081082;1.8581081081081081
ק;136;12432;0.010939510939510939;1.093951093951094
ר;707;12432;0.05686936936936937;5.686936936936937
ש;519;12432;0.04174710424710425;4.174710424710424
ת;606;12432;0.048745173745173745;4.874517374517374
