Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;1518;26507;0.057267891500358395;5.72678915003584
ב;1587;26507;0.059870977477647414;5.987097747764741
ג;235;26507;0.008865582676274191;0.8865582676274192
ד;756;26507;0.02852076809899272;2.852076809899272
ה;1454;26507;0.05485343494171351;5.485343494171351
ו;2722;26507;0.10268985550986531;10.268985550986532
ז;202;26507;0.0076206285132229224;0.7620628513222922
ח;862;26507;0.03251971177424831;3.251971177424831
ט;233;26507;0.00879013090881654;0.8790130908816539
י;2992;26507;0.11287584411664843;11.287584411664843
כ;848;26507;0.031991549402044746;3.1991549402044748
ך;385;26507;0.014524465235598144;1.4524465235598143
כ/ך;1233;26507;0.046516014637642884;4.651601463764289
ל;1784;26507;0.06730297657222621;6.730297657222621
מ;1315;26507;0.049609537103406647;4.9609537103406645
ם;876;26507;0.03304787414645188;3.3047874146451885
מ/ם;2191;26507;0.08265741124985852;8.265741124985853
נ;871;26507;0.03285924472780775;3.2859244727807746
ן;381;26507;0.014373561700682838;1.4373561700682838
נ/ן;1252;26507;0.047232806428490585;4.723280642849058
ס;289;26507;0.010902780397630814;1.0902780397630814
ע;1110;26507;0.04187573093899725;4.187573093899725
פ;563;26507;0.021239672539329235;2.1239672539329235
ף;94;26507;0.003546233070509677;0.3546233070509677
פ/ף;657;26507;0.02478590560983891;2.478590560983891
צ;373;26507;0.014071754630852227;1.4071754630852227
ץ;88;26507;0.0033198777681367185;0.33198777681367186
צ/ץ;461;26507;0.017391632398988947;1.7391632398988948
ק;504;26507;0.019013845399328478;1.9013845399328477
ר;1643;26507;0.06198362696646169;6.198362696646169
ש;1312;26507;0.04949635945222017;4.949635945222017
ת;1510;26507;0.05696608443052779;5.696608443052779
