Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;281;5151;0.05455251407493691;5.455251407493691
ב;260;5151;0.050475635798874006;5.047563579887401
ג;65;5151;0.012618908949718502;1.2618908949718501
ד;188;5151;0.0364977674238012;3.64977674238012
ה;366;5151;0.07105416423995341;7.105416423995341
ו;481;5151;0.09337992622791691;9.337992622791692
ז;38;5151;0.007377208309066201;0.7377208309066201
ח;132;5151;0.0256260920209668;2.56260920209668
ט;32;5151;0.0062123859444768005;0.62123859444768
י;668;5151;0.1296835565909532;12.968355659095321
כ;143;5151;0.027761599689380703;2.7761599689380705
ך;104;5151;0.020190254319549603;2.0190254319549603
כ/ך;247;5151;0.0479518540089303;4.79518540089303
ל;319;5151;0.06192972238400311;6.19297223840031
מ;273;5151;0.0529994175888177;5.29994175888177
ם;171;5151;0.033197437390797904;3.3197437390797906
מ/ם;444;5151;0.08619685497961561;8.619685497961562
נ;252;5151;0.0489225393127548;4.89225393127548
ן;68;5151;0.013201320132013201;1.3201320132013201
נ/ן;320;5151;0.062123859444768004;6.2123859444768
ס;36;5151;0.006988934187536401;0.6988934187536401
ע;184;5151;0.0357212191807416;3.57212191807416
פ;106;5151;0.0205785284410794;2.05785284410794
ף;11;5151;0.0021355076684139;0.21355076684139002
פ/ף;117;5151;0.022714036109493303;2.2714036109493305
צ;60;5151;0.011648223645894;1.1648223645894
ץ;8;5151;0.0015530964861192001;0.15530964861192
צ/ץ;68;5151;0.013201320132013201;1.3201320132013201
ק;62;5151;0.012036497767423802;1.2036497767423802
ר;288;5151;0.05591147350029121;5.591147350029121
ש;249;5151;0.048340128130460104;4.8340128130460105
ת;306;5151;0.0594059405940594;5.9405940594059405
