Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;430;4947;0.08692136648473822;8.692136648473822
ב;238;4947;0.048109965635738834;4.810996563573884
ג;60;4947;0.01212856276531231;1.2128562765312312
ד;115;4947;0.023246411966848596;2.3246411966848597
ה;435;4947;0.08793208004851426;8.793208004851426
ו;493;4947;0.09965635738831616;9.965635738831615
ז;43;4947;0.008692136648473823;0.8692136648473823
ח;88;4947;0.017788558722458055;1.7788558722458054
ט;29;4947;0.00586213866990095;0.586213866990095
י;565;4947;0.11421063270669092;11.421063270669093
כ;128;4947;0.02587426723266626;2.587426723266626
ך;70;4947;0.014149989892864362;1.4149989892864363
כ/ך;198;4947;0.04002425712553062;4.0024257125530625
ל;386;4947;0.0780270871235092;7.80270871235092
מ;249;4947;0.05033353547604609;5.033353547604609
ם;134;4947;0.027087123509197494;2.7087123509197495
מ/ם;383;4947;0.07742065898524358;7.742065898524358
נ;155;4947;0.0313321204770568;3.13321204770568
ן;60;4947;0.01212856276531231;1.2128562765312312
נ/ן;215;4947;0.04346068324236911;4.346068324236911
ס;9;4947;0.0018192844147968466;0.18192844147968465
ע;199;4947;0.04022639983828583;4.022639983828583
פ;37;4947;0.007479280371942592;0.7479280371942592
ף;3;4947;0.0006064281382656155;0.06064281382656155
פ/ף;40;4947;0.008085708510208208;0.8085708510208208
צ;35;4947;0.007074994946432181;0.7074994946432182
ץ;8;4947;0.0016171417020416413;0.16171417020416412
צ/ץ;43;4947;0.008692136648473823;0.8692136648473823
ק;81;4947;0.01637355973317162;1.637355973317162
ר;267;4947;0.053972104305639784;5.3972104305639785
ש;254;4947;0.05134424903982211;5.134424903982211
ת;376;4947;0.07600565999595714;7.600565999595714
