Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;812;12112;0.06704095112285337;6.704095112285337
ב;616;12112;0.05085865257595773;5.085865257595773
ג;106;12112;0.008751651254953766;0.8751651254953765
ד;427;12112;0.035254293262879786;3.525429326287979
ה;1116;12112;0.09214002642007926;9.214002642007927
ו;1276;12112;0.10535006605019816;10.535006605019817
ז;62;12112;0.00511889035667107;0.5118890356671071
ח;210;12112;0.017338177014531043;1.7338177014531042
ט;53;12112;0.004375825627476883;0.43758256274768825
י;1179;12112;0.09734147952443857;9.734147952443857
כ;380;12112;0.031373844121532365;3.1373844121532364
ך;230;12112;0.018989431968295906;1.8989431968295907
כ/ך;610;12112;0.05036327608982827;5.036327608982827
ל;954;12112;0.07876486129458389;7.876486129458389
מ;786;12112;0.06489431968295904;6.4894319682959045
ם;359;12112;0.02964002642007926;2.9640026420079257
מ/ם;1145;12112;0.0945343461030383;9.45343461030383
נ;304;12112;0.02509907529722589;2.509907529722589
ן;180;12112;0.014861294583883751;1.486129458388375
נ/ן;484;12112;0.039960369881109646;3.9960369881109647
ס;144;12112;0.011889035667107;1.1889035667107
ע;397;12112;0.0327774108322325;3.27774108322325
פ;143;12112;0.011806472919418758;1.1806472919418758
ף;18;12112;0.001486129458388375;0.1486129458388375
פ/ף;161;12112;0.013292602377807133;1.3292602377807134
צ;66;12112;0.005449141347424042;0.5449141347424042
ץ;23;12112;0.0018989431968295905;0.18989431968295906
צ/ץ;89;12112;0.007348084544253633;0.7348084544253632
ק;105;12112;0.008669088507265521;0.8669088507265521
ר;750;12112;0.0619220607661823;6.19220607661823
ש;712;12112;0.058784676354029064;5.878467635402906
ת;704;12112;0.05812417437252312;5.812417437252312
