Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;2098;24291;0.08636943724013009;8.636943724013008
ב;1229;24291;0.05059487052817916;5.059487052817916
ג;238;24291;0.009797867522950887;0.9797867522950887
ד;1174;24291;0.048330657445144296;4.833065744514429
ה;1646;24291;0.06776172244864354;6.7761722448643535
ו;2375;24291;0.0977728376765057;9.77728376765057
ז;235;24291;0.009674364991148985;0.9674364991148985
ח;560;24291;0.02305380593635503;2.305380593635503
ט;143;24291;0.005886954015890659;0.588695401589066
י;2733;24291;0.11251080647153267;11.251080647153266
כ;735;24291;0.030258120291465976;3.0258120291465977
ך;250;24291;0.010291877650158494;1.0291877650158494
כ/ך;985;24291;0.04054999794162447;4.054999794162447
ל;2087;24291;0.08591659462352312;8.591659462352313
מ;1357;24291;0.05586431188506031;5.586431188506031
ם;427;24291;0.017578527026470708;1.7578527026470707
מ/ם;1784;24291;0.07344283891153101;7.344283891153101
נ;1022;24291;0.04207319583384793;4.207319583384793
ן;619;24291;0.025482689061792435;2.5482689061792434
נ/ן;1641;24291;0.06755588489564036;6.755588489564037
ס;155;24291;0.006380964143098267;0.6380964143098267
ע;896;24291;0.036886089498168045;3.6886089498168046
פ;328;24291;0.013502943477007945;1.3502943477007945
ף;36;24291;0.0014820303816228233;0.14820303816228234
פ/ף;364;24291;0.01498497385863077;1.498497385863077
צ;238;24291;0.009797867522950887;0.9797867522950887
ץ;27;24291;0.0011115227862171174;0.11115227862171174
צ/ץ;265;24291;0.010909390309168005;1.0909390309168006
ק;384;24291;0.015808324070643448;1.580832407064345
ר;1271;24291;0.05232390597340579;5.232390597340579
ש;927;24291;0.0381622823267877;3.81622823267877
ת;1101;24291;0.04532542917129801;4.532542917129801
