Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;1463;22513;0.06498467552081019;6.498467552081019
ב;1305;22513;0.05796650823968374;5.796650823968374
ג;188;22513;0.008350730688935281;0.8350730688935281
ד;594;22513;0.026384755474614666;2.6384755474614665
ה;2044;22513;0.09079198685204104;9.079198685204105
ו;2543;22513;0.11295695820192778;11.295695820192778
ז;212;22513;0.009416781415182339;0.9416781415182339
ח;574;22513;0.025496379869408788;2.549637986940879
ט;104;22513;0.004619553147070582;0.46195531470705814
י;2736;22513;0.12152978279216453;12.152978279216454
כ;502;22513;0.022298227690667614;2.2298227690667614
ך;131;22513;0.0058188602140985205;0.581886021409852
כ/ך;633;22513;0.028117087904766136;2.8117087904766134
ל;1533;22513;0.06809399013903078;6.809399013903078
מ;1071;22513;0.04757251365877493;4.757251365877493
ם;1088;22513;0.04832763292319993;4.832763292319993
מ/ם;2159;22513;0.09590014658197486;9.590014658197486
נ;987;22513;0.04384133611691023;4.3841336116910234
ן;287;22513;0.012748189934704394;1.2748189934704395
נ/ן;1274;22513;0.05658952605161462;5.6589526051614625
ס;126;22513;0.005596766312797051;0.5596766312797051
ע;927;22513;0.041176209301292586;4.117620930129259
פ;227;22513;0.01008306311908675;1.008306311908675
ף;29;22513;0.0012881446275485274;0.12881446275485275
פ/ף;256;22513;0.011371207746635277;1.1371207746635277
צ;189;22513;0.008395149469195576;0.8395149469195575
ץ;33;22513;0.0014658197485897038;0.14658197485897037
צ/ץ;222;22513;0.00986096921778528;0.986096921778528
ק;251;22513;0.011149113845333807;1.1149113845333807
ר;1177;22513;0.0522809043663661;5.22809043663661
ש;1140;22513;0.05063740949673522;5.063740949673521
ת;1052;22513;0.04672855683382934;4.6728556833829344
