Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;3111;44558;0.06981911216840972;6.981911216840972
ב;2807;44558;0.06299654383051304;6.299654383051304
ג;392;44558;0.008797522330445711;0.8797522330445711
ד;1386;44558;0.031105525382647336;3.1105525382647334
ה;3474;44558;0.0779657973876745;7.796579738767449
ו;5446;44558;0.12222272094797791;12.222272094797791
ז;421;44558;0.009448359441626643;0.9448359441626644
ח;1083;44558;0.024305399703756902;2.43053997037569
ט;164;44558;0.003680596077023206;0.3680596077023206
י;5612;44558;0.1259482023430136;12.594820234301359
כ;889;44558;0.019951523856546523;1.9951523856546522
ך;272;44558;0.006104403249697024;0.6104403249697024
כ/ך;1161;44558;0.026055927106243548;2.6055927106243546
ל;3562;44558;0.07994075138022352;7.994075138022352
מ;1994;44558;0.044750662058440686;4.475066205844069
ם;1453;44558;0.03260918353606535;3.2609183536065354
מ/ם;3447;44558;0.07735984559450604;7.735984559450603
נ;1578;44558;0.03541451591184524;3.541451591184524
ן;757;44558;0.016989092867722967;1.6989092867722968
נ/ן;2335;44558;0.052403608779568206;5.240360877956821
ס;198;44558;0.004443646483235334;0.44436464832353334
ע;1710;44558;0.03837694690066879;3.837694690066879
פ;499;44558;0.011198886844113291;1.1198886844113292
ף;135;44558;0.003029758965842273;0.3029758965842273
פ/ף;634;44558;0.014228645809955564;1.4228645809955565
צ;363;44558;0.008146685219264779;0.8146685219264779
ץ;74;44558;0.0016607567664616903;0.16607567664616904
צ/ץ;437;44558;0.00980744198572647;0.9807441985726469
ק;441;44558;0.009897212621751425;0.9897212621751426
ר;2418;44558;0.05426634947708604;5.426634947708604
ש;2316;44558;0.05197719825844966;5.197719825844966
ת;2003;44558;0.04495264598949684;4.495264598949684
