Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;45716;553785;0.0825518928826169;8.25518928826169
ב;30108;553785;0.05436766976353639;5.436766976353638
ג;5074;553785;0.009162400570618562;0.9162400570618562
ד;15042;553785;0.02716216582247623;2.716216582247623
ה;48483;553785;0.08754841680435548;8.754841680435547
ו;61548;553785;0.11114060510848073;11.114060510848073
ז;3958;553785;0.007147178056465957;0.7147178056465957
ח;11961;553785;0.021598634849264605;2.1598634849264604
ט;2513;553785;0.004537862166725353;0.4537862166725353
י;64673;553785;0.11678358929909621;11.67835892990962
כ;15422;553785;0.027848352700055076;2.7848352700055075
ך;6621;553785;0.011955903464340854;1.1955903464340853
כ/ך;22043;553785;0.03980425616439593;3.980425616439593
ל;40848;553785;0.07376147782984371;7.376147782984371
מ;26251;553785;0.047402872956111126;4.740287295611113
ם;19373;553785;0.03498289047193406;3.498289047193406
מ/ם;45624;553785;0.08238576342804518;8.23857634280452
נ;17670;553785;0.031907689807416234;3.1907689807416233
ן;6428;553785;0.011607392760728441;1.160739276072844
נ/ן;24098;553785;0.043515082568144674;4.351508256814467
ס;3258;553785;0.005883149597768087;0.5883149597768087
ע;20292;553785;0.03664237926271026;3.664237926271026
פ;6906;553785;0.012470543622524987;1.2470543622524988
ף;943;553785;0.0017028269093601308;0.1702826909360131
פ/ף;7849;553785;0.014173370531885119;1.4173370531885119
צ;5388;553785;0.009729407622091606;0.9729407622091606
ץ;1481;553785;0.0026743230676164937;0.26743230676164936
צ/ץ;6869;553785;0.0124037306897081;1.24037306897081
ק;7161;553785;0.01293101113247921;1.293101113247921
ר;31677;553785;0.057200899265960614;5.720089926596062
ש;26440;553785;0.04774416063995955;4.774416063995955
ת;28550;553785;0.05155430356546313;5.155430356546313
