Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;95685;1197042;0.07993453863774204;7.993453863774204
ב;65216;1197042;0.05448096223858478;5.448096223858478
ג;10080;1197042;0.008420757166415214;0.8420757166415214
ד;32371;1197042;0.027042493078772507;2.7042493078772507
ה;101962;1197042;0.08517829783750278;8.517829783750278
ו;129606;1197042;0.10827189020936609;10.82718902093661
ז;9099;1197042;0.00760123704932659;0.760123704932659
ח;27598;1197042;0.02305516431336578;2.305516431336578
ט;6310;1197042;0.005271327154769841;0.5271327154769841
י;137870;1197042;0.1151755744577049;11.51755744577049
כ;33466;1197042;0.027957247949528922;2.7957247949528923
ך;14002;1197042;0.01169716684961764;1.169716684961764
כ/ך;47468;1197042;0.03965441479914656;3.9654414799146562
ל;88302;1197042;0.07376683524888851;7.376683524888851
מ;57638;1197042;0.04815035729740477;4.815035729740477
ם;41291;1197042;0.034494194856989145;3.4494194856989147
מ/ם;98929;1197042;0.08264455215439391;8.26445521543939
נ;39852;1197042;0.03329206494007729;3.329206494007729
ן;15241;1197042;0.012732218251322844;1.2732218251322844
נ/ן;55093;1197042;0.04602428319140014;4.602428319140014
ס;7635;1197042;0.0063782223180139045;0.6378222318013904
ע;44811;1197042;0.0374347767246262;3.74347767246262
פ;15730;1197042;0.013140725221003105;1.3140725221003104
ף;2554;1197042;0.002133592639188934;0.2133592639188934
פ/ף;18284;1197042;0.01527431786019204;1.527431786019204
צ;11689;1197042;0.00976490382125272;0.9764903821252721
ץ;3288;1197042;0.0027467707899973435;0.27467707899973437
צ/ץ;14977;1197042;0.012511674611250065;1.2511674611250065
ק;16278;1197042;0.01359852035266933;1.359852035266933
ר;68064;1197042;0.05686016029512749;5.686016029512749
ש;58198;1197042;0.04861817713998339;4.861817713998339
ת;63206;1197042;0.05280182316075793;5.280182316075793
