Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;6798;99478;0.06833671766621766;6.833671766621766
ב;5978;99478;0.0600936890568769;6.0093689056876896
ג;673;99478;0.006765314944007721;0.6765314944007721
ד;2718;99478;0.027322624097790467;2.7322624097790467
ה;8690;99478;0.08735599831118439;8.735599831118439
ו;12139;99478;0.12202698083998471;12.202698083998472
ז;930;99478;0.00934880073986208;0.9348800739862081
ח;2253;99478;0.022648223727859428;2.2648223727859427
ט;386;99478;0.0038802549307384547;0.3880254930738455
י;12255;99478;0.12319306781398902;12.319306781398902
כ;2448;99478;0.024608456141056313;2.460845614105631
ך;839;99478;0.008434025613703532;0.8434025613703532
כ/ך;3287;99478;0.03304248175475984;3.3042481754759843
ל;8036;99478;0.08078168037153943;8.078168037153944
מ;4719;99478;0.047437624399364685;4.743762439936469
ם;3614;99478;0.03632964072458232;3.632964072458232
מ/ם;8333;99478;0.083767265123947;8.3767265123947
נ;2988;99478;0.030036792054524617;3.0036792054524617
ן;1332;99478;0.013389895253221817;1.3389895253221817
נ/ן;4320;99478;0.04342668730774644;4.342668730774644
ס;535;99478;0.005378073543899154;0.5378073543899153
ע;3754;99478;0.037736987072518546;3.773698707251855
פ;1081;99478;0.01086672430085044;1.0866724300850439
ף;262;99478;0.002633748165423511;0.26337481654235106
פ/ף;1343;99478;0.01350047246627395;1.350047246627395
צ;827;99478;0.00831339592673757;0.831339592673757
ץ;169;99478;0.0016988680914373027;0.16988680914373028
צ/ץ;996;99478;0.010012264018174873;1.0012264018174872
ק;1043;99478;0.010484730292124891;1.048473029212489
ר;5233;99478;0.0526045959910734;5.26045959910734
ש;5077;99478;0.051036410060515895;5.103641006051589
ת;4701;99478;0.04725667986891574;4.725667986891574
