Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;2960;39807;0.07435878111889868;7.435878111889868
ב;2132;39807;0.05355841937347703;5.355841937347703
ג;531;39807;0.013339362423694325;1.3339362423694325
ד;914;39807;0.022960785791443717;2.2960785791443716
ה;3867;39807;0.09714371844148015;9.714371844148015
ו;4434;39807;0.11138744441932323;11.138744441932323
ז;271;39807;0.006807847865953225;0.6807847865953225
ח;940;39807;0.023613937247217828;2.3613937247217827
ט;170;39807;0.004270605672369181;0.42706056723691815
י;4332;39807;0.10882508101590173;10.882508101590172
כ;1127;39807;0.028311603486823926;2.8311603486823924
ך;221;39807;0.005551787374079935;0.5551787374079935
כ/ך;1348;39807;0.03386339086090386;3.3863390860903864
ל;2882;39807;0.07239932675157636;7.239932675157636
מ;1767;39807;0.04438917778280202;4.438917778280202
ם;1472;39807;0.03697842088074962;3.6978420880749616
מ/ם;3239;39807;0.08136759866355164;8.136759866355165
נ;1354;39807;0.03401411811992865;3.4014118119928654
ן;663;39807;0.01665536212223981;1.665536212223981
נ/ן;2017;39807;0.05066948024216846;5.066948024216846
ס;159;39807;0.003994272364157058;0.39942723641570577
ע;1642;39807;0.041249026553118795;4.12490265531188
פ;465;39807;0.011681362574421584;1.1681362574421583
ף;72;39807;0.0018087271082975356;0.18087271082975356
פ/ף;537;39807;0.01349008968271912;1.349008968271912
צ;393;39807;0.009872635466124048;0.9872635466124049
ץ;116;39807;0.0029140603411460294;0.2914060341146029
צ/ץ;509;39807;0.012786695807270078;1.2786695807270079
ק;432;39807;0.010852362649785214;1.0852362649785214
ר;2585;39807;0.06493832742984902;6.493832742984902
ש;1969;39807;0.049463662169970106;4.946366216997011
ת;1937;39807;0.048659783455171204;4.865978345517121
