Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;3389;38944;0.08702239112571898;8.702239112571899
ב;2106;38944;0.05407764995891536;5.407764995891537
ג;379;38944;0.009731922760887428;0.9731922760887428
ד;902;38944;0.023161462612982745;2.3161462612982744
ה;3133;38944;0.0804488496302383;8.04488496302383
ו;4466;38944;0.11467748562037798;11.467748562037798
ז;275;38944;0.007061421528348398;0.7061421528348398
ח;843;38944;0.02164646672144618;2.164646672144618
ט;139;38944;0.003569227608874281;0.35692276088742814
י;4867;38944;0.12497432210353328;12.497432210353328
כ;883;38944;0.022673582580115037;2.2673582580115035
ך;339;38944;0.00870480690221857;0.8704806902218569
כ/ך;1222;38944;0.03137838948233361;3.137838948233361
ל;2937;38944;0.07541598192276089;7.541598192276089
מ;1849;38944;0.047478430566967954;4.747843056696795
ם;1337;38944;0.034331347576006574;3.4331347576006572
מ/ם;3186;38944;0.08180977814297452;8.180977814297453
נ;1299;38944;0.03335558751027116;3.335558751027116
ן;572;38944;0.014687756778964667;1.4687756778964667
נ/ן;1871;38944;0.048043344289235825;4.804334428923583
ס;260;38944;0.006676253081347576;0.6676253081347576
ע;1491;38944;0.038285743631881676;3.8285743631881677
פ;502;38944;0.012890304026294166;1.2890304026294166
ף;86;38944;0.0022082990961380445;0.22082990961380444
פ/ף;588;38944;0.01509860312243221;1.509860312243221
צ;284;38944;0.007292522596548891;0.7292522596548892
ץ;73;38944;0.0018744864420706655;0.18744864420706656
צ/ץ;357;38944;0.009167009038619556;0.9167009038619556
ק;468;38944;0.012017255546425637;1.2017255546425636
ר;2170;38944;0.05572103533278554;5.572103533278554
ש;1958;38944;0.05027732128184059;5.027732128184059
ת;1937;38944;0.049738085456039444;4.973808545603944
