Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;3924;42178;0.09303428327564132;9.303428327564133
ב;2524;42178;0.05984162359523922;5.984162359523922
ג;383;42178;0.009080563326852862;0.9080563326852862
ד;1611;42178;0.03819526767509128;3.819526767509128
ה;3279;42178;0.0777419507800275;7.774195078002751
ו;4849;42178;0.11496514770733558;11.496514770733558
ז;223;42178;0.005287116506235479;0.5287116506235479
ח;904;42178;0.021432974536488215;2.1432974536488216
ט;116;42178;0.002750248944947603;0.2750248944947603
י;4905;42178;0.11629285409455166;11.629285409455166
כ;971;42178;0.023021480392621745;2.3021480392621743
ך;725;42178;0.01718905590592252;1.718905590592252
כ/ך;1696;42178;0.040210536298544264;4.021053629854427
ל;3414;42178;0.08094267153492342;8.094267153492343
מ;2058;42178;0.04879320973019109;4.87932097301911
ם;1195;42178;0.028332305941486082;2.833230594148608
מ/ם;3253;42178;0.07712551567167718;7.712551567167718
נ;1246;42178;0.029541467115557874;2.9541467115557873
ן;487;42178;0.01154630376025416;1.1546303760254162
נ/ן;1733;42178;0.04108777087581204;4.1087770875812035
ס;165;42178;0.003911992033761677;0.3911992033761677
ע;1585;42178;0.03757883256674095;3.7578832566740954
פ;430;42178;0.010194888330409218;1.0194888330409217
ף;75;42178;0.0017781781971643986;0.17781781971643987
פ/ף;505;42178;0.011973066527573616;1.1973066527573617
צ;352;42178;0.008345583005358244;0.8345583005358244
ץ;76;42178;0.0018018872397932571;0.18018872397932573
צ/ץ;428;42178;0.0101474702451515;1.01474702451515
ק;420;42178;0.009957797904120632;0.9957797904120632
ר;2265;42178;0.053700981554364834;5.370098155436484
ש;2033;42178;0.04820048366446963;4.820048366446962
ת;1963;42178;0.046540850680449525;4.654085068044952
