Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;740;9389;0.07881563531792524;7.881563531792524
ב;514;9389;0.05474491426136969;5.474491426136969
ג;97;9389;0.010331238683565875;1.0331238683565875
ד;226;9389;0.024070721056555545;2.4070721056555544
ה;695;9389;0.07402279262967303;7.402279262967302
ו;1056;9389;0.1124720417509852;11.24720417509852
ז;89;9389;0.009479177761209927;0.9479177761209927
ח;206;9389;0.021940568750665673;2.1940568750665674
ט;59;9389;0.00628394930237512;0.628394930237512
י;1189;9389;0.12663755458515283;12.663755458515283
כ;345;9389;0.03674512727660028;3.674512727660028
ך;87;9389;0.00926616253062094;0.9266162530620939
כ/ך;432;9389;0.04601128980722122;4.601128980722121
ל;656;9389;0.06986899563318777;6.986899563318777
מ;420;9389;0.044733198423687295;4.4733198423687295
ם;415;9389;0.04420066034721483;4.420066034721483
מ/ם;835;9389;0.08893385877090212;8.893385877090212
נ;276;9389;0.029396101821280222;2.939610182128022
ן;112;9389;0.011928852912983278;1.1928852912983279
נ/ן;388;9389;0.0413249547342635;4.13249547342635
ס;53;9389;0.005644903610608158;0.5644903610608158
ע;348;9389;0.03706465012248376;3.7064650122483758
פ;162;9389;0.017254233677707956;1.7254233677707957
ף;16;9389;0.0017041218447118968;0.1704121844711897
פ/ף;178;9389;0.018958355522419854;1.8958355522419854
צ;92;9389;0.009798700607093407;0.9798700607093407
ץ;25;9389;0.002662690382362339;0.2662690382362339
צ/ץ;117;9389;0.012461390989455746;1.2461390989455745
ק;117;9389;0.012461390989455746;1.2461390989455745
ר;564;9389;0.060070295026094365;6.007029502609437
ש;420;9389;0.044733198423687295;4.4733198423687295
ת;410;9389;0.043668122270742356;4.366812227074235
