Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;690;8034;0.08588498879761015;8.588498879761016
ב;430;8034;0.05352252925068459;5.352252925068459
ג;89;8034;0.011077918844909137;1.1077918844909136
ד;191;8034;0.02377396066716455;2.377396066716455
ה;707;8034;0.08800099576798606;8.800099576798607
ו;863;8034;0.1074184714961414;10.74184714961414
ז;48;8034;0.00597460791635549;0.597460791635549
ח;154;8034;0.019168533731640527;1.9168533731640527
ט;47;8034;0.005850136918098083;0.5850136918098083
י;900;8034;0.11202389843166542;11.202389843166543
כ;255;8034;0.03174010455563853;3.1740104555638533
ך;48;8034;0.00597460791635549;0.597460791635549
כ/ך;303;8034;0.037714712471994025;3.7714712471994023
ל;555;8034;0.06908140403286034;6.908140403286033
מ;375;8034;0.04667662434652726;4.667662434652726
ם;326;8034;0.040577545431914365;4.057754543191437
מ/ם;701;8034;0.08725416977844162;8.725416977844162
נ;274;8034;0.03410505352252925;3.410505352252925
ן;80;8034;0.009957679860592481;0.9957679860592481
נ/ן;354;8034;0.044062733383121735;4.4062733383121735
ס;72;8034;0.008961911874533234;0.8961911874533234
ע;321;8034;0.039955190440627335;3.9955190440627333
פ;103;8034;0.01282051282051282;1.282051282051282
ף;15;8034;0.0018670649738610904;0.18670649738610903
פ/ף;118;8034;0.01468757779437391;1.4687577794373912
צ;83;8034;0.0103310928553647;1.0331092855364699
ץ;30;8034;0.0037341299477221808;0.37341299477221807
צ/ץ;113;8034;0.01406522280308688;1.406522280308688
ק;125;8034;0.015558874782175753;1.5558874782175753
ר;482;8034;0.0599950211600697;5.99950211600697
ש;377;8034;0.04692556634304207;4.692556634304207
ת;394;8034;0.04904157331341797;4.904157331341797
