Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;197;2995;0.0657762938230384;6.57762938230384
ב;172;2995;0.057429048414023375;5.742904841402337
ג;41;2995;0.013689482470784642;1.3689482470784642
ד;65;2995;0.021702838063439065;2.1702838063439067
ה;306;2995;0.10217028380634391;10.21702838063439
ו;329;2995;0.10984974958263773;10.984974958263773
ז;21;2995;0.007011686143572621;0.7011686143572621
ח;54;2995;0.018030050083472453;1.8030050083472453
ט;16;2995;0.005342237061769616;0.5342237061769616
י;373;2995;0.12454090150250417;12.454090150250417
כ;95;2995;0.03171953255425709;3.1719532554257093
ך;25;2995;0.008347245409015025;0.8347245409015025
כ/ך;120;2995;0.04006677796327212;4.006677796327212
ל;211;2995;0.07045075125208682;7.045075125208681
מ;118;2995;0.03939899833055092;3.9398998330550916
ם;132;2995;0.04407345575959933;4.407345575959933
מ/ם;250;2995;0.08347245409015025;8.347245409015025
נ;71;2995;0.02370617696160267;2.370617696160267
ן;37;2995;0.012353923205342237;1.2353923205342237
נ/ן;108;2995;0.03606010016694491;3.6060100166944906
ס;24;2995;0.008013355592654424;0.8013355592654423
ע;121;2995;0.04040066777963272;4.040066777963272
פ;48;2995;0.016026711185308847;1.6026711185308846
ף;12;2995;0.004006677796327212;0.40066777963272115
פ/ף;60;2995;0.02003338898163606;2.003338898163606
צ;29;2995;0.009682804674457429;0.9682804674457429
ץ;11;2995;0.003672787979966611;0.36727879799666113
צ/ץ;40;2995;0.01335559265442404;1.335559265442404
ק;58;2995;0.019365609348914858;1.9365609348914858
ר;163;2995;0.054424040066777965;5.442404006677797
ש;131;2995;0.04373956594323873;4.373956594323873
ת;135;2995;0.045075125208681135;4.507512520868113
