Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;1087;12433;0.08742861738920614;8.742861738920613
ב;685;12433;0.055095310866243065;5.509531086624307
ג;118;12433;0.009490871068929463;0.9490871068929463
ד;319;12433;0.025657524330411;2.5657524330411
ה;1388;12433;0.11163838172605163;11.163838172605162
ו;1453;12433;0.1168664039250382;11.68664039250382
ז;88;12433;0.007077937746320277;0.7077937746320276
ח;224;12433;0.01801656880881525;1.8016568808815252
ט;47;12433;0.003780262205421057;0.37802622054210566
י;1495;12433;0.12024451057669107;12.024451057669108
כ;334;12433;0.026863990991715596;2.6863990991715596
ך;74;12433;0.005951902195769324;0.5951902195769324
כ/ך;408;12433;0.03281589318748492;3.2815893187484924
ל;764;12433;0.061449368615780584;6.144936861578058
מ;546;12433;0.04391538647148717;4.391538647148717
ם;464;12433;0.037320035389688734;3.7320035389688733
מ/ם;1010;12433;0.0812354218611759;8.12354218611759
נ;372;12433;0.029920373200353897;2.9920373200353896
ן;151;12433;0.012145097723799566;1.2145097723799565
נ/ן;523;12433;0.04206547092415346;4.206547092415346
ס;91;12433;0.007319231078581195;0.7319231078581195
ע;389;12433;0.031287702083165767;3.1287702083165767
פ;120;12433;0.009651733290436742;0.9651733290436741
ף;25;12433;0.002010777768840988;0.20107777688409878
פ/ף;145;12433;0.011662511059277729;1.166251105927773
צ;186;12433;0.014960186600176948;1.4960186600176948
ץ;45;12433;0.003619399983913778;0.3619399983913778
צ/ץ;231;12433;0.018579586584090726;1.8579586584090726
ק;136;12433;0.010938631062494973;1.0938631062494975
ר;707;12433;0.05686479530282313;5.6864795302823135
ש;519;12433;0.041743746481138905;4.174374648113891
ת;606;12433;0.04874125311670554;4.874125311670554
