Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;4768;78822;0.06049072593945853;6.049072593945852
ב;4037;78822;0.051216665397985334;5.121666539798533
ג;728;78822;0.009236000101494507;0.9236000101494507
ד;2507;78822;0.0318058410088554;3.1805841008855396
ה;5350;78822;0.06787445129532364;6.787445129532364
ו;8726;78822;0.1107051330846718;11.070513308467179
ז;688;78822;0.008728527568445358;0.8728527568445358
ח;1996;78822;0.02532287939915252;2.532287939915252
ט;545;78822;0.0069143132627946515;0.6914313262794651
י;10409;78822;0.13205703991271472;13.205703991271472
כ;2196;78822;0.027860242064398265;2.7860242064398264
ך;1433;78822;0.018180203496485754;1.8180203496485754
כ/ך;3629;78822;0.04604044556088402;4.604044556088402
ל;5878;78822;0.07457308873157241;7.457308873157241
מ;3946;78822;0.05006216538529852;5.006216538529852
ם;2459;78822;0.031196873969196418;3.119687396919642
מ/ם;6405;78822;0.08125903935449494;8.125903935449493
נ;3176;78822;0.04029331912410241;4.029331912410241
ן;766;78822;0.009718099007891197;0.9718099007891198
נ/ן;3942;78822;0.050011418131993605;5.001141813199361
ס;770;78822;0.009768846261196113;0.9768846261196112
ע;3102;78822;0.03935449493796148;3.935449493796148
פ;1337;78822;0.016962269417167795;1.6962269417167795
ף;152;78822;0.0019283956255867652;0.1928395625586765
פ/ף;1489;78822;0.01889066504275456;1.8890665042754562
צ;1020;78822;0.012940549592753292;1.2940549592753292
ץ;249;78822;0.003159016518230951;0.3159016518230951
צ/ץ;1269;78822;0.016099566110984242;1.6099566110984243
ק;1125;78822;0.014272664992007307;1.4272664992007307
ר;4248;78822;0.05389358300981959;5.389358300981959
ש;3414;78822;0.043312780695744846;4.331278069574484
ת;3797;78822;0.048171830199690444;4.817183019969044
