Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;2427;31851;0.07619854949609117;7.619854949609117
ב;1549;31851;0.04863269599070673;4.863269599070673
ג;318;31851;0.009983987943863615;0.9983987943863616
ד;867;31851;0.027220495431854574;2.722049543185457
ה;1677;31851;0.052651408119054346;5.265140811905435
ו;3566;31851;0.11195880820068443;11.195880820068444
ז;253;31851;0.00794323569118709;0.794323569118709
ח;977;31851;0.030674076167153307;3.0674076167153306
ט;233;31851;0.007315311921132775;0.7315311921132774
י;4247;31851;0.13333961257103388;13.333961257103388
כ;977;31851;0.030674076167153307;3.0674076167153306
ך;323;31851;0.010140968886377194;1.0140968886377193
כ/ך;1300;31851;0.0408150450535305;4.08150450535305
ל;2300;31851;0.07221123355624627;7.221123355624627
מ;1608;31851;0.050485071112366955;5.048507111236695
ם;945;31851;0.029669398135066402;2.9669398135066403
מ/ם;2553;31851;0.08015446924743336;8.015446924743335
נ;1198;31851;0.037612633826253496;3.7612633826253496
ן;404;31851;0.012684060155097172;1.2684060155097172
נ/ן;1602;31851;0.050296693981350664;5.029669398135066
ס;218;31851;0.006844369093592038;0.6844369093592038
ע;1420;31851;0.044582587673856394;4.458258767385639
פ;644;31851;0.020219145395748955;2.0219145395748956
ף;102;31851;0.0032024112272770085;0.32024112272770083
פ/ף;746;31851;0.023421556623025964;2.3421556623025963
צ;345;31851;0.010831685033436941;1.0831685033436942
ץ;103;31851;0.0032338074157797245;0.3233807415779724
צ/ץ;448;31851;0.014065492449216664;1.4065492449216666
ק;501;31851;0.0157294904398606;1.57294904398606
ר;1684;31851;0.052871181438573354;5.287118143857335
ש;1379;31851;0.04329534394524505;4.329534394524505
ת;1586;31851;0.049794354965307215;4.979435496530722
