Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;5260;63527;0.08279943960835551;8.279943960835551
ב;3105;63527;0.04887685551025548;4.887685551025548
ג;368;63527;0.005792812504919169;0.5792812504919168
ד;1464;63527;0.023045319313047995;2.3045319313047994
ה;6120;63527;0.09633699057093834;9.633699057093834
ו;6180;63527;0.09728147087065342;9.728147087065341
ז;523;63527;0.008232719945849796;0.8232719945849796
ח;1517;63527;0.023879610244462984;2.3879610244462985
ט;348;63527;0.005477985738347475;0.5477985738347475
י;6545;63527;0.10302705936058684;10.302705936058684
כ;1774;63527;0.027925134194909253;2.792513419490925
ך;548;63527;0.008626253404064414;0.8626253404064415
כ/ך;2322;63527;0.03655138759897367;3.655138759897367
ל;4292;63527;0.06756182410628551;6.7561824106285515
מ;3307;63527;0.05205660585262959;5.205660585262959
ם;2197;63527;0.03458372030790058;3.458372030790058
מ/ם;5504;63527;0.08664032616053016;8.664032616053015
נ;1807;63527;0.028444598359752545;2.8444598359752544
ן;864;63527;0.013600516315897178;1.3600516315897178
נ/ן;2671;63527;0.042045114675649725;4.204511467564973
ס;376;63527;0.005918743211547846;0.5918743211547846
ע;2582;63527;0.04064413556440569;4.064413556440568
פ;877;63527;0.013805153714168778;1.3805153714168779
ף;119;63527;0.001873219261101579;0.18732192611015788
פ/ף;996;63527;0.015678372975270357;1.5678372975270356
צ;787;63527;0.012388433264596157;1.2388433264596157
ץ;160;63527;0.0025186141325735513;0.2518614132573551
צ/ץ;947;63527;0.014907047397169707;1.4907047397169706
ק;940;63527;0.014796858028869615;1.4796858028869615
ר;3788;63527;0.059628189588678826;5.962818958867882
ש;3518;63527;0.055378028239960964;5.537802823996096
ת;4161;63527;0.06549970878524092;6.549970878524092
