Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;281;5141;0.054658626726317834;5.465862672631784
ב;260;5141;0.05057381832328341;5.057381832328341
ג;65;5141;0.012643454580820852;1.2643454580820852
ד;188;5141;0.03656876094145108;3.656876094145108
ה;366;5141;0.07119237502431433;7.119237502431433
ו;476;5141;0.0925889904687804;9.25889904687804
ז;38;5141;0.007391558062633729;0.739155806263373
ח;132;5141;0.02567593853335927;2.567593853335927
ט;32;5141;0.0062244699474810344;0.6224469947481035
י;663;5141;0.12896323672437268;12.896323672437267
כ;143;5141;0.027815600077805876;2.7815600077805875
ך;104;5141;0.020229527329313362;2.022952732931336
כ/ך;247;5141;0.048045127407119234;4.804512740711924
ל;319;5141;0.062050184788951565;6.205018478895156
מ;273;5141;0.05310250923944758;5.310250923944758
ם;171;5141;0.03326201128185178;3.3262011281851778
מ/ם;444;5141;0.08636452052129936;8.636452052129936
נ;252;5141;0.04901770083641315;4.901770083641315
ן;68;5141;0.013226998638397198;1.3226998638397198
נ/ן;320;5141;0.06224469947481035;6.224469947481035
ס;36;5141;0.007002528690916164;0.7002528690916163
ע;184;5141;0.03579070219801595;3.5790702198015953
פ;106;5141;0.020618556701030927;2.0618556701030926
ף;11;5141;0.0021396615444466056;0.21396615444466055
פ/ף;117;5141;0.022758218245477534;2.2758218245477533
צ;60;5141;0.01167088115152694;1.167088115152694
ץ;8;5141;0.0015561174868702586;0.15561174868702587
צ/ץ;68;5141;0.013226998638397198;1.3226998638397198
ק;62;5141;0.012059910523244505;1.2059910523244506
ר;288;5141;0.05602022952732931;5.602022952732931
ש;249;5141;0.0484341567788368;4.84341567788368
ת;306;5141;0.05952149387278739;5.952149387278739
