Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;816;10968;0.07439824945295405;7.439824945295405
ב;582;10968;0.05306345733041575;5.306345733041575
ג;113;10968;0.010302698760029176;1.0302698760029176
ד;268;10968;0.024434719183078046;2.4434719183078046
ה;980;10968;0.08935083880379285;8.935083880379285
ו;985;10968;0.08980671043034281;8.980671043034281
ז;80;10968;0.007293946024799417;0.7293946024799417
ח;330;10968;0.030087527352297593;3.008752735229759
ט;102;10968;0.009299781181619256;0.9299781181619257
י;1179;10968;0.1074945295404814;10.74945295404814
כ;419;10968;0.03820204230488694;3.8202042304886943
ך;104;10968;0.009482129832239242;0.9482129832239241
כ/ך;523;10968;0.04768417213712618;4.768417213712619
ל;926;10968;0.08442742523705325;8.442742523705325
מ;556;10968;0.050692924872355945;5.069292487235595
ם;452;10968;0.0412107950401167;4.121079504011671
מ/ם;1008;10968;0.09190371991247265;9.190371991247265
נ;285;10968;0.02598468271334792;2.598468271334792
ן;131;10968;0.011943836615609044;1.1943836615609045
נ/ן;416;10968;0.03792851932895697;3.7928519328956964
ס;98;10968;0.008935083880379285;0.8935083880379285
ע;461;10968;0.04203136396790664;4.203136396790664
פ;101;10968;0.009208606856309262;0.9208606856309263
ף;24;10968;0.002188183807439825;0.2188183807439825
פ/ף;125;10968;0.011396790663749089;1.139679066374909
צ;58;10968;0.005288110867979577;0.5288110867979576
ץ;35;10968;0.0031911013858497445;0.31911013858497445
צ/ץ;93;10968;0.008479212253829322;0.8479212253829322
ק;133;10968;0.01212618526622903;1.212618526622903
ר;578;10968;0.052698760029175784;5.269876002917578
ש;599;10968;0.05461342086068563;5.461342086068563
ת;573;10968;0.05224288840262582;5.224288840262583
