Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;811;12110;0.06696944673823287;6.696944673823286
ב;616;12110;0.05086705202312139;5.086705202312139
ג;106;12110;0.00875309661436829;0.8753096614368291
ד;427;12110;0.03526011560693642;3.5260115606936417
ה;1116;12110;0.09215524360033031;9.215524360033031
ו;1276;12110;0.10536746490503716;10.536746490503717
ז;62;12110;0.005119735755573906;0.5119735755573905
ח;210;12110;0.017341040462427744;1.7341040462427744
ט;53;12110;0.004376548307184145;0.43765483071841454
י;1178;12110;0.0972749793559042;9.72749793559042
כ;380;12110;0.03137902559867878;3.137902559867878
ך;230;12110;0.018992568125516102;1.8992568125516103
כ/ך;610;12110;0.05037159372419488;5.037159372419488
ל;954;12110;0.07877786952931462;7.877786952931462
מ;786;12110;0.06490503715937242;6.490503715937241
ם;359;12110;0.029644921552436004;2.9644921552436005
מ/ם;1145;12110;0.09454995871180842;9.454995871180842
נ;304;12110;0.025103220478943023;2.5103220478943022
ן;180;12110;0.01486374896779521;1.486374896779521
נ/ן;484;12110;0.039966969446738235;3.9966969446738236
ס;144;12110;0.011890999174236168;1.1890999174236168
ע;397;12110;0.032782824112303884;3.2782824112303883
פ;143;12110;0.011808422791081751;1.1808422791081752
ף;18;12110;0.001486374896779521;0.1486374896779521
פ/ף;161;12110;0.013294797687861272;1.3294797687861273
צ;66;12110;0.0054500412881915775;0.5450041288191577
ץ;23;12110;0.0018992568125516102;0.18992568125516102
צ/ץ;89;12110;0.007349298100743188;0.7349298100743188
ק;105;12110;0.008670520231213872;0.8670520231213872
ר;750;12110;0.061932287365813375;6.193228736581338
ש;712;12110;0.0587943848059455;5.87943848059455
ת;704;12110;0.05813377374071016;5.813377374071016
