Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;3687;54917;0.06713768049966312;6.713768049966312
ב;3171;54917;0.05774168290329042;5.774168290329042
ג;281;54917;0.0051168126445363;0.51168126445363
ד;1332;54917;0.024254784492962107;2.4254784492962105
ה;5215;54917;0.09496148733543347;9.496148733543347
ו;6692;54917;0.12185661999016698;12.185661999016698
ז;509;54917;0.009268532512700985;0.9268532512700985
ח;1171;54917;0.02132308756851248;2.132308756851248
ט;222;54917;0.004042464082160351;0.40424640821603514
י;6641;54917;0.12092794580913015;12.092794580913015
כ;1559;54917;0.028388295063459402;2.8388295063459403
ך;567;54917;0.010324671777409545;1.0324671777409544
כ/ך;2126;54917;0.038712966840868945;3.8712966840868948
ל;4474;54917;0.08146839776389825;8.146839776389825
מ;2725;54917;0.04962033614363494;4.962033614363494
ם;2161;54917;0.039350292259227565;3.9350292259227566
מ/ם;4886;54917;0.0889706284028625;8.89706284028625
נ;1410;54917;0.025675109711018447;2.5675109711018447
ן;575;54917;0.010470346158748657;1.0470346158748656
נ/ן;1985;54917;0.036145455869767106;3.6145455869767105
ס;337;54917;0.006136533313910082;0.6136533313910082
ע;2044;54917;0.03721980443214305;3.721980443214305
פ;582;54917;0.01059781124242038;1.0597811242420379
ף;127;54917;0.002312580803758399;0.23125808037583992
פ/ף;709;54917;0.01291039204617878;1.291039204617878
צ;464;54917;0.008449114117668481;0.8449114117668481
ץ;95;54917;0.001729883278401952;0.17298832784019522
צ/ץ;559;54917;0.010178997396070434;1.0178997396070433
ק;602;54917;0.01096199719576816;1.096199719576816
ר;2815;54917;0.05125917293369995;5.125917293369995
ש;2761;54917;0.05027587085966094;5.027587085966094
ת;2698;54917;0.04912868510661544;4.912868510661544
