Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;8582;98447;0.08717380925777322;8.717380925777322
ב;5612;98447;0.05700529218767458;5.700529218767459
ג;593;98447;0.006023545664164474;0.6023545664164475
ד;2434;98447;0.024723963147683527;2.4723963147683525
ה;8866;98447;0.09005861021666481;9.005861021666481
ו;10309;98447;0.10471624325779354;10.471624325779354
ז;795;98447;0.008075411134925391;0.8075411134925391
ח;2192;98447;0.022265787682712524;2.2265787682712523
ט;406;98447;0.004124046441232338;0.4124046441232338
י;11596;98447;0.11778926732150294;11.778926732150294
כ;2501;98447;0.025404532387985415;2.5404532387985417
ך;1562;98447;0.015866405273903726;1.5866405273903725
כ/ך;4063;98447;0.04127093766188914;4.127093766188914
ל;7561;98447;0.07680274665556086;7.680274665556086
מ;4963;98447;0.050412912531616;5.041291253161599
ם;3103;98447;0.03151949780084715;3.151949780084715
מ/ם;8066;98447;0.08193241033246315;8.193241033246315
נ;2680;98447;0.027222769612075533;2.7222769612075535
ן;1050;98447;0.010665637348014668;1.0665637348014667
נ/ן;3730;98447;0.0378884069600902;3.78884069600902
ס;660;98447;0.006704114904466363;0.6704114904466363
ע;3552;98447;0.03608032748585533;3.6080327485855332
פ;973;98447;0.009883490609160259;0.9883490609160259
ף;160;98447;0.0016252399768403303;0.16252399768403303
פ/ף;1133;98447;0.011508730586000588;1.1508730586000588
צ;766;98447;0.007780836389123081;0.7780836389123081
ץ;179;98447;0.0018182372240901196;0.18182372240901196
צ/ץ;945;98447;0.0095990736132132;0.95990736132132
ק;1189;98447;0.012077564577894705;1.2077564577894706
ר;5832;98447;0.05923999715583004;5.923999715583004
ש;5246;98447;0.05328755574065233;5.328755574065233
ת;5085;98447;0.05165215801395675;5.165215801395675
