Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;2604;38269;0.06804463142491311;6.804463142491311
ב;2321;38269;0.06064961195745904;6.064961195745904
ג;285;38269;0.007447281089132196;0.7447281089132196
ד;1115;38269;0.029135854085552276;2.9135854085552277
ה;3299;38269;0.08620554495806004;8.620554495806005
ו;4094;38269;0.10697953957511301;10.6979539575113
ז;367;38269;0.009590007577935144;0.9590007577935143
ח;870;38269;0.022733805429982493;2.2733805429982494
ט;196;38269;0.005121638924455826;0.5121638924455826
י;4631;38269;0.12101178499568842;12.101178499568842
כ;972;38269;0.025399148135566648;2.5399148135566647
ך;228;38269;0.005957824871305756;0.5957824871305756
כ/ך;1200;38269;0.0313569730068724;3.13569730068724
ל;2790;38269;0.07290496224097834;7.290496224097834
מ;1845;38269;0.04821134599806632;4.821134599806632
ם;1667;38269;0.04356006166871358;4.356006166871358
מ/ם;3512;38269;0.0917714076667799;9.17714076667799
נ;1760;38269;0.045990227076746194;4.599022707674619
ן;554;38269;0.014476469204839425;1.4476469204839426
נ/ן;2314;38269;0.060466696281585616;6.046669628158561
ס;251;38269;0.006558833520604144;0.6558833520604144
ע;1527;38269;0.039901748151245135;3.9901748151245133
פ;395;38269;0.010321670281428833;1.0321670281428834
ף;67;38269;0.0017507643262170425;0.17507643262170425
פ/ף;462;38269;0.012072434607645875;1.2072434607645874
צ;268;38269;0.00700305730486817;0.700305730486817
ץ;44;38269;0.0011497556769186547;0.11497556769186547
צ/ץ;312;38269;0.008152812981786824;0.8152812981786824
ק;402;38269;0.010504585957302255;1.0504585957302255
ר;1965;38269;0.05134704329875356;5.134704329875356
ש;1991;38269;0.05202644438056913;5.202644438056913
ת;1761;38269;0.04601635788758525;4.601635788758525
