Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;3389;38952;0.08700451838159787;8.700451838159786
ב;2106;38952;0.05406654343807763;5.406654343807763
ג;379;38952;0.009729924009036764;0.9729924009036763
ד;902;38952;0.023156705689053193;2.315670568905319
ה;3133;38952;0.0804323269665229;8.04323269665229
ו;4467;38952;0.1146796056685151;11.46796056685151
ז;275;38952;0.007059971246662559;0.705997124666256
ח;843;38952;0.021642020948860134;2.1642020948860132
ט;139;38952;0.0035684945574039843;0.35684945574039845
י;4874;38952;0.12512836311357567;12.512836311357567
כ;883;38952;0.022668925857465598;2.2668925857465596
ך;339;38952;0.0087030191004313;0.87030191004313
כ/ך;1222;38952;0.0313719449578969;3.13719449578969
ל;2937;38952;0.07540049291435613;7.540049291435613
מ;1849;38952;0.04746867940028753;4.7468679400287535
ם;1337;38952;0.03432429657013761;3.4324296570137607
מ/ם;3186;38952;0.08179297597042513;8.179297597042513
נ;1299;38952;0.03334873690696242;3.334873690696242
ן;572;38952;0.014684740193058123;1.4684740193058123
נ/ן;1871;38952;0.04803347710002054;4.803347710002054
ס;260;38952;0.00667488190593551;0.667488190593551
ע;1491;38952;0.03827788046826864;3.827788046826864
פ;502;38952;0.012887656602998562;1.288765660299856
ף;86;38952;0.0022078455535017457;0.22078455535017458
פ/ף;588;38952;0.015095502156500308;1.5095502156500307
צ;284;38952;0.007291024851098788;0.7291024851098787
ץ;73;38952;0.0018741014582049703;0.18741014582049703
צ/ץ;357;38952;0.009165126309303759;0.9165126309303759
ק;468;38952;0.012014787430683918;1.2014787430683918
ר;2170;38952;0.055709591291846376;5.570959129184637
ש;1958;38952;0.050266995276237424;5.026699527623743
ת;1937;38952;0.04972787019921955;4.972787019921955
