Hebrew Letter;Number Of Instances;Length Of Text;Percentage Of Text as Decimal;Percentage of Text as %
א;4747;51357;0.09243141149210429;9.243141149210429
ב;2438;51357;0.047471620227038186;4.747162022703819
ג;495;51357;0.009638413458730066;0.9638413458730066
ד;1724;51357;0.03356893899565785;3.356893899565785
ה;4232;51357;0.08240356718655685;8.240356718655685
ו;6296;51357;0.12259283057811009;12.25928305781101
ז;279;51357;0.005432560313102401;0.5432560313102401
ח;1040;51357;0.020250404034503573;2.0250404034503573
ט;218;51357;0.004244796230309403;0.4244796230309403
י;6044;51357;0.11768600190821114;11.768600190821115
כ;1275;51357;0.024826216484607744;2.4826216484607744
ך;585;51357;0.01139085226940826;1.139085226940826
כ/ך;1860;51357;0.03621706875401601;3.6217068754016006
ל;4339;51357;0.0844870222170298;8.44870222170298
מ;2453;51357;0.047763693362151215;4.776369336215121
ם;1579;51357;0.030745565356231866;3.0745565356231865
מ/ם;4032;51357;0.07850925871838309;7.850925871838308
נ;1633;51357;0.03179702864263878;3.179702864263878
ן;558;51357;0.010865120626204802;1.0865120626204803
נ/ן;2191;51357;0.04266214926884358;4.266214926884358
ס;189;51357;0.003680121502424207;0.3680121502424207
ע;1731;51357;0.03370523979204393;3.3705239792043926
פ;645;51357;0.012559144809860388;1.2559144809860388
ף;73;51357;0.0014214225908834239;0.14214225908834238
פ/ף;718;51357;0.013980567400743812;1.3980567400743813
צ;353;51357;0.006873454446326694;0.6873454446326693
ץ;64;51357;0.0012461787098156044;0.12461787098156044
צ/ץ;417;51357;0.008119633156142298;0.8119633156142299
ק;630;51357;0.012267071674747356;1.2267071674747356
ר;2528;51357;0.04922405903771638;4.922405903771638
ש;2709;51357;0.05274840820141363;5.274840820141363
ת;2500;51357;0.04867885585217205;4.867885585217205
