(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(47017, -99, 4);[40, 300, 10, 8];משיח;12526;(1, 32, 11, 5, 12526);האמת;3;(1, 32, 11, 21, 47017);קטנתי מכל החסדים ומכל האמת אשר עשית את עבדך כי במקלי עברתי את הירדן הזה ועתה הייתי לשני מחנות
(70513, -99, 4);[40, 300, 10, 8];משיח;18655;(1, 46, 5, 12, 18655);טפם;3;(1, 46, 5, 45, 70513);ויקם יעקב מבאר שבע וישאו בני ישראל את יעקב אביהם ואת טפם ואת נשיהם בעגלות אשר שלח פרעה לשאת אתו
(13788, -95, 4);[40, 300, 10, 8];משיח;3691;(1, 11, 25, 13, 3691);בנים;4;(1, 11, 25, 49, 13788);ויחי נחור אחרי הולידו את תרח תשע עשרה שנה ומאת שנה ויולד בנים ובנות
(32892, -95, 4);[40, 300, 10, 8];משיח;8770;(1, 25, 2, 8, 8770);מדן;1;(1, 25, 2, 23, 32892);ותלד לו את זמרן ואת יקשן ואת מדן ואת מדין ואת ישבק ואת שוח
(9558, -94, 4);[40, 300, 10, 8];משיח;2561;(1, 8, 9, 12, 2561);מים;3;(1, 8, 9, 42, 9558);ולא מצאה היונה מנוח לכף רגלה ותשב אליו אל התבה כי מים על פני כל הארץ וישלח ידו ויקחה ויבא אתה אליו אל התבה
(38808, -92, 4);[40, 300, 10, 8];משיח;10320;(1, 28, 4, 16, 10320);לאברהם;6;(1, 28, 4, 60, 38808);ויתן לך את ברכת אברהם לך ולזרעך אתך לרשתך את ארץ מגריך אשר נתן אלהים לאברהם
(24809, -90, 4);[40, 300, 10, 8];משיח;6608;(1, 20, 8, 14, 6608);האנשים;6;(1, 20, 8, 66, 24809);וישכם אבימלך בבקר ויקרא לכל עבדיו וידבר את כל הדברים האלה באזניהם וייראו האנשים מאד
(35568, -89, 4);[40, 300, 10, 8];משיח;9459;(1, 26, 22, 12, 9459);ויאמר;4;(1, 26, 22, 47, 35568);ויעתק משם ויחפר באר אחרת ולא רבו עליה ויקרא שמה רחבות ויאמר כי עתה הרחיב יהוה לנו ופרינו בארץ
(56725, -89, 4);[40, 300, 10, 8];משיח;15081;(1, 38, 16, 5, 15081);ויאמר;4;(1, 38, 16, 17, 56725);ויט אליה אל הדרך ויאמר הבה נא אבוא אליך כי לא ידע כי כלתו הוא ותאמר מה תתן לי כי תבוא אלי
(67854, -87, 4);[40, 300, 10, 8];משיח;17953;(1, 44, 16, 22, 17953);נמצא;2;(1, 44, 16, 82, 67854);ויאמר יהודה מה נאמר לאדני מה נדבר ומה נצטדק האלהים מצא את עון עבדיך הננו עבדים לאדני גם אנחנו גם אשר נמצא הגביע בידו
(38579, -86, 4);[40, 300, 10, 8];משיח;10258;(1, 27, 46, 14, 10258);מבנות;1;(1, 27, 46, 46, 38579);ותאמר רבקה אל יצחק קצתי בחיי מפני בנות חת אם לקח יעקב אשה מבנות חת כאלה מבנות הארץ למה לי חיים
(71943, -81, 4);[40, 300, 10, 8];משיח;19021;(1, 47, 1, 14, 19021);מארץ;1;(1, 47, 1, 52, 71943);ויבא יוסף ויגד לפרעה ויאמר אבי ואחי וצאנם ובקרם וכל אשר להם באו מארץ כנען והנם בארץ גשן
(76015, -81, 4);[40, 300, 10, 8];משיח;20071;(1, 49, 21, 5, 20071);אמרי;2;(1, 49, 21, 19, 76015);נפתלי אילה שלחה הנתן אמרי שפר
(11363, -77, 4);[40, 300, 10, 8];משיח;3056;(1, 9, 23, 19, 3056);אביהם;5;(1, 9, 23, 82, 11363);ויקח שם ויפת את השמלה וישימו על שכם שניהם וילכו אחרנית ויכסו את ערות אביהם ופניהם אחרנית וערות אביהם לא ראו
(56576, -77, 4);[40, 300, 10, 8];משיח;15043;(1, 38, 13, 7, 15043);תמנתה;2;(1, 38, 13, 24, 56576);ויגד לתמר לאמר הנה חמיך עלה תמנתה לגז צאנו
(9117, -76, 4);[40, 300, 10, 8];משיח;2447;(1, 7, 24, 2, 2447);המים;2;(1, 7, 24, 8, 9117);ויגברו המים על הארץ חמשים ומאת יום
(48589, -74, 4);[40, 300, 10, 8];משיח;12940;(1, 33, 8, 10, 12940);למצא;2;(1, 33, 8, 34, 48589);ויאמר מי לך כל המחנה הזה אשר פגשתי ויאמר למצא חן בעיני אדני
(63713, -74, 4);[40, 300, 10, 8];משיח;16915;(1, 42, 16, 2, 16915);מכם;3;(1, 42, 16, 7, 63713);שלחו מכם אחד ויקח את אחיכם ואתם האסרו ויבחנו דבריכם האמת אתכם ואם לא חי פרעה כי מרגלים אתם
(9928, -71, 4);[40, 300, 10, 8];משיח;2663;(1, 8, 17, 5, 2663);מכל;1;(1, 8, 17, 13, 9928);כל החיה אשר אתך מכל בשר בעוף ובבהמה ובכל הרמש הרמש על הארץ הוצא אתך ושרצו בארץ ופרו ורבו על הארץ
(77755, -69, 4);[40, 300, 10, 8];משיח;20533;(1, 50, 21, 6, 20533);אתכם;4;(1, 50, 21, 24, 77755);ועתה אל תיראו אנכי אכלכל אתכם ואת טפכם וינחם אותם וידבר על לבם
(11376, -66, 4);[40, 300, 10, 8];משיח;3061;(1, 9, 24, 3, 3061);מיינו;1;(1, 9, 24, 8, 11376);וייקץ נח מיינו וידע את אשר עשה לו בנו הקטן
(56122, -66, 4);[40, 300, 10, 8];משיח;14918;(1, 38, 3, 6, 14918);שמו;2;(1, 38, 3, 19, 56122);ותהר ותלד בן ויקרא את שמו ער
(7798, -65, 4);[40, 300, 10, 8];משיח;2086;(1, 6, 20, 2, 2086);למינהו;2;(1, 6, 20, 7, 7798);מהעוף למינהו ומן הבהמה למינה מכל רמש האדמה למינהו שנים מכל יבאו אליך להחיות
(62746, -65, 4);[40, 300, 10, 8];משיח;16661;(1, 41, 53, 8, 16661);מצרים;5;(1, 41, 53, 32, 62746);ותכלינה שבע שני השבע אשר היה בארץ מצרים
(67953, -64, 4);[40, 300, 10, 8];משיח;17978;(1, 44, 18, 4, 17978);ויאמר;4;(1, 44, 18, 17, 67953);ויגש אליו יהודה ויאמר בי אדני ידבר נא עבדך דבר באזני אדני ואל יחר אפך בעבדך כי כמוך כפרעה
(69215, -62, 4);[40, 300, 10, 8];משיח;18316;(1, 45, 9, 1, 18316);מהרו;1;(1, 45, 9, 1, 69215);מהרו ועלו אל אבי ואמרתם אליו כה אמר בנך יוסף שמני אלהים לאדון לכל מצרים רדה אלי אל תעמד
(47932, -61, 4);[40, 300, 10, 8];משיח;12767;(1, 32, 29, 4, 12767);יאמר;3;(1, 32, 29, 14, 47932);ויאמר לא יעקב יאמר עוד שמך כי אם ישראל כי שרית עם אלהים ועם אנשים ותוכל
(6514, -60, 4);[40, 300, 10, 8];משיח;1732;(1, 5, 26, 7, 1732);שתים;4;(1, 5, 26, 29, 6514);ויחי מתושלח אחרי הולידו את למך שתים ושמונים שנה ושבע מאות שנה ויולד בנים ובנות
(33417, -60, 4);[40, 300, 10, 8];משיח;8908;(1, 25, 13, 5, 8908);בשמתם;3;(1, 25, 13, 20, 33417);ואלה שמות בני ישמעאל בשמתם לתולדתם בכר ישמעאל נבית וקדר ואדבאל ומבשם
(47080, -60, 4);[40, 300, 10, 8];משיח;12543;(1, 32, 12, 3, 12543);מיד;1;(1, 32, 12, 9, 47080);הצילני נא מיד אחי מיד עשו כי ירא אנכי אתו פן יבוא והכני אם על בנים
(6814, -59, 4);[40, 300, 10, 8];משיח;1813;(1, 5, 32, 12, 1813);חם;2;(1, 5, 32, 33, 6814);ויהי נח בן חמש מאות שנה ויולד נח את שם את חם ואת יפת
(70477, -59, 4);[40, 300, 10, 8];משיח;18646;(1, 46, 5, 3, 18646);מבאר;1;(1, 46, 5, 9, 70477);ויקם יעקב מבאר שבע וישאו בני ישראל את יעקב אביהם ואת טפם ואת נשיהם בעגלות אשר שלח פרעה לשאת אתו
