(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(61937, -99, 4);[40, 300, 10, 8];משיח;16279;(2, 40, 2, 1, 16279);ביום;4;(2, 40, 2, 4, 61937);ביום החדש הראשון באחד לחדש תקים את משכן אהל מועד
(51615, -97, 4);[40, 300, 10, 8];משיח;13622;(2, 34, 11, 7, 13622);היום;4;(2, 34, 11, 22, 51615);שמר לך את אשר אנכי מצוך היום הנני גרש מפניך את האמרי והכנעני והחתי והפרזי והחוי והיבוסי
(55710, -96, 4);[40, 300, 10, 8];משיח;14690;(2, 36, 18, 4, 14690);חמשים;5;(2, 36, 18, 17, 55710);ויעש קרסי נחשת חמשים לחבר את האהל להית אחד
(33803, -93, 4);[40, 300, 10, 8];משיח;9010;(2, 23, 22, 2, 9010);אם;2;(2, 23, 22, 4, 33803);כי אם שמוע תשמע בקלו ועשית כל אשר אדבר ואיבתי את איביך וצרתי את צרריך
(38558, -93, 4);[40, 300, 10, 8];משיח;10198;(2, 26, 27, 7, 10198);וחמשה;3;(2, 26, 27, 31, 38558);וחמשה בריחם לקרשי צלע המשכן השנית וחמשה בריחם לקרשי צלע המשכן לירכתים ימה
(48906, -93, 4);[40, 300, 10, 8];משיח;12873;(2, 32, 22, 1, 12873);ויאמר;4;(2, 32, 22, 4, 48906);ויאמר אהרן אל יחר אף אדני אתה ידעת את העם כי ברע הוא
(56133, -92, 4);[40, 300, 10, 8];משיח;14794;(2, 36, 28, 2, 14794);קרשים;5;(2, 36, 28, 9, 56133);ושני קרשים עשה למקצעת המשכן בירכתים
(16040, -91, 4);[40, 300, 10, 8];משיח;4223;(2, 12, 4, 5, 4223);משה;1;(2, 12, 4, 17, 16040);ואם ימעט הבית מהיות משה ולקח הוא ושכנו הקרב אל ביתו במכסת נפשת איש לפי אכלו תכסו על השה
(29321, -91, 4);[40, 300, 10, 8];משיח;7749;(2, 20, 10, 15, 7749);ובהמתך;4;(2, 20, 10, 60, 29321);ויום השביעי שבת ליהוה אלהיך לא תעשה כל מלאכה אתה ובנך ובתך עבדך ואמתך ובהמתך וגרך אשר בשעריך
(21902, -87, 4);[40, 300, 10, 8];משיח;5754;(2, 15, 2, 2, 5754);וזמרת;3;(2, 15, 2, 6, 21902);עזי וזמרת יה ויהי לי לישועה זה אלי ואנוהו אלהי אבי וארממנהו
(41011, -87, 4);[40, 300, 10, 8];משיח;10803;(2, 28, 15, 15, 10803);משזר;1;(2, 28, 15, 58, 41011);ועשית חשן משפט מעשה חשב כמעשה אפד תעשנו זהב תכלת וארגמן ותולעת שני ושש משזר תעשה אתו
(58071, -87, 4);[40, 300, 10, 8];משיח;15285;(2, 37, 29, 3, 15285);שמן;2;(2, 37, 29, 8, 58071);ויעש את שמן המשחה קדש ואת קטרת הסמים טהור מעשה רקח
(43785, -83, 4);[40, 300, 10, 8];משיח;11534;(2, 29, 24, 1, 11534);ושמת;3;(2, 29, 24, 3, 43785);ושמת הכל על כפי אהרן ועל כפי בניו והנפת אתם תנופה לפני יהוה
(63355, -82, 4);[40, 300, 10, 8];משיח;16666;(2, 40, 35, 3, 16666);משה;1;(2, 40, 35, 7, 63355);ולא יכל משה לבוא אל אהל מועד כי שכן עליו הענן וכבוד יהוה מלא את המשכן
(26872, -81, 4);[40, 300, 10, 8];משיח;7077;(2, 18, 15, 9, 7077);אלהים;5;(2, 18, 15, 33, 26872);ויאמר משה לחתנו כי יבא אלי העם לדרש אלהים
(36391, -78, 4);[40, 300, 10, 8];משיח;9679;(2, 25, 25, 3, 9679);מסגרת;1;(2, 25, 25, 8, 36391);ועשית לו מסגרת טפח סביב ועשית זר זהב למסגרתו סביב
(21405, -77, 4);[40, 300, 10, 8];משיח;5625;(2, 14, 25, 8, 5625);מצרים;1;(2, 14, 25, 34, 21405);ויסר את אפן מרכבתיו וינהגהו בכבדת ויאמר מצרים אנוסה מפני ישראל כי יהוה נלחם להם במצרים
(57814, -76, 4);[40, 300, 10, 8];משיח;15214;(2, 37, 23, 6, 15214);ומחתתיה;2;(2, 37, 23, 24, 57814);ויעש את נרתיה שבעה ומלקחיה ומחתתיה זהב טהור
(62641, -76, 4);[40, 300, 10, 8];משיח;16470;(2, 40, 18, 16, 16470);עמודיו;2;(2, 40, 18, 56, 62641);ויקם משה את המשכן ויתן את אדניו וישם את קרשיו ויתן את בריחיו ויקם את עמודיו
(12592, -74, 4);[40, 300, 10, 8];משיח;3275;(2, 9, 19, 23, 3275);ומתו;2;(2, 9, 19, 79, 12592);ועתה שלח העז את מקנך ואת כל אשר לך בשדה כל האדם והבהמה אשר ימצא בשדה ולא יאסף הביתה וירד עלהם הברד ומתו
(33668, -74, 4);[40, 300, 10, 8];משיח;8973;(2, 23, 19, 3, 8973);אדמתך;3;(2, 23, 19, 13, 33668);ראשית בכורי אדמתך תביא בית יהוה אלהיך לא תבשל גדי בחלב אמו
(4351, -73, 4);[40, 300, 10, 8];משיח;1122;(2, 4, 10, 16, 1122);מאז;1;(2, 4, 10, 51, 4351);ויאמר משה אל יהוה בי אדני לא איש דברים אנכי גם מתמול גם משלשם גם מאז דברך אל עבדך כי כבד פה וכבד לשון אנכי
(44772, -73, 4);[40, 300, 10, 8];משיח;11790;(2, 29, 42, 6, 11790);מועד;1;(2, 29, 42, 21, 44772);עלת תמיד לדרתיכם פתח אהל מועד לפני יהוה אשר אועד לכם שמה לדבר אליך שם
(7948, -71, 4);[40, 300, 10, 8];משיח;2064;(2, 6, 24, 7, 2064);משפחת;1;(2, 6, 24, 28, 7948);ובני קרח אסיר ואלקנה ואביאסף אלה משפחת הקרחי
(49444, -71, 4);[40, 300, 10, 8];משיח;13020;(2, 32, 31, 5, 13020);ויאמר;4;(2, 32, 31, 17, 49444);וישב משה אל יהוה ויאמר אנא חטא העם הזה חטאה גדלה ויעשו להם אלהי זהב
(59877, -71, 4);[40, 300, 10, 8];משיח;15732;(2, 39, 2, 6, 15732);וארגמן;5;(2, 39, 2, 22, 59877);ויעש את האפד זהב תכלת וארגמן ותולעת שני ושש משזר
(44073, -70, 4);[40, 300, 10, 8];משיח;11606;(2, 29, 28, 14, 11606);מאת;1;(2, 29, 28, 54, 44073);והיה לאהרן ולבניו לחק עולם מאת בני ישראל כי תרומה הוא ותרומה יהיה מאת בני ישראל מזבחי שלמיהם תרומתם ליהוה
(44156, -67, 4);[40, 300, 10, 8];משיח;11625;(2, 29, 29, 13, 11625);ידם;3;(2, 29, 29, 51, 44156);ובגדי הקדש אשר לאהרן יהיו לבניו אחריו למשחה בהם ולמלא בם את ידם
(9255, -66, 4);[40, 300, 10, 8];משיח;2413;(2, 7, 19, 13, 2413);מימי;1;(2, 7, 19, 38, 9255);ויאמר יהוה אל משה אמר אל אהרן קח מטך ונטה ידך על מימי מצרים על נהרתם על יאריהם ועל אגמיהם ועל כל מקוה מימיהם ויהיו דם והיה דם בכל ארץ מצרים ובעצים ובאבנים
