(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(39766, -99, 4);[40, 300, 10, 8];משיח;10669;(3, 25, 36, 7, 10669);מאלהיך;1;(3, 25, 36, 24, 39766);אל תקח מאתו נשך ותרבית ויראת מאלהיך וחי אחיך עמך
(36916, -98, 4);[40, 300, 10, 8];משיח;9915;(3, 23, 43, 16, 9915);אלהיכם;6;(3, 23, 43, 70, 36916);למען ידעו דרתיכם כי בסכות הושבתי את בני ישראל בהוציאי אותם מארץ מצרים אני יהוה אלהיכם
(1846, -97, 4);[40, 300, 10, 8];משיח;478;(3, 3, 2, 9, 478);מועד;1;(3, 3, 2, 29, 1846);וסמך ידו על ראש קרבנו ושחטו פתח אהל מועד וזרקו בני אהרן הכהנים את הדם על המזבח סביב
(35650, -97, 4);[40, 300, 10, 8];משיח;9600;(3, 23, 21, 5, 9600);מקרא;1;(3, 23, 21, 18, 35650);וקראתם בעצם היום הזה מקרא קדש יהיה לכם כל מלאכת עבדה לא תעשו חקת עולם בכל מושבתיכם לדרתיכם
(12811, -96, 4);[40, 300, 10, 8];משיח;3414;(3, 10, 4, 21, 3414);מחוץ;1;(3, 10, 4, 73, 12811);ויקרא משה אל מישאל ואל אלצפן בני עזיאל דד אהרן ויאמר אלהם קרבו שאו את אחיכם מאת פני הקדש אל מחוץ למחנה
(38075, -95, 4);[40, 300, 10, 8];משיח;10227;(3, 25, 3, 2, 10227);שנים;4;(3, 25, 3, 6, 38075);שש שנים תזרע שדך ושש שנים תזמר כרמך ואספת את תבואתה
(22458, -94, 4);[40, 300, 10, 8];משיח;6035;(3, 14, 51, 15, 6035);בדם;3;(3, 14, 51, 52, 22458);ולקח את עץ הארז ואת האזב ואת שני התולעת ואת הצפר החיה וטבל אתם בדם הצפר השחוטה ובמים החיים והזה אל הבית שבע פעמים
(33939, -92, 4);[40, 300, 10, 8];משיח;9164;(3, 22, 20, 4, 9164);מום;3;(3, 22, 20, 10, 33939);כל אשר בו מום לא תקריבו כי לא לרצון יהיה לכם
(10181, -88, 4);[40, 300, 10, 8];משיח;2718;(3, 8, 19, 3, 2718);משה;1;(3, 8, 19, 11, 10181);וישחט ויזרק משה את הדם על המזבח סביב
(1369, -84, 4);[40, 300, 10, 8];משיח;356;(3, 2, 9, 4, 356);המנחה;2;(3, 2, 9, 13, 1369);והרים הכהן מן המנחה את אזכרתה והקטיר המזבחה אשה ריח ניחח ליהוה
(32516, -83, 4);[40, 300, 10, 8];משיח;8759;(3, 21, 14, 10, 8759);אם;2;(3, 21, 14, 33, 32516);אלמנה וגרושה וחללה זנה את אלה לא יקח כי אם בתולה מעמיו יקח אשה
(32761, -83, 4);[40, 300, 10, 8];משיח;8837;(3, 21, 21, 5, 8837);מום;3;(3, 21, 21, 13, 32761);כל איש אשר בו מום מזרע אהרן הכהן לא יגש להקריב את אשי יהוה מום בו את לחם אלהיו לא יגש להקריב
(8348, -80, 4);[40, 300, 10, 8];משיח;2228;(3, 7, 20, 14, 2228);מעמיה;3;(3, 7, 20, 60, 8348);והנפש אשר תאכל בשר מזבח השלמים אשר ליהוה וטמאתו עליו ונכרתה הנפש ההוא מעמיה
