(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(33350, -100, 4);[40, 300, 10, 8];משיח;8664;(5, 21, 13, 5, 8664);מעליה;1;(5, 21, 13, 17, 33350);והסירה את שמלת שביה מעליה וישבה בביתך ובכתה את אביה ואת אמה ירח ימים ואחר כן תבוא אליה ובעלתה והיתה לך לאשה
(45554, -100, 4);[40, 300, 10, 8];משיח;11878;(5, 29, 2, 7, 11878);והמפתים;3;(5, 29, 2, 28, 45554);המסות הגדלת אשר ראו עיניך האתת והמפתים הגדלים ההם
(38679, -93, 4);[40, 300, 10, 8];משיח;10107;(5, 25, 11, 14, 10107);מכהו;1;(5, 25, 11, 50, 38679);כי ינצו אנשים יחדו איש ואחיו וקרבה אשת האחד להציל את אישה מיד מכהו ושלחה ידה והחזיקה במבשיו
(28033, -90, 4);[40, 300, 10, 8];משיח;7220;(5, 17, 3, 7, 7220);ולשמש;4;(5, 17, 3, 32, 28033);וילך ויעבד אלהים אחרים וישתחו להם ולשמש או לירח או לכל צבא השמים אשר לא צויתי
(12986, -77, 4);[40, 300, 10, 8];משיח;3345;(5, 7, 6, 15, 3345);מכל;1;(5, 7, 6, 50, 12986);כי עם קדוש אתה ליהוה אלהיך בך בחר יהוה אלהיך להיות לו לעם סגלה מכל העמים אשר על פני האדמה
(6995, -75, 4);[40, 300, 10, 8];משיח;1812;(5, 4, 10, 1, 1812);יום;3;(5, 4, 10, 3, 6995);יום אשר עמדת לפני יהוה אלהיך בחרב באמר יהוה אלי הקהל לי את העם ואשמעם את דברי אשר ילמדון ליראה אתי כל הימים אשר הם חיים על האדמה ואת בניהם ילמדון
(38918, -75, 4);[40, 300, 10, 8];משיח;10171;(5, 25, 17, 8, 10171);בצאתכם;6;(5, 25, 17, 28, 38918);זכור את אשר עשה לך עמלק בדרך בצאתכם ממצרים
(29807, -74, 4);[40, 300, 10, 8];משיח;7701;(5, 18, 13, 3, 7701);עם;2;(5, 18, 13, 10, 29807);תמים תהיה עם יהוה אלהיך
(53892, -73, 4);[40, 300, 10, 8];משיח;14029;(5, 33, 21, 16, 14029);עם;2;(5, 33, 21, 57, 53892);וירא ראשית לו כי שם חלקת מחקק ספון ויתא ראשי עם צדקת יהוה עשה ומשפטיו עם ישראל
(23218, -72, 4);[40, 300, 10, 8];משיח;5951;(5, 13, 8, 2, 5951);העמים;3;(5, 13, 8, 8, 23218);מאלהי העמים אשר סביבתיכם הקרבים אליך או הרחקים ממך מקצה הארץ ועד קצה הארץ
