(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(10124, -98, 4);[40, 300, 10, 8];משיח;2540;(14, 9, 9, 15, 2540);מטה;1;(14, 9, 9, 59, 10124);ויאמר אלי עון בית ישראל ויהודה גדול במאד מאד ותמלא הארץ דמים והעיר מלאה מטה כי אמרו עזב יהוה את הארץ ואין יהוה ראה
(38033, -98, 4);[40, 300, 10, 8];משיח;9609;(14, 27, 7, 3, 9609);ממצרים;6;(14, 27, 7, 13, 38033);שש ברקמה ממצרים היה מפרשך להיות לך לנס תכלת וארגמן מאיי אלישה היה מכסך
(34906, -97, 4);[40, 300, 10, 8];משיח;8823;(14, 24, 17, 2, 8823);דם;2;(14, 24, 17, 6, 34906);האנק דם מתים אבל לא תעשה פארך חבוש עליך ונעליך תשים ברגליך ולא תעטה על שפם ולחם אנשים לא תאכל
(7789, -96, 4);[40, 300, 10, 8];משיח;1961;(14, 7, 19, 22, 1961);מכשול;1;(14, 7, 19, 89, 7789);כספם בחוצות ישליכו וזהבם לנדה יהיה כספם וזהבם לא יוכל להצילם ביום עברת יהוה נפשם לא ישבעו ומעיהם לא ימלאו כי מכשול עונם היה
(34545, -96, 4);[40, 300, 10, 8];משיח;8733;(14, 24, 9, 9, 8733);גם;2;(14, 24, 9, 29, 34545);לכן כה אמר אדני יהוה אוי עיר הדמים גם אני אגדיל המדורה
(69329, -96, 4);[40, 300, 10, 8];משיח;17429;(14, 45, 23, 14, 17429);הימים;5;(14, 45, 23, 60, 69329);ושבעת ימי החג יעשה עולה ליהוה שבעת פרים ושבעת אילים תמימם ליום שבעת הימים וחטאת שעיר עזים ליום
(3169, -95, 4);[40, 300, 10, 8];משיח;808;(14, 3, 19, 7, 808);מרשעו;1;(14, 3, 19, 20, 3169);ואתה כי הזהרת רשע ולא שב מרשעו ומדרכו הרשעה הוא בעונו ימות ואתה את נפשך הצלת
(68240, -95, 4);[40, 300, 10, 8];משיח;17159;(14, 45, 6, 12, 17159);תרומת;4;(14, 45, 6, 50, 68240);ואחזת העיר תתנו חמשת אלפים רחב וארך חמשה ועשרים אלף לעמת תרומת הקדש לכל בית ישראל יהיה
(8168, -93, 4);[40, 300, 10, 8];משיח;2050;(14, 7, 27, 13, 2050);ובמשפטיהם;9;(14, 7, 27, 60, 8168);המלך יתאבל ונשיא ילבש שממה וידי עם הארץ תבהלנה מדרכם אעשה אותם ובמשפטיהם אשפטם וידעו כי אני יהוה
(18919, -92, 4);[40, 300, 10, 8];משיח;4752;(14, 16, 22, 8, 4752);ימי;2;(14, 16, 22, 30, 18919);ואת כל תועבתיך ותזנתיך לא זכרתי את ימי נעוריך בהיותך ערם ועריה מתבוססת בדמך היית
(2281, -90, 4);[40, 300, 10, 8];משיח;569;(14, 3, 3, 7, 569);ומעיך;2;(14, 3, 3, 23, 2281);ויאמר אלי בן אדם בטנך תאכל ומעיך תמלא את המגלה הזאת אשר אני נתן אליך ואכלה ותהי בפי כדבש למתוק
(46202, -90, 4);[40, 300, 10, 8];משיח;11650;(14, 32, 25, 18, 11650);חיים;4;(14, 32, 25, 73, 46202);בתוך חללים נתנו משכב לה בכל המונה סביבותיו קברתה כלם ערלים חללי חרב כי נתן חתיתם בארץ חיים וישאו כלמתם את יורדי בור בתוך חללים נתן
(6524, -86, 4);[40, 300, 10, 8];משיח;1637;(14, 6, 11, 9, 1637);ואמר;3;(14, 6, 11, 32, 6524);כה אמר אדני יהוה הכה בכפך ורקע ברגלך ואמר אח אל כל תועבות רעות בית ישראל אשר בחרב ברעב ובדבר יפלו
(59304, -86, 4);[40, 300, 10, 8];משיח;14967;(14, 40, 12, 6, 14967);ואמה;3;(14, 40, 12, 23, 59304);וגבול לפני התאות אמה אחת ואמה אחת גבול מפה והתא שש אמות מפו ושש אמות מפו
(63456, -86, 4);[40, 300, 10, 8];משיח;15966;(14, 42, 8, 13, 15966);מאה;1;(14, 42, 8, 47, 63456);כי ארך הלשכות אשר לחצר החצונה חמשים אמה והנה על פני ההיכל מאה אמה
(24000, -84, 4);[40, 300, 10, 8];משיח;6065;(14, 18, 25, 6, 6065);שמעו;2;(14, 18, 25, 21, 24000);ואמרתם לא יתכן דרך אדני שמעו נא בית ישראל הדרכי לא יתכן הלא דרכיכם לא יתכנו
(60359, -84, 4);[40, 300, 10, 8];משיח;15220;(14, 40, 31, 5, 15220);ותמרים;3;(14, 40, 31, 19, 60359);ואלמו אל חצר החצונה ותמרים אל אילו ומעלות שמונה מעלו
(60572, -80, 4);[40, 300, 10, 8];משיח;15270;(14, 40, 35, 6, 15270);כמדות;2;(14, 40, 35, 23, 60572);ויביאני אל שער הצפון ומדד כמדות האלה
(27615, -78, 4);[40, 300, 10, 8];משיח;6973;(14, 20, 40, 10, 6973);שם;2;(14, 20, 40, 34, 27615);כי בהר קדשי בהר מרום ישראל נאם אדני יהוה שם יעבדני כל בית ישראל כלה בארץ שם ארצם ושם אדרוש את תרומתיכם ואת ראשית משאותיכם בכל קדשיכם
(59333, -76, 4);[40, 300, 10, 8];משיח;14976;(14, 40, 12, 15, 14976);אמות;2;(14, 40, 12, 52, 59333);וגבול לפני התאות אמה אחת ואמה אחת גבול מפה והתא שש אמות מפו ושש אמות מפו
(47839, -73, 4);[40, 300, 10, 8];משיח;12079;(14, 33, 20, 9, 12079);אתכם;4;(14, 33, 20, 37, 47839);ואמרתם לא יתכן דרך אדני איש כדרכיו אשפוט אתכם בית ישראל
(60848, -69, 4);[40, 300, 10, 8];משיח;15333;(14, 40, 40, 16, 15333);שנים;4;(14, 40, 40, 68, 60848);ואל הכתף מחוצה לעולה לפתח השער הצפונה שנים שלחנות ואל הכתף האחרת אשר לאלם השער שנים שלחנות
(24743, -67, 4);[40, 300, 10, 8];משיח;6250;(14, 19, 9, 3, 6250);בחחים;5;(14, 19, 9, 16, 24743);ויתנהו בסוגר בחחים ויבאהו אל מלך בבל יבאהו במצדות למען לא ישמע קולו עוד אל הרי ישראל
(68809, -67, 4);[40, 300, 10, 8];משיח;17302;(14, 45, 15, 6, 17302);המאתים;6;(14, 45, 15, 20, 68809);ושה אחת מן הצאן מן המאתים ממשקה ישראל למנחה ולעולה ולשלמים לכפר עליהם נאם אדני יהוה
(46862, -66, 4);[40, 300, 10, 8];משיח;11821;(14, 33, 4, 1, 11821);ושמע;3;(14, 33, 4, 3, 46862);ושמע השמע את קול השופר ולא נזהר ותבוא חרב ותקחהו דמו בראשו יהיה
