(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(5342, -98, 4);[40, 300, 10, 8];משיח;1343;(17, 6, 14, 15, 1343);חמת;2;(17, 6, 14, 59, 5342);כי הנני מקים עליכם בית ישראל נאם יהוה אלהי הצבאות גוי ולחצו אתכם מלבוא חמת עד נחל הערבה
(4423, -93, 4);[40, 300, 10, 8];משיח;1122;(17, 5, 22, 9, 1122);ושלם;4;(17, 5, 22, 32, 4423);כי אם תעלו לי עלות ומנחתיכם לא ארצה ושלם מריאיכם לא אביט
(470, -91, 4);[40, 300, 10, 8];משיח;114;(17, 1, 8, 13, 114);פלשתים;6;(17, 1, 8, 65, 470);והכרתי יושב מאשדוד ותומך שבט מאשקלון והשיבותי ידי על עקרון ואבדו שארית פלשתים אמר אדני יהוה
(7160, -89, 4);[40, 300, 10, 8];משיח;1828;(17, 9, 3, 1, 1828);ואם;3;(17, 9, 3, 3, 7160);ואם יחבאו בראש הכרמל משם אחפש ולקחתים ואם יסתרו מנגד עיני בקרקע הים משם אצוה את הנחש ונשכם
(2227, -79, 4);[40, 300, 10, 8];משיח;558;(17, 3, 10, 10, 558);בארמנותיהם;10;(17, 3, 10, 45, 2227);ולא ידעו עשות נכחה נאם יהוה האוצרים חמס ושד בארמנותיהם
(3092, -79, 4);[40, 300, 10, 8];משיח;768;(17, 4, 9, 8, 768);ותאניכם;7;(17, 4, 9, 48, 3092);הכיתי אתכם בשדפון ובירקון הרבות גנותיכם וכרמיכם ותאניכם וזיתיכם יאכל הגזם ולא שבתם עדי נאם יהוה
(7230, -49, 4);[40, 300, 10, 8];משיח;1845;(17, 9, 3, 18, 1845);ונשכם;5;(17, 9, 3, 73, 7230);ואם יחבאו בראש הכרמל משם אחפש ולקחתים ואם יסתרו מנגד עיני בקרקע הים משם אצוה את הנחש ונשכם
(3477, -45, 4);[40, 300, 10, 8];משיח;870;(17, 5, 2, 11, 870);מקימה;4;(17, 5, 2, 42, 3477);נפלה לא תוסיף קום בתולת ישראל נטשה על אדמתה אין מקימה
(926, -2, 4);[40, 300, 10, 8];משיח;232;(17, 2, 2, 3, 232);במואב;2;(17, 2, 2, 10, 926);ושלחתי אש במואב ואכלה ארמנות הקריות ומת בשאון מואב בתרועה בקול שופר
(3171, -79, 5);[40, 40, 300, 10, 8];ממשיח;787;(17, 4, 10, 11, 787);סוסיכם;6;(17, 4, 10, 47, 3171);שלחתי בכם דבר בדרך מצרים הרגתי בחרב בחוריכם עם שבי סוסיכם ואעלה באש מחניכם ובאפכם ולא שבתם עדי נאם יהוה
(470, -91, 5);[40, 300, 10, 8, 10];משיחי;114;(17, 1, 8, 13, 114);פלשתים;6;(17, 1, 8, 65, 470);והכרתי יושב מאשדוד ותומך שבט מאשקלון והשיבותי ידי על עקרון ואבדו שארית פלשתים אמר אדני יהוה
(3092, -79, 5);[40, 300, 10, 8, 6];משיחו;768;(17, 4, 9, 8, 768);ותאניכם;7;(17, 4, 9, 48, 3092);הכיתי אתכם בשדפון ובירקון הרבות גנותיכם וכרמיכם ותאניכם וזיתיכם יאכל הגזם ולא שבתם עדי נאם יהוה
(3171, -79, 6);[40, 40, 300, 10, 8, 6];ממשיחו;787;(17, 4, 10, 11, 787);סוסיכם;6;(17, 4, 10, 47, 3171);שלחתי בכם דבר בדרך מצרים הרגתי בחרב בחוריכם עם שבי סוסיכם ואעלה באש מחניכם ובאפכם ולא שבתם עדי נאם יהוה
(7230, -49, 5);[40, 300, 10, 8, 5];משיחה;1845;(17, 9, 3, 18, 1845);ונשכם;5;(17, 9, 3, 73, 7230);ואם יחבאו בראש הכרמל משם אחפש ולקחתים ואם יסתרו מנגד עיני בקרקע הים משם אצוה את הנחש ונשכם
