(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(47019, -99, 4);[40, 300, 10, 8];משיח;12526;(1, 32, 11, 5, 12526);האמת;3;(1, 32, 11, 21, 47019);קטנתי מכל החסדים ומכל האמת אשר עשית את עבדך כי במקלי עברתי את הירדן הזה ועתה הייתי לשני מחנות
(70514, -99, 4);[40, 300, 10, 8];משיח;18655;(1, 46, 5, 12, 18655);טפם;3;(1, 46, 5, 45, 70514);ויקם יעקב מבאר שבע וישאו בני ישראל את יעקב אביהם ואת טפם ואת נשיהם בעגלות אשר שלח פרעה לשאת אתו
(37945, -98, 4);[40, 300, 10, 8];משיח;10084;(1, 27, 36, 4, 10084);שמו;2;(1, 27, 36, 13, 37945);ויאמר הכי קרא שמו יעקב ויעקבני זה פעמים את בכרתי לקח והנה עתה לקח ברכתי ויאמר הלא אצלת לי ברכה
(8711, -97, 4);[40, 300, 10, 8];משיח;2338;(1, 7, 16, 4, 2338);מכל;1;(1, 7, 16, 15, 8711);והבאים זכר ונקבה מכל בשר באו כאשר צוה אתו אלהים ויסגר יהוה בעדו
(13787, -95, 4);[40, 300, 10, 8];משיח;3691;(1, 11, 25, 13, 3691);בנים;4;(1, 11, 25, 49, 13787);ויחי נחור אחרי הולידו את תרח תשע עשרה שנה ומאת שנה ויולד בנים ובנות
(32892, -95, 4);[40, 300, 10, 8];משיח;8770;(1, 25, 2, 8, 8770);מדן;1;(1, 25, 2, 23, 32892);ותלד לו את זמרן ואת יקשן ואת מדן ואת מדין ואת ישבק ואת שוח
(9556, -94, 4);[40, 300, 10, 8];משיח;2561;(1, 8, 9, 12, 2561);מים;3;(1, 8, 9, 42, 9556);ולא מצאה היונה מנוח לכף רגלה ותשב אליו אל התבה כי מים על פני כל הארץ וישלח ידו ויקחה ויבא אתה אליו אל התבה
(38810, -92, 4);[40, 300, 10, 8];משיח;10320;(1, 28, 4, 16, 10320);לאברהם;6;(1, 28, 4, 60, 38810);ויתן לך את ברכת אברהם לך ולזרעך אתך לרשתך את ארץ מגריך אשר נתן אלהים לאברהם
(24809, -90, 4);[40, 300, 10, 8];משיח;6608;(1, 20, 8, 14, 6608);האנשים;6;(1, 20, 8, 66, 24809);וישכם אבימלך בבקר ויקרא לכל עבדיו וידבר את כל הדברים האלה באזניהם וייראו האנשים מאד
(35569, -89, 4);[40, 300, 10, 8];משיח;9459;(1, 26, 22, 12, 9459);ויאמר;4;(1, 26, 22, 47, 35569);ויעתק משם ויחפר באר אחרת ולא רבו עליה ויקרא שמה רחבות ויאמר כי עתה הרחיב יהוה לנו ופרינו בארץ
(56726, -89, 4);[40, 300, 10, 8];משיח;15081;(1, 38, 16, 5, 15081);ויאמר;4;(1, 38, 16, 17, 56726);ויט אליה אל הדרך ויאמר הבה נא אבוא אליך כי לא ידע כי כלתו הוא ותאמר מה תתן לי כי תבוא אלי
(67854, -87, 4);[40, 300, 10, 8];משיח;17953;(1, 44, 16, 22, 17953);נמצא;2;(1, 44, 16, 82, 67854);ויאמר יהודה מה נאמר לאדני מה נדבר ומה נצטדק האלהים מצא את עון עבדיך הננו עבדים לאדני גם אנחנו גם אשר נמצא הגביע בידו
(38581, -86, 4);[40, 300, 10, 8];משיח;10258;(1, 27, 46, 14, 10258);מבנות;1;(1, 27, 46, 46, 38581);ותאמר רבקה אל יצחק קצתי בחיי מפני בנות חת אם לקח יעקב אשה מבנות חת כאלה מבנות הארץ למה לי חיים
(11599, -84, 4);[40, 300, 10, 8];משיח;3122;(1, 10, 1, 9, 3122);להם;3;(1, 10, 1, 31, 11599);ואלה תולדת בני נח שם חם ויפת ויולדו להם בנים אחר המבול
