(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(35385, -99, 4);[40, 300, 10, 8];משיח;8849;(27, 69, 33, 7, 8849);לבבכם;5;(27, 69, 33, 31, 35385);ראו ענוים ישמחו דרשי אלהים ויחי לבבכם
(21889, -98, 4);[40, 300, 10, 8];משיח;5497;(27, 44, 6, 6, 5497);קמינו;2;(27, 44, 6, 21, 21889);בך צרינו ננגח בשמך נבוס קמינו
(65258, -98, 4);[40, 300, 10, 8];משיח;16228;(27, 119, 53, 3, 16228);מרשעים;1;(27, 119, 53, 12, 65258);זלעפה אחזתני מרשעים עזבי תורתך
(11333, -95, 4);[40, 300, 10, 8];משיח;2848;(27, 25, 22, 2, 2848);אלהים;5;(27, 25, 22, 8, 11333);פדה אלהים את ישראל מכל צרותיו
(31275, -95, 4);[40, 300, 10, 8];משיח;7858;(27, 63, 10, 1, 7858);והמה;3;(27, 63, 10, 3, 31275);והמה לשואה יבקשו נפשי יבאו בתחתיות הארץ
(31433, -95, 4);[40, 300, 10, 8];משיח;7897;(27, 64, 3, 3, 7897);מרעים;1;(27, 64, 3, 12, 31433);תסתירני מסוד מרעים מרגשת פעלי און
(11370, -94, 4);[40, 300, 10, 8];משיח;2858;(27, 26, 1, 6, 2858);בתמי;3;(27, 26, 1, 21, 11370);לדוד שפטני יהוה כי אני בתמי הלכתי וביהוה בטחתי לא אמעד
(22621, -93, 4);[40, 300, 10, 8];משיח;5674;(27, 45, 3, 11, 5674);לעולם;5;(27, 45, 3, 45, 22621);יפיפית מבני אדם הוצק חן בשפתותיך על כן ברכך אלהים לעולם
(75234, -92, 4);[40, 300, 10, 8];משיח;18714;(27, 142, 5, 9, 18714);ממני;2;(27, 142, 5, 31, 75234);הביט ימין וראה ואין לי מכיר אבד מנוס ממני אין דורש לנפשי
(75337, -90, 4);[40, 300, 10, 8];משיח;18739;(27, 142, 8, 2, 18739);ממסגר;2;(27, 142, 8, 8, 75337);הוציאה ממסגר נפשי להודות את שמך בי יכתרו צדיקים כי תגמל עלי
(36698, -89, 4);[40, 300, 10, 8];משיח;9168;(27, 72, 6, 2, 9168);כמטר;2;(27, 72, 6, 5, 36698);ירד כמטר על גז כרביבים זרזיף ארץ
(75222, -88, 4);[40, 300, 10, 8];משיח;18711;(27, 142, 5, 6, 18711);מכיר;1;(27, 142, 5, 19, 75222);הביט ימין וראה ואין לי מכיר אבד מנוס ממני אין דורש לנפשי
(16302, -84, 4);[40, 300, 10, 8];משיח;4103;(27, 35, 10, 7, 4103);מציל;1;(27, 35, 10, 25, 16302);כל עצמותי תאמרנה יהוה מי כמוך מציל עני מחזק ממנו ועני ואביון מגזלו
(7054, -81, 4);[40, 300, 10, 8];משיח;1780;(27, 18, 22, 7, 1780);מאלהי;1;(27, 18, 22, 24, 7054);כי שמרתי דרכי יהוה ולא רשעתי מאלהי
(69420, -81, 4);[40, 300, 10, 8];משיח;17238;(27, 124, 7, 3, 17238);נמלטה;2;(27, 124, 7, 12, 69420);נפשנו כצפור נמלטה מפח יוקשים הפח נשבר ואנחנו נמלטנו
(30637, -80, 4);[40, 300, 10, 8];משיח;7690;(27, 62, 3, 5, 7690);משגבי;1;(27, 62, 3, 17, 30637);אך הוא צורי וישועתי משגבי לא אמוט רבה
(12032, -79, 4);[40, 300, 10, 8];משיח;3022;(27, 27, 8, 2, 3022);אמר;2;(27, 27, 8, 4, 12032);לך אמר לבי בקשו פני את פניך יהוה אבקש
(26068, -79, 4);[40, 300, 10, 8];משיח;6541;(27, 51, 16, 2, 6541);מדמים;3;(27, 51, 16, 9, 26068);הצילני מדמים אלהים אלהי תשועתי תרנן לשוני צדקתך
(30551, -79, 4);[40, 300, 10, 8];משיח;7668;(27, 61, 9, 3, 7668);שמך;2;(27, 61, 9, 9, 30551);כן אזמרה שמך לעד לשלמי נדרי יום יום
(55124, -78, 4);[40, 300, 10, 8];משיח;13745;(27, 104, 18, 1, 13745);הרים;4;(27, 104, 18, 4, 55124);הרים הגבהים ליעלים סלעים מחסה לשפנים
(26039, -77, 4);[40, 300, 10, 8];משיח;6535;(27, 51, 15, 2, 6535);פשעים;5;(27, 51, 15, 10, 26039);אלמדה פשעים דרכיך וחטאים אליך ישובו
