(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(1702, -98, 4);[40, 300, 10, 8];משיח;453;(32, 2, 5, 8, 453);ארמנותיה;3;(32, 2, 5, 28, 1702);היה אדני כאויב בלע ישראל בלע כל ארמנותיה שחת מבצריו וירב בבת יהודה תאניה ואניה
(2138, -87, 4);[40, 300, 10, 8];משיח;561;(32, 2, 12, 2, 561);יאמרו;3;(32, 2, 12, 8, 2138);לאמתם יאמרו איה דגן ויין בהתעטפם כחלל ברחבות עיר בהשתפך נפשם אל חיק אמתם
(2476, -58, 4);[40, 300, 10, 8];משיח;650;(32, 2, 17, 4, 650);זמם;3;(32, 2, 17, 13, 2476);עשה יהוה אשר זמם בצע אמרתו אשר צוה מימי קדם הרס ולא חמל וישמח עליך אויב הרים קרן צריך
(221, -47, 4);[40, 300, 10, 8];משיח;57;(32, 1, 4, 9, 57);שוממין;3;(32, 1, 4, 34, 221);דרכי ציון אבלות מבלי באי מועד כל שעריה שוממין כהניה נאנחים בתולתיה נוגות והיא מר לה
(2078, -43, 4);[40, 300, 10, 8];משיח;546;(32, 2, 11, 4, 546);חמרמרו;2;(32, 2, 11, 15, 2078);כלו בדמעות עיני חמרמרו מעי נשפך לארץ כבדי על שבר בת עמי בעטף עולל ויונק ברחבות קריה
(2992, -41, 4);[40, 300, 10, 8];משיח;787;(32, 3, 6, 1, 787);במחשכים;7;(32, 3, 6, 7, 2992);במחשכים הושיבני כמתי עולם
(3550, -37, 4);[40, 300, 10, 8];משיח;928;(32, 3, 31, 4, 928);לעולם;5;(32, 3, 31, 13, 3550);כי לא יזנח לעולם אדני
(4336, -37, 4);[40, 300, 10, 8];משיח;1135;(32, 3, 66, 3, 1135);ותשמידם;4;(32, 3, 66, 11, 4336);תרדף באף ותשמידם מתחת שמי יהוה
(4772, -32, 4);[40, 300, 10, 8];משיח;1245;(32, 4, 10, 3, 1245);רחמניות;3;(32, 4, 10, 10, 4772);ידי נשים רחמניות בשלו ילדיהן היו לברות למו בשבר בת עמי
(622, -26, 4);[40, 300, 10, 8];משיח;166;(32, 1, 10, 11, 166);מקדשה;1;(32, 1, 10, 32, 622);ידו פרש צר על כל מחמדיה כי ראתה גוים באו מקדשה אשר צויתה לא יבאו בקהל לך
(5863, -26, 4);[40, 300, 10, 8];משיח;1512;(32, 5, 18, 5, 1512);שועלים;6;(32, 5, 18, 18, 5863);על הר ציון ששמם שועלים הלכו בו
(2189, -10, 4);[40, 300, 10, 8];משיח;573;(32, 2, 12, 14, 573);אמתם;4;(32, 2, 12, 59, 2189);לאמתם יאמרו איה דגן ויין בהתעטפם כחלל ברחבות עיר בהשתפך נפשם אל חיק אמתם
(2534, -58, 5);[30, 40, 300, 10, 8];למשיח;667;(32, 2, 18, 2, 667);לבם;1;(32, 2, 18, 4, 2534);צעק לבם אל אדני חומת בת ציון הורידי כנחל דמעה יומם ולילה אל תתני פוגת לך אל תדם בת עינך
(648, -26, 5);[30, 40, 300, 10, 8];למשיח;173;(32, 1, 11, 1, 173);כל;2;(32, 1, 11, 2, 648);כל עמה נאנחים מבקשים לחם נתנו מחמודיהם באכל להשיב נפש ראה יהוה והביטה כי הייתי זוללה
(5889, -26, 5);[30, 40, 300, 10, 8];למשיח;1520;(32, 5, 19, 6, 1520);לדר;1;(32, 5, 19, 20, 5889);אתה יהוה לעולם תשב כסאך לדר ודור
(2078, -43, 5);[40, 300, 10, 8, 10];משיחי;546;(32, 2, 11, 4, 546);חמרמרו;2;(32, 2, 11, 15, 2078);כלו בדמעות עיני חמרמרו מעי נשפך לארץ כבדי על שבר בת עמי בעטף עולל ויונק ברחבות קריה
(2189, -10, 5);[40, 300, 10, 8, 10];משיחי;573;(32, 2, 12, 14, 573);אמתם;4;(32, 2, 12, 59, 2189);לאמתם יאמרו איה דגן ויין בהתעטפם כחלל ברחבות עיר בהשתפך נפשם אל חיק אמתם
(622, -26, 5);[40, 300, 10, 8, 6];משיחו;166;(32, 1, 10, 11, 166);מקדשה;1;(32, 1, 10, 32, 622);ידו פרש צר על כל מחמדיה כי ראתה גוים באו מקדשה אשר צויתה לא יבאו בקהל לך
(648, -26, 6);[30, 40, 300, 10, 8, 6];למשיחו;173;(32, 1, 11, 1, 173);כל;2;(32, 1, 11, 2, 648);כל עמה נאנחים מבקשים לחם נתנו מחמודיהם באכל להשיב נפש ראה יהוה והביטה כי הייתי זוללה
