(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(471, -97, 4);[40, 300, 10, 8];משיח;127;(33, 1, 12, 4, 127);מלך;1;(33, 1, 12, 13, 471);אני קהלת הייתי מלך על ישראל בירושלם
(10745, -95, 4);[40, 300, 10, 8];משיח;2926;(33, 12, 9, 13, 2926);משלים;5;(33, 12, 9, 45, 10745);ויתר שהיה קהלת חכם עוד למד דעת את העם ואזן וחקר תקן משלים הרבה
(2933, -92, 4);[40, 300, 10, 8];משיח;785;(33, 3, 17, 17, 785);שם;2;(33, 3, 17, 58, 2933);אמרתי אני בלבי את הצדיק ואת הרשע ישפט האלהים כי עת לכל חפץ ועל כל המעשה שם
(8260, -83, 4);[40, 300, 10, 8];משיח;2275;(33, 9, 7, 3, 2275);בשמחה;3;(33, 9, 7, 8, 8260);לך אכל בשמחה לחמך ושתה בלב טוב יינך כי כבר רצה האלהים את מעשיך
(4039, -81, 4);[40, 300, 10, 8];משיח;1098;(33, 4, 17, 9, 1098);לשמע;3;(33, 4, 17, 34, 4039);שמר רגליך כאשר תלך אל בית האלהים וקרוב לשמע מתת הכסילים זבח כי אינם יודעים לעשות רע
(6162, -75, 4);[40, 300, 10, 8];משיח;1693;(33, 7, 14, 21, 1693);מאומה;1;(33, 7, 14, 70, 6162);ביום טובה היה בטוב וביום רעה ראה גם את זה לעמת זה עשה האלהים על דברת שלא ימצא האדם אחריו מאומה
(10355, -75, 4);[40, 300, 10, 8];משיח;2828;(33, 12, 2, 8, 2828);והכוכבים;8;(33, 12, 2, 33, 10355);עד אשר לא תחשך השמש והאור והירח והכוכבים ושבו העבים אחר הגשם
(6690, -73, 4);[40, 300, 10, 8];משיח;1838;(33, 7, 27, 4, 1838);אמרה;2;(33, 7, 27, 12, 6690);ראה זה מצאתי אמרה קהלת אחת לאחת למצא חשבון
(8323, -71, 4);[40, 300, 10, 8];משיח;2292;(33, 9, 8, 6, 2292);ושמן;3;(33, 9, 8, 22, 8323);בכל עת יהיו בגדיך לבנים ושמן על ראשך אל יחסר
(1871, -70, 4);[40, 300, 10, 8];משיח;490;(33, 2, 19, 13, 490);השמש;3;(33, 2, 19, 51, 1871);ומי יודע החכם יהיה או סכל וישלט בכל עמלי שעמלתי ושחכמתי תחת השמש גם זה הבל
(3293, -69, 4);[40, 300, 10, 8];משיח;885;(33, 4, 1, 16, 885);מנחם;1;(33, 4, 1, 60, 3293);ושבתי אני ואראה את כל העשקים אשר נעשים תחת השמש והנה דמעת העשקים ואין להם מנחם ומיד עשקיהם כח ואין להם מנחם
(9519, -61, 4);[40, 300, 10, 8];משיח;2606;(33, 10, 16, 4, 2606);שמלכך;2;(33, 10, 16, 9, 9519);אי לך ארץ שמלכך נער ושריך בבקר יאכלו
(10304, -58, 4);[40, 300, 10, 8];משיח;2814;(33, 12, 1, 13, 2814);שנים;4;(33, 12, 1, 51, 10304);וזכר את בוראיך בימי בחורתיך עד אשר לא יבאו ימי הרעה והגיעו שנים אשר תאמר אין לי בהם חפץ
(6998, -53, 4);[40, 300, 10, 8];משיח;1926;(33, 8, 5, 11, 1926);חכם;3;(33, 8, 5, 34, 6998);שומר מצוה לא ידע דבר רע ועת ומשפט ידע לב חכם
(3596, -37, 4);[40, 300, 10, 8];משיח;975;(33, 4, 8, 14, 975);גם;2;(33, 4, 8, 39, 3596);יש אחד ואין שני גם בן ואח אין לו ואין קץ לכל עמלו גם עיניו לא תשבע עשר ולמי אני עמל ומחסר את נפשי מטובה גם זה הבל וענין רע הוא
(8457, -32, 4);[40, 300, 10, 8];משיח;2334;(33, 9, 10, 10, 2334);מעשה;1;(33, 9, 10, 30, 8457);כל אשר תמצא ידך לעשות בכחך עשה כי אין מעשה וחשבון ודעת וחכמה בשאול אשר אתה הלך שמה
(3292, -30, 4);[40, 300, 10, 8];משיח;884;(33, 4, 1, 15, 884);להם;3;(33, 4, 1, 59, 3292);ושבתי אני ואראה את כל העשקים אשר נעשים תחת השמש והנה דמעת העשקים ואין להם מנחם ומיד עשקיהם כח ואין להם מנחם
(9845, -26, 4);[40, 300, 10, 8];משיח;2691;(33, 11, 3, 11, 2691);בדרום;5;(33, 11, 3, 40, 9845);אם ימלאו העבים גשם על הארץ יריקו ואם יפול עץ בדרום ואם בצפון מקום שיפול העץ שם יהוא
