(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(9078, -96, 4);[40, 300, 10, 8];משיח;2316;(34, 8, 9, 42, 2316);ככתבם;5;(34, 8, 9, 186, 9078);ויקראו ספרי המלך בעת ההיא בחדש השלישי הוא חדש סיון בשלושה ועשרים בו ויכתב ככל אשר צוה מרדכי אל היהודים ואל האחשדרפנים והפחות ושרי המדינות אשר מהדו ועד כוש שבע ועשרים ומאה מדינה מדינה ומדינה ככתבה ועם ועם כלשנו ואל היהודים ככתבם וכלשונם
(9410, -96, 4);[40, 300, 10, 8];משיח;2392;(34, 8, 14, 1, 2392);הרצים;5;(34, 8, 14, 5, 9410);הרצים רכבי הרכש האחשתרנים יצאו מבהלים ודחופים בדבר המלך והדת נתנה בשושן הבירה
(10851, -91, 4);[40, 300, 10, 8];משיח;2738;(34, 9, 19, 3, 2738);היהודים;7;(34, 9, 19, 11, 10851);על כן היהודים הפרוזים הישבים בערי הפרזות עשים את יום ארבעה עשר לחדש אדר שמחה ומשתה ויום טוב ומשלוח מנות איש לרעהו
(2818, -84, 4);[40, 300, 10, 8];משיח;719;(34, 2, 17, 15, 719);מלכות;1;(34, 2, 17, 55, 2818);ויאהב המלך את אסתר מכל הנשים ותשא חן וחסד לפניו מכל הבתולת וישם כתר מלכות בראשה וימליכה תחת ושתי
(7561, -44, 4);[40, 300, 10, 8];משיח;1934;(34, 7, 2, 2, 1934);המלך;2;(34, 7, 2, 7, 7561);ויאמר המלך לאסתר גם ביום השני במשתה היין מה שאלתך אסתר המלכה ותנתן לך ומה בקשתך עד חצי המלכות ותעש
(7887, -41, 4);[40, 300, 10, 8];משיח;2017;(34, 7, 6, 11, 2017);מלפני;1;(34, 7, 6, 37, 7887);ותאמר אסתר איש צר ואויב המן הרע הזה והמן נבעת מלפני המלך והמלכה
(675, -33, 4);[40, 300, 10, 8];משיח;163;(34, 1, 11, 10, 163);העמים;3;(34, 1, 11, 42, 675);להביא את ושתי המלכה לפני המלך בכתר מלכות להראות העמים והשרים את יפיה כי טובת מראה היא
(11195, -29, 4);[40, 300, 10, 8];משיח;2818;(34, 9, 22, 26, 2818);לאביונים;8;(34, 9, 22, 119, 11195);כימים אשר נחו בהם היהודים מאויביהם והחדש אשר נהפך להם מיגון לשמחה ומאבל ליום טוב לעשות אותם ימי משתה ושמחה ומשלוח מנות איש לרעהו ומתנות לאביונים
(11153, -8, 4);[40, 300, 10, 8];משיח;2810;(34, 9, 22, 18, 2810);ימי;2;(34, 9, 22, 77, 11153);כימים אשר נחו בהם היהודים מאויביהם והחדש אשר נהפך להם מיגון לשמחה ומאבל ליום טוב לעשות אותם ימי משתה ושמחה ומשלוח מנות איש לרעהו ומתנות לאביונים
(7649, -44, 6);[1, 400, 40, 300, 10, 8];את משיח;1956;(34, 7, 3, 4, 1956);ותאמר;3;(34, 7, 3, 16, 7649);ותען אסתר המלכה ותאמר אם מצאתי חן בעיניך המלך ואם על המלך טוב תנתן לי נפשי בשאלתי ועמי בבקשתי
(11161, -8, 5);[40, 40, 300, 10, 8];ממשיח;2812;(34, 9, 22, 20, 2812);ושמחה;3;(34, 9, 22, 85, 11161);כימים אשר נחו בהם היהודים מאויביהם והחדש אשר נהפך להם מיגון לשמחה ומאבל ליום טוב לעשות אותם ימי משתה ושמחה ומשלוח מנות איש לרעהו ומתנות לאביונים
(9174, -96, 5);[5, 40, 300, 10, 8];המשיח;2337;(34, 8, 11, 3, 2337);המלך;1;(34, 8, 11, 7, 9174);אשר נתן המלך ליהודים אשר בכל עיר ועיר להקהל ולעמד על נפשם להשמיד ולהרג ולאבד את כל חיל עם ומדינה הצרים אתם טף ונשים ושללם לבוז
(7928, -41, 5);[5, 40, 300, 10, 8];המשיח;2027;(34, 7, 7, 8, 2027);הביתן;1;(34, 7, 7, 27, 7928);והמלך קם בחמתו ממשתה היין אל גנת הביתן והמן עמד לבקש על נפשו מאסתר המלכה כי ראה כי כלתה אליו הרעה מאת המלך
(708, -33, 5);[5, 40, 300, 10, 8];המשיח;172;(34, 1, 12, 2, 172);המלכה;1;(34, 1, 12, 6, 708);ותמאן המלכה ושתי לבוא בדבר המלך אשר ביד הסריסים ויקצף המלך מאד וחמתו בערה בו
(741, -33, 6);[40, 5, 40, 300, 10, 8];מהמשיח;179;(34, 1, 12, 9, 179);הסריסים;7;(34, 1, 12, 39, 741);ותמאן המלכה ושתי לבוא בדבר המלך אשר ביד הסריסים ויקצף המלך מאד וחמתו בערה בו
(9366, -96, 7);[40, 10, 5, 40, 300, 10, 8];מי המשיח;2384;(34, 8, 13, 10, 2384);העמים;5;(34, 8, 13, 42, 9366);פתשגן הכתב להנתן דת בכל מדינה ומדינה גלוי לכל העמים ולהיות היהודיים עתודים ליום הזה להנקם מאיביהם
(9410, -96, 5);[40, 300, 10, 8, 10];משיחי;2392;(34, 8, 14, 1, 2392);הרצים;5;(34, 8, 14, 5, 9410);הרצים רכבי הרכש האחשתרנים יצאו מבהלים ודחופים בדבר המלך והדת נתנה בשושן הבירה
(10851, -91, 5);[40, 300, 10, 8, 10];משיחי;2738;(34, 9, 19, 3, 2738);היהודים;7;(34, 9, 19, 11, 10851);על כן היהודים הפרוזים הישבים בערי הפרזות עשים את יום ארבעה עשר לחדש אדר שמחה ומשתה ויום טוב ומשלוח מנות איש לרעהו
(7887, -41, 5);[40, 300, 10, 8, 10];משיחי;2017;(34, 7, 6, 11, 2017);מלפני;1;(34, 7, 6, 37, 7887);ותאמר אסתר איש צר ואויב המן הרע הזה והמן נבעת מלפני המלך והמלכה
(7561, -44, 5);[40, 300, 10, 8, 6];משיחו;1934;(34, 7, 2, 2, 1934);המלך;2;(34, 7, 2, 7, 7561);ויאמר המלך לאסתר גם ביום השני במשתה היין מה שאלתך אסתר המלכה ותנתן לך ומה בקשתך עד חצי המלכות ותעש
(7649, -44, 7);[1, 400, 40, 300, 10, 8, 6];את משיחו;1956;(34, 7, 3, 4, 1956);ותאמר;3;(34, 7, 3, 16, 7649);ותען אסתר המלכה ותאמר אם מצאתי חן בעיניך המלך ואם על המלך טוב תנתן לי נפשי בשאלתי ועמי בבקשתי
(675, -33, 5);[40, 300, 10, 8, 5];משיחה;163;(34, 1, 11, 10, 163);העמים;3;(34, 1, 11, 42, 675);להביא את ושתי המלכה לפני המלך בכתר מלכות להראות העמים והשרים את יפיה כי טובת מראה היא
