(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(19438, -100, 4);[40, 300, 10, 8];משיח;4729;(35, 9, 25, 3, 4729);מן;1;(35, 9, 25, 10, 19438);ותדע ותשכל מן מצא דבר להשיב ולבנות ירושלם עד משיח נגיד שבעים שבעה ושבעים ששים ושנים תשוב ונבנתה רחוב וחרוץ ובצוק העתים
(22749, -96, 4);[40, 300, 10, 8];משיח;5552;(35, 11, 31, 2, 5552);ממנו;1;(35, 11, 31, 7, 22749);וזרעים ממנו יעמדו וחללו המקדש המעוז והסירו התמיד ונתנו השקוץ משומם
(19732, -88, 4);[40, 300, 10, 8];משיח;4800;(35, 10, 1, 11, 4800);שמו;2;(35, 10, 1, 41, 19732);בשנת שלוש לכורש מלך פרס דבר נגלה לדניאל אשר נקרא שמו בלטשאצר ואמת הדבר וצבא גדול ובין את הדבר ובינה לו במראה
(12485, -84, 4);[40, 300, 10, 8];משיח;3027;(35, 6, 8, 9, 3027);לקימה;4;(35, 6, 8, 49, 12485);אתיעטו כל סרכי מלכותא סגניא ואחשדרפניא הדבריא ופחותא לקימה קים מלכא ולתקפה אסר די כל די יבעה בעו מן כל אלה ואנש עד יומין תלתין להן מנך מלכא יתרמא לגב אריותא
(14256, -75, 4);[40, 300, 10, 8];משיח;3482;(35, 7, 2, 12, 3482);שמיא;2;(35, 7, 2, 45, 14256);ענה דניאל ואמר חזה הוית בחזוי עם ליליא וארו ארבע רוחי שמיא מגיחן לימא רבא
(19399, -66, 4);[40, 300, 10, 8];משיח;4720;(35, 9, 24, 17, 4720);עלמים;3;(35, 9, 24, 67, 19399);שבעים שבעים נחתך על עמך ועל עיר קדשך לכלא הפשע ולחתם חטאות ולכפר עון ולהביא צדק עלמים ולחתם חזון ונביא ולמשח קדש קדשים
(21017, -54, 4);[40, 300, 10, 8];משיח;5130;(35, 10, 21, 16, 5130);מיכאל;1;(35, 10, 21, 48, 21017);אבל אגיד לך את הרשום בכתב אמת ואין אחד מתחזק עמי על אלה כי אם מיכאל שרכם
(15371, -44, 4);[40, 300, 10, 8];משיח;3762;(35, 7, 17, 8, 3762);מלכין;1;(35, 7, 17, 31, 15371);אלין חיותא רברבתא די אנין ארבע ארבעה מלכין יקומון מן ארעא
(19732, -43, 4);[40, 300, 10, 8];משיח;4800;(35, 10, 1, 11, 4800);שמו;2;(35, 10, 1, 41, 19732);בשנת שלוש לכורש מלך פרס דבר נגלה לדניאל אשר נקרא שמו בלטשאצר ואמת הדבר וצבא גדול ובין את הדבר ובינה לו במראה
(7479, -40, 4);[40, 300, 10, 8];משיח;1819;(35, 4, 4, 13, 1819);מהודעין;1;(35, 4, 4, 58, 7479);באדין עללין חרטמיא אשפיא כשדיא וגזריא וחלמא אמר אנה קדמיהון ופשרה לא מהודעין לי
(24254, -9, 4);[40, 300, 10, 8];משיח;5910;(35, 12, 12, 8, 5910);שלשים;5;(35, 12, 12, 34, 24254);אשרי המחכה ויגיע לימים אלף שלש מאות שלשים וחמשה
(17616, -5, 4);[40, 300, 10, 8];משיח;4295;(35, 8, 25, 13, 4295);שרים;4;(35, 8, 25, 56, 17616);ועל שכלו והצליח מרמה בידו ובלבבו יגדיל ובשלוה ישחית רבים ועל שר שרים יעמד ובאפס יד ישבר
(14256, -1, 4);[40, 300, 10, 8];משיח;3482;(35, 7, 2, 12, 3482);שמיא;2;(35, 7, 2, 45, 14256);ענה דניאל ואמר חזה הוית בחזוי עם ליליא וארו ארבע רוחי שמיא מגיחן לימא רבא
(19820, -88, 5);[40, 40, 300, 10, 8];ממשיח;4821;(35, 10, 3, 1, 4821);לחם;3;(35, 10, 3, 3, 19820);לחם חמדות לא אכלתי ובשר ויין לא בא אל פי וסוך לא סכתי עד מלאת שלשת שבעים ימים
(19465, -66, 5);[40, 40, 300, 10, 8];ממשיח;4736;(35, 9, 25, 10, 4736);משיח;1;(35, 9, 25, 37, 19465);ותדע ותשכל מן מצא דבר להשיב ולבנות ירושלם עד משיח נגיד שבעים שבעה ושבעים ששים ושנים תשוב ונבנתה רחוב וחרוץ ובצוק העתים
(19775, -43, 5);[40, 40, 300, 10, 8];ממשיח;4811;(35, 10, 1, 22, 4811);במראה;2;(35, 10, 1, 84, 19775);בשנת שלוש לכורש מלך פרס דבר נגלה לדניאל אשר נקרא שמו בלטשאצר ואמת הדבר וצבא גדול ובין את הדבר ובינה לו במראה
(24263, -9, 5);[5, 40, 300, 10, 8];המשיח;5912;(35, 12, 13, 1, 5912);ואתה;4;(35, 12, 13, 4, 24263);ואתה לך לקץ ותנוח ותעמד לגרלך לקץ הימין
(19399, -66, 5);[40, 300, 10, 8, 10];משיחי;4720;(35, 9, 24, 17, 4720);עלמים;3;(35, 9, 24, 67, 19399);שבעים שבעים נחתך על עמך ועל עיר קדשך לכלא הפשע ולחתם חטאות ולכפר עון ולהביא צדק עלמים ולחתם חזון ונביא ולמשח קדש קדשים
(19465, -66, 6);[40, 40, 300, 10, 8, 10];ממשיחי;4736;(35, 9, 25, 10, 4736);משיח;1;(35, 9, 25, 37, 19465);ותדע ותשכל מן מצא דבר להשיב ולבנות ירושלם עד משיח נגיד שבעים שבעה ושבעים ששים ושנים תשוב ונבנתה רחוב וחרוץ ובצוק העתים
(19732, -88, 5);[40, 300, 10, 8, 6];משיחו;4800;(35, 10, 1, 11, 4800);שמו;2;(35, 10, 1, 41, 19732);בשנת שלוש לכורש מלך פרס דבר נגלה לדניאל אשר נקרא שמו בלטשאצר ואמת הדבר וצבא גדול ובין את הדבר ובינה לו במראה
(19732, -43, 5);[40, 300, 10, 8, 6];משיחו;4800;(35, 10, 1, 11, 4800);שמו;2;(35, 10, 1, 41, 19732);בשנת שלוש לכורש מלך פרס דבר נגלה לדניאל אשר נקרא שמו בלטשאצר ואמת הדבר וצבא גדול ובין את הדבר ובינה לו במראה
(14256, -1, 5);[40, 300, 10, 8, 6];משיחו;3482;(35, 7, 2, 12, 3482);שמיא;2;(35, 7, 2, 45, 14256);ענה דניאל ואמר חזה הוית בחזוי עם ליליא וארו ארבע רוחי שמיא מגיחן לימא רבא
(19820, -88, 6);[40, 40, 300, 10, 8, 6];ממשיחו;4821;(35, 10, 3, 1, 4821);לחם;3;(35, 10, 3, 3, 19820);לחם חמדות לא אכלתי ובשר ויין לא בא אל פי וסוך לא סכתי עד מלאת שלשת שבעים ימים
(19775, -43, 6);[40, 40, 300, 10, 8, 6];ממשיחו;4811;(35, 10, 1, 22, 4811);במראה;2;(35, 10, 1, 84, 19775);בשנת שלוש לכורש מלך פרס דבר נגלה לדניאל אשר נקרא שמו בלטשאצר ואמת הדבר וצבא גדול ובין את הדבר ובינה לו במראה
