(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(12534, -100, 4);[40, 300, 10, 8];משיח;3015;(36, 9, 1, 13, 3015);מעמי;3;(36, 9, 1, 56, 12534);וככלות אלה נגשו אלי השרים לאמר לא נבדלו העם ישראל והכהנים והלוים מעמי הארצות כתועבתיהם לכנעני החתי הפרזי היבוסי העמני המאבי המצרי והאמרי
(13895, -96, 4);[40, 300, 10, 8];משיח;3325;(36, 10, 2, 15, 3325);מעמי;3;(36, 10, 2, 68, 13895);ויען שכניה בן יחיאל מבני עולם ויאמר לעזרא אנחנו מעלנו באלהינו ונשב נשים נכריות מעמי הארץ ועתה יש מקוה לישראל על זאת
(7815, -93, 4);[40, 300, 10, 8];משיח;1891;(36, 6, 10, 7, 1891);ומצלין;2;(36, 6, 10, 30, 7815);די להון מהקרבין ניחוחין לאלה שמיא ומצלין לחיי מלכא ובנוהי
(4743, -74, 4);[40, 300, 10, 8];משיח;1127;(36, 4, 10, 2, 1127);אמיא;2;(36, 4, 10, 6, 4743);ושאר אמיא די הגלי אסנפר רבא ויקירא והותב המו בקריה די שמרין ושאר עבר נהרה וכענת
(10675, -72, 4);[40, 300, 10, 8];משיח;2595;(36, 8, 7, 2, 2595);עילם;4;(36, 8, 7, 9, 10675);ומבני עילם ישעיה בן עתליה ועמו שבעים הזכרים
(1580, -71, 4);[40, 300, 10, 8];משיח;381;(36, 2, 30, 3, 381);מאה;1;(36, 2, 30, 9, 1580);בני מגביש מאה חמשים וששה
(13396, -54, 4);[40, 300, 10, 8];משיח;3211;(36, 9, 11, 24, 3211);בטמאתם;6;(36, 9, 11, 97, 13396);אשר צוית ביד עבדיך הנביאים לאמר הארץ אשר אתם באים לרשתה ארץ נדה היא בנדת עמי הארצות בתועבתיהם אשר מלאוה מפה אל פה בטמאתם
(10592, -51, 4);[40, 300, 10, 8];משיח;2576;(36, 8, 4, 8, 2576);מאתים;5;(36, 8, 4, 36, 10592);מבני פחת מואב אליהועיני בן זרחיה ועמו מאתים הזכרים
(10553, -38, 4);[40, 300, 10, 8];משיח;2568;(36, 8, 3, 10, 2568);וחמשים;3;(36, 8, 3, 43, 10553);מבני שכניה מבני פרעש זכריה ועמו התיחש לזכרים מאה וחמשים
(11403, -30, 4);[40, 300, 10, 8];משיח;2754;(36, 8, 20, 9, 2754);מאתים;1;(36, 8, 20, 41, 11403);ומן הנתינים שנתן דויד והשרים לעבדת הלוים נתינים מאתים ועשרים כלם נקבו בשמות
