(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(24817, -100, 4);[40, 300, 10, 8];משיח;6322;(6, 15, 55, 1, 6322);מעון;1;(6, 15, 55, 1, 24817);מעון כרמל וזיף ויוטה
(35917, -100, 4);[40, 300, 10, 8];משיח;9087;(6, 22, 31, 1, 9087);ויאמר;4;(6, 22, 31, 4, 35917);ויאמר פינחס בן אלעזר הכהן אל בני ראובן ואל בני גד ואל בני מנשה היום ידענו כי בתוכנו יהוה אשר לא מעלתם ביהוה המעל הזה אז הצלתם את בני ישראל מיד יהוה
(92135, -100, 4);[40, 300, 10, 8];משיח;23340;(8, 10, 5, 7, 23340);שם;2;(8, 10, 5, 24, 92135);אחר כן תבוא גבעת האלהים אשר שם נצבי פלשתים ויהי כבאך שם העיר ופגעת חבל נביאים ירדים מהבמה ולפניהם נבל ותף וחליל וכנור והמה מתנבאים
(234912, -100, 4);[40, 300, 10, 8];משיח;60471;(11, 7, 9, 11, 60471);יום;3;(11, 7, 9, 38, 234912);ויאמרו איש אל רעהו לא כן אנחנו עשים היום הזה יום בשרה הוא ואנחנו מחשים וחכינו עד אור הבקר ומצאנו עוון ועתה לכו ונבאה ונגידה בית המלך
(276850, -100, 4);[40, 300, 10, 8];משיח;71163;(12, 6, 12, 4, 71163);האדם;4;(12, 6, 12, 14, 276850);ורחק יהוה את האדם ורבה העזובה בקרב הארץ
(310718, -100, 4);[40, 300, 10, 8];משיח;79856;(12, 40, 26, 16, 79856);ואמיץ;3;(12, 40, 26, 62, 310718);שאו מרום עיניכם וראו מי ברא אלה המוציא במספר צבאם לכלם בשם יקרא מרב אונים ואמיץ כח איש לא נעדר
(333076, -100, 4);[40, 300, 10, 8];משיח;85444;(12, 62, 10, 12, 85444);הרימו;4;(12, 62, 10, 46, 333076);עברו עברו בשערים פנו דרך העם סלו סלו המסלה סקלו מאבן הרימו נס על העמים
(337490, -100, 4);[40, 300, 10, 8];משיח;86554;(12, 66, 22, 12, 86554);נאם;3;(12, 66, 22, 48, 337490);כי כאשר השמים החדשים והארץ החדשה אשר אני עשה עמדים לפני נאם יהוה כן יעמד זרעכם ושמכם
(340026, -100, 4);[40, 300, 10, 8];משיח;87205;(13, 2, 25, 12, 87205);ואחריהם;7;(13, 2, 25, 54, 340026);מנעי רגלך מיחף וגורנך מצמאה ותאמרי נואש לוא כי אהבתי זרים ואחריהם אלך
(497236, -100, 4);[40, 300, 10, 8];משיח;127208;(15, 1, 4, 1, 127208);ויאמר;4;(15, 1, 4, 4, 497236);ויאמר יהוה אליו קרא שמו יזרעאל כי עוד מעט ופקדתי את דמי יזרעאל על בית יהוא והשבתי ממלכות בית ישראל
(194479, -99, 4);[40, 300, 10, 8];משיח;49979;(10, 10, 2, 16, 49979);שלמה;3;(10, 10, 2, 62, 194479);ותבא ירושלמה בחיל כבד מאד גמלים נשאים בשמים וזהב רב מאד ואבן יקרה ותבא אל שלמה ותדבר אליו את כל אשר היה עם לבבה
(198212, -99, 4);[40, 300, 10, 8];משיח;50951;(10, 11, 34, 5, 50951);הממלכה;2;(10, 11, 34, 12, 198212);ולא אקח את כל הממלכה מידו כי נשיא אשתנו כל ימי חייו למען דוד עבדי אשר בחרתי אתו אשר שמר מצותי וחקתי
(224804, -99, 4);[40, 300, 10, 8];משיח;57866;(11, 2, 7, 6, 57866);ויעמדו;4;(11, 2, 7, 28, 224804);וחמשים איש מבני הנביאים הלכו ויעמדו מנגד מרחוק ושניהם עמדו על הירדן
(327652, -99, 4);[40, 300, 10, 8];משיח;84106;(12, 57, 4, 2, 84106);מי;1;(12, 57, 4, 3, 327652);על מי תתענגו על מי תרחיבו פה תאריכו לשון הלוא אתם ילדי פשע זרע שקר
(380653, -99, 4);[40, 300, 10, 8];משיח;97669;(13, 29, 25, 12, 97669);בשמכה;3;(13, 29, 25, 43, 380653);כה אמר יהוה צבאות אלהי ישראל לאמר יען אשר אתה שלחת בשמכה ספרים אל כל העם אשר בירושלם ואל צפניה בן מעשיה הכהן ואל כל הכהנים לאמר
(46612, -98, 4);[40, 300, 10, 8];משיח;11793;(7, 4, 21, 24, 11793);וימת;3;(7, 4, 21, 90, 46612);ותקח יעל אשת חבר את יתד האהל ותשם את המקבת בידה ותבוא אליו בלאט ותתקע את היתד ברקתו ותצנח בארץ והוא נרדם ויעף וימת
(131712, -98, 4);[40, 300, 10, 8];משיח;33615;(9, 2, 4, 5, 33615);שם;2;(9, 2, 4, 22, 131712);ויבאו אנשי יהודה וימשחו שם את דוד למלך על בית יהודה ויגדו לדוד לאמר אנשי יביש גלעד אשר קברו את שאול
(205440, -98, 4);[40, 300, 10, 8];משיח;52848;(10, 15, 4, 2, 52848);למען;2;(10, 15, 4, 4, 205440);כי למען דוד נתן יהוה אלהיו לו ניר בירושלם להקים את בנו אחריו ולהעמיד את ירושלם
(224694, -98, 4);[40, 300, 10, 8];משיח;57838;(11, 2, 5, 20, 57838);גם;2;(11, 2, 5, 80, 224694);ויגשו בני הנביאים אשר ביריחו אל אלישע ויאמרו אליו הידעת כי היום יהוה לקח את אדניך מעל ראשך ויאמר גם אני ידעתי החשו
(237302, -98, 4);[40, 300, 10, 8];משיח;61099;(11, 8, 23, 9, 61099);כתובים;6;(11, 8, 23, 33, 237302);ויתר דברי יורם וכל אשר עשה הלוא הם כתובים על ספר דברי הימים למלכי יהודה
(248665, -98, 4);[40, 300, 10, 8];משיח;64001;(11, 14, 26, 8, 64001);מאד;1;(11, 14, 26, 23, 248665);כי ראה יהוה את עני ישראל מרה מאד ואפס עצור ואפס עזוב ואין עזר לישראל
(265006, -98, 4);[40, 300, 10, 8];משיח;68190;(11, 23, 5, 19, 68190);ולמזלות;3;(11, 23, 5, 86, 265006);והשבית את הכמרים אשר נתנו מלכי יהודה ויקטר בבמות בערי יהודה ומסבי ירושלם ואת המקטרים לבעל לשמש ולירח ולמזלות ולכל צבא השמים
(351718, -98, 4);[40, 300, 10, 8];משיח;90217;(13, 9, 20, 9, 90217);מחוץ;1;(13, 9, 20, 39, 351718);כי עלה מות בחלונינו בא בארמנותינו להכרית עולל מחוץ בחורים מרחבות
