(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(13384, -100, 4);[40, 300, 10, 8];משיח;3404;(8, 10, 5, 7, 3404);שם;2;(8, 10, 5, 24, 13384);אחר כן תבוא גבעת האלהים אשר שם נצבי פלשתים ויהי כבאך שם העיר ופגעת חבל נביאים ירדים מהבמה ולפניהם נבל ותף וחליל וכנור והמה מתנבאים
(52961, -98, 4);[40, 300, 10, 8];משיח;13679;(9, 2, 4, 5, 13679);שם;2;(9, 2, 4, 22, 52961);ויבאו אנשי יהודה וימשחו שם את דוד למלך על בית יהודה ויגדו לדוד לאמר אנשי יביש גלעד אשר קברו את שאול
(30886, -94, 4);[40, 300, 10, 8];משיח;7872;(8, 18, 30, 3, 7872);פלשתים;6;(8, 18, 30, 14, 30886);ויצאו שרי פלשתים ויהי מדי צאתם שכל דוד מכל עבדי שאול וייקר שמו מאד
(48824, -94, 4);[40, 300, 10, 8];משיח;12618;(8, 30, 3, 10, 12618);ובניהם;6;(8, 30, 3, 43, 48824);ויבא דוד ואנשיו אל העיר והנה שרופה באש ונשיהם ובניהם ובנתיהם נשבו
(30693, -93, 4);[40, 300, 10, 8];משיח;7822;(8, 18, 27, 1, 7822);ויקם;4;(8, 18, 27, 4, 30693);ויקם דוד וילך הוא ואנשיו ויך בפלשתים מאתים איש ויבא דוד את ערלתיהם וימלאום למלך להתחתן במלך ויתן לו שאול את מיכל בתו לאשה
(88778, -93, 4);[40, 300, 10, 8];משיח;23071;(9, 22, 6, 4, 23071);קדמני;3;(9, 22, 6, 15, 88778);חבלי שאול סבני קדמני מקשי מות
(79377, -91, 4);[40, 300, 10, 8];משיח;20594;(9, 17, 20, 16, 20594);המים;2;(9, 17, 20, 70, 79377);ויבאו עבדי אבשלום אל האשה הביתה ויאמרו איה אחימעץ ויהונתן ותאמר להם האשה עברו מיכל המים ויבקשו ולא מצאו וישבו ירושלם
(83534, -89, 4);[40, 300, 10, 8];משיח;21688;(9, 19, 19, 10, 21688);ושמעי;3;(9, 19, 19, 42, 83534);ועברה העברה לעביר את בית המלך ולעשות הטוב בעינו ושמעי בן גרא נפל לפני המלך בעברו בירדן
(5771, -88, 4);[40, 300, 10, 8];משיח;1503;(8, 4, 14, 6, 1503);ויאמר;4;(8, 4, 14, 22, 5771);וישמע עלי את קול הצעקה ויאמר מה קול ההמון הזה והאיש מהר ויבא ויגד לעלי
(40903, -88, 4);[40, 300, 10, 8];משיח;10541;(8, 25, 3, 15, 10541);מעללים;1;(8, 25, 3, 53, 40903);ושם האיש נבל ושם אשתו אבגיל והאשה טובת שכל ויפת תאר והאיש קשה ורע מעללים והוא כלבו
(2820, -87, 4);[40, 300, 10, 8];משיח;745;(8, 2, 23, 13, 745);מאת;1;(8, 2, 23, 49, 2820);ויאמר להם למה תעשון כדברים האלה אשר אנכי שמע את דבריכם רעים מאת כל העם אלה
(26436, -87, 4);[40, 300, 10, 8];משיח;6741;(8, 17, 15, 4, 6741);מעל;1;(8, 17, 15, 11, 26436);ודוד הלך ושב מעל שאול לרעות את צאן אביו בית לחם
(58230, -87, 4);[40, 300, 10, 8];משיח;15054;(9, 5, 2, 1, 15054);גם;2;(9, 5, 2, 2, 58230);גם אתמול גם שלשום בהיות שאול מלך עלינו אתה הייתה מוציא והמבי את ישראל ויאמר יהוה לך אתה תרעה את עמי את ישראל ואתה תהיה לנגיד על ישראל
(39619, -86, 4);[40, 300, 10, 8];משיח;10196;(8, 24, 5, 22, 10196);ויקם;4;(8, 24, 5, 83, 39619);ויאמרו אנשי דוד אליו הנה היום אשר אמר יהוה אליך הנה אנכי נתן את איביך בידך ועשית לו כאשר יטב בעיניך ויקם דוד ויכרת את כנף המעיל אשר לשאול בלט
(3469, -84, 4);[40, 300, 10, 8];משיח;916;(8, 2, 33, 14, 916);מרבית;1;(8, 2, 33, 49, 3469);ואיש לא אכרית לך מעם מזבחי לכלות את עיניך ולאדיב את נפשך וכל מרבית ביתך ימותו אנשים
(45786, -80, 4);[40, 300, 10, 8];משיח;11836;(8, 27, 7, 9, 11836);ימים;4;(8, 27, 7, 36, 45786);ויהי מספר הימים אשר ישב דוד בשדה פלשתים ימים וארבעה חדשים
(35310, -78, 4);[40, 300, 10, 8];משיח;9060;(8, 21, 5, 18, 9060);נשמרו;3;(8, 21, 5, 51, 35310);ויען הכהן את דוד ויאמר אין לחם חל אל תחת ידי כי אם לחם קדש יש אם נשמרו הנערים אך מאשה
(22825, -77, 4);[40, 300, 10, 8];משיח;5821;(8, 15, 12, 7, 5821);לשמואל;3;(8, 15, 12, 30, 22825);וישכם שמואל לקראת שאול בבקר ויגד לשמואל לאמר בא שאול הכרמלה והנה מציב לו יד ויסב ויעבר וירד הגלגל
(42395, -76, 4);[40, 300, 10, 8];משיח;10934;(8, 25, 26, 19, 10934);והמבקשים;3;(8, 25, 26, 71, 42395);ועתה אדני חי יהוה וחי נפשך אשר מנעך יהוה מבוא בדמים והושע ידך לך ועתה יהיו כנבל איביך והמבקשים אל אדני רעה
(51541, -76, 4);[40, 300, 10, 8];משיח;13312;(9, 1, 4, 1, 13312);ויאמר;4;(9, 1, 4, 4, 51541);ויאמר אליו דוד מה היה הדבר הגד נא לי ויאמר אשר נס העם מן המלחמה וגם הרבה נפל מן העם וימתו וגם שאול ויהונתן בנו מתו
(53961, -75, 4);[40, 300, 10, 8];משיח;13932;(9, 2, 20, 4, 13932);ויאמר;4;(9, 2, 20, 17, 53961);ויפן אבנר אחריו ויאמר האתה זה עשהאל ויאמר אנכי
(90330, -75, 4);[40, 300, 10, 8];משיח;23462;(9, 23, 5, 10, 23462);שם;2;(9, 23, 5, 26, 90330);כי לא כן ביתי עם אל כי ברית עולם שם לי ערוכה בכל ושמרה כי כל ישעי וכל חפץ כי לא יצמיח
(89949, -74, 4);[40, 300, 10, 8];משיח;23364;(9, 22, 46, 5, 23364);ממסגרותם;2;(9, 22, 46, 18, 89949);בני נכר יבלו ויחגרו ממסגרותם
(35914, -72, 4);[40, 300, 10, 8];משיח;9227;(8, 21, 14, 3, 9227);טעמו;3;(8, 21, 14, 10, 35914);וישנו את טעמו בעיניהם ויתהלל בידם ויתו על דלתות השער ויורד רירו אל זקנו
