(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(62629, -100, 4);[40, 300, 10, 8];משיח;16232;(11, 7, 9, 11, 16232);יום;3;(11, 7, 9, 38, 62629);ויאמרו איש אל רעהו לא כן אנחנו עשים היום הזה יום בשרה הוא ואנחנו מחשים וחכינו עד אור הבקר ומצאנו עוון ועתה לכו ונבאה ונגידה בית המלך
(22196, -99, 4);[40, 300, 10, 8];משיח;5740;(10, 10, 2, 16, 5740);שלמה;3;(10, 10, 2, 62, 22196);ותבא ירושלמה בחיל כבד מאד גמלים נשאים בשמים וזהב רב מאד ואבן יקרה ותבא אל שלמה ותדבר אליו את כל אשר היה עם לבבה
(25929, -99, 4);[40, 300, 10, 8];משיח;6712;(10, 11, 34, 5, 6712);הממלכה;2;(10, 11, 34, 12, 25929);ולא אקח את כל הממלכה מידו כי נשיא אשתנו כל ימי חייו למען דוד עבדי אשר בחרתי אתו אשר שמר מצותי וחקתי
(52521, -99, 4);[40, 300, 10, 8];משיח;13627;(11, 2, 7, 6, 13627);ויעמדו;4;(11, 2, 7, 28, 52521);וחמשים איש מבני הנביאים הלכו ויעמדו מנגד מרחוק ושניהם עמדו על הירדן
(33157, -98, 4);[40, 300, 10, 8];משיח;8609;(10, 15, 4, 2, 8609);למען;2;(10, 15, 4, 4, 33157);כי למען דוד נתן יהוה אלהיו לו ניר בירושלם להקים את בנו אחריו ולהעמיד את ירושלם
(52411, -98, 4);[40, 300, 10, 8];משיח;13599;(11, 2, 5, 20, 13599);גם;2;(11, 2, 5, 80, 52411);ויגשו בני הנביאים אשר ביריחו אל אלישע ויאמרו אליו הידעת כי היום יהוה לקח את אדניך מעל ראשך ויאמר גם אני ידעתי החשו
(65019, -98, 4);[40, 300, 10, 8];משיח;16860;(11, 8, 23, 9, 16860);כתובים;6;(11, 8, 23, 33, 65019);ויתר דברי יורם וכל אשר עשה הלוא הם כתובים על ספר דברי הימים למלכי יהודה
(76382, -98, 4);[40, 300, 10, 8];משיח;19762;(11, 14, 26, 8, 19762);מאד;1;(11, 14, 26, 23, 76382);כי ראה יהוה את עני ישראל מרה מאד ואפס עצור ואפס עזוב ואין עזר לישראל
(92723, -98, 4);[40, 300, 10, 8];משיח;23951;(11, 23, 5, 19, 23951);ולמזלות;3;(11, 23, 5, 86, 92723);והשבית את הכמרים אשר נתנו מלכי יהודה ויקטר בבמות בערי יהודה ומסבי ירושלם ואת המקטרים לבעל לשמש ולירח ולמזלות ולכל צבא השמים
(11040, -96, 4);[40, 300, 10, 8];משיח;2901;(10, 6, 7, 7, 2901);ומקבות;2;(10, 6, 7, 27, 11040);והבית בהבנתו אבן שלמה מסע נבנה ומקבות והגרזן כל כלי ברזל לא נשמע בבית בהבנתו
