(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(12534, -100, 4);[40, 300, 10, 8];משיח;3015;(36, 9, 1, 13, 3015);מעמי;3;(36, 9, 1, 56, 12534);וככלות אלה נגשו אלי השרים לאמר לא נבדלו העם ישראל והכהנים והלוים מעמי הארצות כתועבתיהם לכנעני החתי הפרזי היבוסי העמני המאבי המצרי והאמרי
(13895, -96, 4);[40, 300, 10, 8];משיח;3325;(36, 10, 2, 15, 3325);מעמי;3;(36, 10, 2, 68, 13895);ויען שכניה בן יחיאל מבני עולם ויאמר לעזרא אנחנו מעלנו באלהינו ונשב נשים נכריות מעמי הארץ ועתה יש מקוה לישראל על זאת
(22703, -94, 4);[40, 300, 10, 8];משיח;5433;(37, 5, 18, 16, 5433);ימים;4;(37, 5, 18, 58, 22703);ואשר היה נעשה ליום אחד שור אחד צאן שש בררות וצפרים נעשו לי ובין עשרת ימים בכל יין להרבה ועם זה לחם הפחה לא בקשתי כי כבדה העבדה על העם הזה
(7815, -93, 4);[40, 300, 10, 8];משיח;1891;(36, 6, 10, 7, 1891);ומצלין;2;(36, 6, 10, 30, 7815);די להון מהקרבין ניחוחין לאלה שמיא ומצלין לחיי מלכא ובנוהי
(20209, -90, 4);[40, 300, 10, 8];משיח;4850;(37, 3, 36, 7, 4850);חרפתם;5;(37, 3, 36, 29, 20209);שמע אלהינו כי היינו בוזה והשב חרפתם אל ראשם ותנם לבזה בארץ שביה
(25454, -87, 4);[40, 300, 10, 8];משיח;6099;(37, 7, 43, 4, 6099);לקדמיאל;4;(37, 7, 43, 16, 25454);הלוים בני ישוע לקדמיאל לבני להודוה שבעים וארבעה
(33291, -83, 4);[40, 300, 10, 8];משיח;7954;(37, 11, 16, 4, 7954);המלאכה;2;(37, 11, 16, 15, 33291);ושבתי ויוזבד על המלאכה החיצנה לבית האלהים מראשי הלוים
(23994, -79, 4);[40, 300, 10, 8];משיח;5748;(37, 6, 18, 18, 5748);משלם;4;(37, 6, 18, 63, 23994);כי רבים ביהודה בעלי שבועה לו כי חתן הוא לשכניה בן ארח ויהוחנן בנו לקח את בת משלם בן ברכיה
(22220, -78, 4);[40, 300, 10, 8];משיח;5311;(37, 5, 13, 7, 5311);האלהים;6;(37, 5, 13, 29, 22220);גם חצני נערתי ואמרה ככה ינער האלהים את כל האיש אשר לא יקים את הדבר הזה מביתו ומיגיעו וככה יהיה נעור ורק ויאמרו כל הקהל אמן ויהללו את יהוה ויעש העם כדבר הזה
(20656, -76, 4);[40, 300, 10, 8];משיח;4955;(37, 4, 6, 10, 4955);פעמים;3;(37, 4, 6, 43, 20656);ויהי כאשר באו היהודים הישבים אצלם ויאמרו לנו עשר פעמים מכל המקמות אשר תשובו עלינו
