(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(46723, -99, 4);[40, 300, 10, 8];משיח;11287;(39, 2, 13, 32, 11287);וחכמי;4;(39, 2, 13, 130, 46723);בן אשה מן בנות דן ואביו איש צרי יודע לעשות בזהב ובכסף בנחשת בברזל באבנים ובעצים בארגמן בתכלת ובבוץ ובכרמיל ולפתח כל פתוח ולחשב כל מחשבת אשר ינתן לו עם חכמיך וחכמי אדני דויד אביך
(93346, -99, 4);[40, 300, 10, 8];משיח;22613;(39, 33, 22, 17, 22613);ויעבדם;6;(39, 33, 22, 69, 93346);ויעש הרע בעיני יהוה כאשר עשה מנשה אביו ולכל הפסילים אשר עשה מנשה אביו זבח אמון ויעבדם
(7486, -98, 4);[40, 300, 10, 8];משיח;1847;(38, 5, 20, 9, 1847);לאלהים;6;(38, 5, 20, 45, 7486);ויעזרו עליהם וינתנו בידם ההגריאים וכל שעמהם כי לאלהים זעקו במלחמה ונעתור להם כי בטחו בו
(21447, -98, 4);[40, 300, 10, 8];משיח;5213;(38, 13, 5, 15, 5213);האלהים;6;(38, 13, 5, 57, 21447);ויקהל דויד את כל ישראל מן שיחור מצרים ועד לבוא חמת להביא את ארון האלהים מקרית יערים
(12497, -97, 4);[40, 300, 10, 8];משיח;3066;(38, 7, 32, 8, 3066);חותם;4;(38, 7, 32, 29, 12497);וחבר הוליד את יפלט ואת שומר ואת חותם ואת שועא אחותם
(59319, -97, 4);[40, 300, 10, 8];משיח;14417;(39, 11, 3, 13, 14417);לאמר;3;(39, 11, 3, 49, 59319);אמר אל רחבעם בן שלמה מלך יהודה ואל כל ישראל ביהודה ובנימן לאמר
(13107, -96, 4);[40, 300, 10, 8];משיח;3214;(38, 8, 11, 1, 3214);ומחשים;6;(38, 8, 11, 6, 13107);ומחשים הוליד את אביטוב ואת אלפעל
(14967, -94, 4);[40, 300, 10, 8];משיח;3658;(38, 9, 19, 20, 3658);מחנה;1;(38, 9, 19, 78, 14967);ושלום בן קורא בן אביסף בן קרח ואחיו לבית אביו הקרחים על מלאכת העבודה שמרי הספים לאהל ואבתיהם על מחנה יהוה שמרי המבוא
(71139, -93, 4);[40, 300, 10, 8];משיח;17316;(39, 20, 21, 5, 17316);משררים;6;(39, 20, 21, 21, 71139);ויועץ אל העם ויעמד משררים ליהוה ומהללים להדרת קדש בצאת לפני החלוץ ואמרים הודו ליהוה כי לעולם חסדו
(82093, -93, 4);[40, 300, 10, 8];משיח;19988;(39, 28, 2, 8, 19988);לבעלים;6;(39, 28, 2, 35, 82093);וילך בדרכי מלכי ישראל וגם מסכות עשה לבעלים
(87826, -92, 4);[40, 300, 10, 8];משיח;21339;(39, 30, 24, 19, 21339);אלפים;5;(39, 30, 24, 79, 87826);כי חזקיהו מלך יהודה הרים לקהל אלף פרים ושבעת אלפים צאן והשרים הרימו לקהל פרים אלף וצאן עשרת אלפים ויתקדשו כהנים לרב
(7607, -91, 4);[40, 300, 10, 8];משיח;1876;(38, 5, 22, 7, 1876);המלחמה;2;(38, 5, 22, 26, 7607);כי חללים רבים נפלו כי מהאלהים המלחמה וישבו תחתיהם עד הגלה
(17065, -89, 4);[40, 300, 10, 8];משיח;4167;(38, 11, 2, 28, 4167);עמי;2;(38, 11, 2, 100, 17065);גם תמול גם שלשום גם בהיות שאול מלך אתה המוציא והמביא את ישראל ויאמר יהוה אלהיך לך אתה תרעה את עמי את ישראל ואתה תהיה נגיד על עמי ישראל
(56681, -89, 4);[40, 300, 10, 8];משיח;13761;(39, 9, 11, 5, 13761);האלגומים;6;(39, 9, 11, 19, 56681);ויעש המלך את עצי האלגומים מסלות לבית יהוה ולבית המלך וכנרות ונבלים לשרים ולא נראו כהם לפנים בארץ יהודה
(10011, -88, 4);[40, 300, 10, 8];משיח;2479;(38, 6, 47, 4, 2479);ממטה;2;(38, 6, 47, 20, 10011);ולבני גרשום למשפחותם ממטה יששכר וממטה אשר וממטה נפתלי וממטה מנשה בבשן ערים שלש עשרה
(72705, -88, 4);[40, 300, 10, 8];משיח;17691;(39, 21, 9, 3, 17691);עם;2;(39, 21, 9, 12, 72705);ויעבר יהורם עם שריו וכל הרכב עמו ויהי קם לילה ויך את אדום הסובב אליו ואת שרי הרכב
(38100, -86, 4);[40, 300, 10, 8];משיח;9243;(38, 26, 12, 2, 9243);מחלקות;1;(38, 26, 12, 5, 38100);לאלה מחלקות השערים לראשי הגברים משמרות לעמת אחיהם לשרת בבית יהוה
(87563, -86, 4);[40, 300, 10, 8];משיח;21279;(39, 30, 21, 13, 21279);ומהללים;7;(39, 30, 21, 61, 87563);ויעשו בני ישראל הנמצאים בירושלם את חג המצות שבעת ימים בשמחה גדולה ומהללים ליהוה יום ביום הלוים והכהנים בכלי עז ליהוה
(90112, -86, 4);[40, 300, 10, 8];משיח;21840;(39, 32, 8, 11, 21840);העם;3;(39, 32, 8, 53, 90112);עמו זרוע בשר ועמנו יהוה אלהינו לעזרנו ולהלחם מלחמתנו ויסמכו העם על דברי יחזקיהו מלך יהודה
(11440, -85, 4);[40, 300, 10, 8];משיח;2809;(38, 7, 8, 11, 2809);ועלמת;4;(38, 7, 8, 59, 11440);ובני בכר זמירה ויועש ואליעזר ואליועיני ועמרי וירמות ואביה וענתות ועלמת כל אלה בני בכר
(13008, -85, 4);[40, 300, 10, 8];משיח;3187;(38, 8, 8, 7, 3187);אתם;3;(38, 8, 8, 28, 13008);ושחרים הוליד בשדה מואב מן שלחו אתם חושים ואת בערא נשיו
(37212, -85, 4);[40, 300, 10, 8];משיח;9045;(38, 25, 20, 6, 9045);שנים;4;(38, 25, 20, 26, 37212);לשלשה עשר שובאל בניו ואחיו שנים עשר
(82111, -83, 4);[40, 300, 10, 8];משיח;19993;(39, 28, 3, 5, 19993);הנם;3;(39, 28, 3, 18, 82111);והוא הקטיר בגיא בן הנם ויבער את בניו באש כתעבות הגוים אשר הריש יהוה מפני בני ישראל
(4051, -82, 4);[40, 300, 10, 8];משיח;1022;(38, 3, 6, 2, 1022);ואלישמע;6;(38, 3, 6, 11, 4051);ויבחר ואלישמע ואליפלט
(11174, -82, 4);[40, 300, 10, 8];משיח;2753;(38, 7, 4, 4, 2753);אבותם;5;(38, 7, 4, 22, 11174);ועליהם לתלדותם לבית אבותם גדודי צבא מלחמה שלשים וששה אלף כי הרבו נשים ובנים
(15110, -81, 4);[40, 300, 10, 8];משיח;3691;(38, 9, 22, 14, 3691);ושמואל;3;(38, 9, 22, 63, 15110);כלם הברורים לשערים בספים מאתים ושנים עשר המה בחצריהם התיחשם המה יסד דויד ושמואל הראה באמונתם
(77673, -81, 4);[40, 300, 10, 8];משיח;18919;(39, 24, 24, 22, 18919);שפטים;5;(39, 24, 24, 80, 77673);כי במצער אנשים באו חיל ארם ויהוה נתן בידם חיל לרב מאד כי עזבו את יהוה אלהי אבותיהם ואת יואש עשו שפטים
(21829, -80, 4);[40, 300, 10, 8];משיח;5306;(38, 13, 11, 14, 5306);היום;4;(38, 13, 11, 51, 21829);ויחר לדויד כי פרץ יהוה פרץ בעזא ויקרא למקום ההוא פרץ עזא עד היום הזה
(61132, -80, 4);[40, 300, 10, 8];משיח;14863;(39, 12, 13, 12, 14863);במלכו;2;(39, 12, 13, 51, 61132);ויתחזק המלך רחבעם בירושלם וימלך כי בן ארבעים ואחת שנה רחבעם במלכו ושבע עשרה שנה מלך בירושלם העיר אשר בחר יהוה לשום את שמו שם מכל שבטי ישראל ושם אמו נעמה העמנית
(86992, -79, 4);[40, 300, 10, 8];משיח;21144;(39, 30, 12, 5, 21144);האלהים;6;(39, 30, 12, 20, 86992);גם ביהודה היתה יד האלהים לתת להם לב אחד לעשות מצות המלך והשרים בדבר יהוה
(85235, -78, 4);[40, 300, 10, 8];משיח;20744;(39, 29, 22, 8, 20744);המזבחה;2;(39, 29, 22, 35, 85235);וישחטו הבקר ויקבלו הכהנים את הדם ויזרקו המזבחה וישחטו האלים ויזרקו הדם המזבחה וישחטו הכבשים ויזרקו הדם המזבחה
(96488, -78, 4);[40, 300, 10, 8];משיח;23367;(39, 35, 8, 3, 23367);לעם;3;(39, 35, 8, 13, 96488);ושריו לנדבה לעם לכהנים וללוים הרימו חלקיה וזכריהו ויחיאל נגידי בית האלהים לכהנים נתנו לפסחים אלפים ושש מאות ובקר שלש מאות
(86802, -77, 4);[40, 300, 10, 8];משיח;21101;(39, 30, 9, 9, 21101);שוביהם;6;(39, 30, 9, 41, 86802);כי בשובכם על יהוה אחיכם ובניכם לרחמים לפני שוביהם ולשוב לארץ הזאת כי חנון ורחום יהוה אלהיכם ולא יסיר פנים מכם אם תשובו אליו
(98134, -77, 4);[40, 300, 10, 8];משיח;23737;(39, 36, 4, 13, 23737);יהויקים;7;(39, 36, 4, 55, 98134);וימלך מלך מצרים את אליקים אחיו על יהודה וירושלם ויסב את שמו יהויקים ואת יואחז אחיו לקח נכו ויביאהו מצרימה
(89203, -76, 4);[40, 300, 10, 8];משיח;21632;(39, 31, 16, 4, 21632);מבן;1;(39, 31, 16, 17, 89203);מלבד התיחשם לזכרים מבן שלוש שנים ולמעלה לכל הבא לבית יהוה לדבר יום ביומו לעבודתם במשמרותם כמחלקותיהם
(97780, -76, 4);[40, 300, 10, 8];משיח;23658;(39, 35, 25, 5, 23658);ויאמרו;4;(39, 35, 25, 24, 97780);ויקונן ירמיהו על יאשיהו ויאמרו כל השרים והשרות בקינותיהם על יאשיהו עד היום ויתנום לחק על ישראל והנם כתובים על הקינות
(8969, -75, 4);[40, 300, 10, 8];משיח;2202;(38, 6, 17, 14, 2202);בירושלם;7;(38, 6, 17, 56, 8969);ויהיו משרתים לפני משכן אהל מועד בשיר עד בנות שלמה את בית יהוה בירושלם ויעמדו כמשפטם על עבודתם
(11816, -75, 4);[40, 300, 10, 8];משיח;2898;(38, 7, 16, 7, 2898);שמו;2;(38, 7, 16, 24, 11816);ותלד מעכה אשת מכיר בן ותקרא שמו פרש ושם אחיו שרש ובניו אולם ורקם
(39285, -74, 4);[40, 300, 10, 8];משיח;9503;(38, 27, 1, 25, 9503);עשרים;5;(38, 27, 1, 116, 39285);ובני ישראל למספרם ראשי האבות ושרי האלפים והמאות ושטריהם המשרתים את המלך לכל דבר המחלקות הבאה והיצאת חדש בחדש לכל חדשי השנה המחלקת האחת עשרים וארבעה אלף
(84609, -74, 4);[40, 300, 10, 8];משיח;20598;(39, 29, 14, 3, 20598);הימן;3;(39, 29, 14, 9, 84609);ומן בני הימן יחואל ושמעי ומן בני ידותון שמעיה ועזיאל
(97429, -74, 4);[40, 300, 10, 8];משיח;23576;(39, 35, 21, 3, 23576);מלאכים;1;(39, 35, 21, 10, 97429);וישלח אליו מלאכים לאמר מה לי ולך מלך יהודה לא עליך אתה היום כי אל בית מלחמתי ואלהים אמר לבהלני חדל לך מאלהים אשר עמי ואל ישחיתך
(38197, -73, 4);[40, 300, 10, 8];משיח;9263;(38, 26, 14, 3, 9263);מזרחה;1;(38, 26, 14, 10, 38197);ויפל הגורל מזרחה לשלמיהו וזכריהו בנו יועץ בשכל הפילו גורלות ויצא גורלו צפונה
(47937, -73, 4);[40, 300, 10, 8];משיח;11575;(39, 3, 16, 10, 11575);מאה;1;(39, 3, 16, 41, 47937);ויעש שרשרות בדביר ויתן על ראש העמדים ויעש רמונים מאה ויתן בשרשרות
(4021, -72, 4);[40, 300, 10, 8];משיח;1015;(38, 3, 5, 8, 1015);ושלמה;4;(38, 3, 5, 36, 4021);ואלה נולדו לו בירושלים שמעא ושובב ונתן ושלמה ארבעה לבת שוע בת עמיאל
(48545, -72, 4);[40, 300, 10, 8];משיח;11721;(39, 4, 8, 9, 11721);משמאול;1;(39, 4, 8, 38, 48545);ויעש שלחנות עשרה וינח בהיכל חמשה מימין וחמשה משמאול ויעש מזרקי זהב מאה
