(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(1574, -100, 4);[40, 300, 10, 8];משיח;372;(4, 1, 37, 5, 372);ושלשים;6;(4, 1, 37, 25, 1574);פקדיהם למטה בנימן חמשה ושלשים אלף וארבע מאות
(47270, -97, 4);[40, 300, 10, 8];משיח;12278;(4, 26, 59, 19, 12278);מרים;1;(4, 26, 59, 65, 47270);ושם אשת עמרם יוכבד בת לוי אשר ילדה אתה ללוי במצרים ותלד לעמרם את אהרן ואת משה ואת מרים אחתם
(11354, -92, 4);[40, 300, 10, 8];משיח;2866;(4, 6, 15, 9, 2866);משחים;5;(4, 6, 15, 37, 11354);וסל מצות סלת חלת בלולת בשמן ורקיקי מצות משחים בשמן ומנחתם ונסכיהם
(22328, -92, 4);[40, 300, 10, 8];משיח;5730;(4, 11, 35, 1, 5730);מקברות;1;(4, 11, 35, 1, 22328);מקברות התאוה נסעו העם חצרות ויהיו בחצרות
(51474, -92, 4);[40, 300, 10, 8];משיח;13327;(4, 29, 26, 2, 13327);החמישי;3;(4, 29, 26, 8, 51474);וביום החמישי פרים תשעה אילם שנים כבשים בני שנה ארבעה עשר תמימם
(7878, -87, 4);[40, 300, 10, 8];משיח;1953;(4, 4, 30, 7, 1953);חמשים;2;(4, 4, 30, 23, 7878);מבן שלשים שנה ומעלה ועד בן חמשים שנה תפקדם כל הבא לצבא לעבד את עבדת אהל מועד
(49648, -87, 4);[40, 300, 10, 8];משיח;12896;(4, 28, 18, 6, 12896);מלאכת;1;(4, 28, 18, 20, 49648);ביום הראשון מקרא קדש כל מלאכת עבדה לא תעשו
(15000, -86, 4);[40, 300, 10, 8];משיח;3822;(4, 7, 71, 2, 3822);השלמים;6;(4, 7, 71, 11, 15000);ולזבח השלמים בקר שנים אילם חמשה עתדים חמשה כבשים בני שנה חמשה זה קרבן אחיעזר בן עמישדי
(50470, -86, 4);[40, 300, 10, 8];משיח;13096;(4, 29, 6, 4, 13096);ומנחתה;2;(4, 29, 6, 13, 50470);מלבד עלת החדש ומנחתה ועלת התמיד ומנחתה ונסכיהם כמשפטם לריח ניחח אשה ליהוה
(3986, -85, 4);[40, 300, 10, 8];משיח;954;(4, 3, 3, 5, 954);הכהנים;6;(4, 3, 3, 20, 3986);אלה שמות בני אהרן הכהנים המשחים אשר מלא ידם לכהן
(27629, -85, 4);[40, 300, 10, 8];משיח;7143;(4, 15, 16, 6, 7143);לכם;3;(4, 15, 16, 22, 27629);תורה אחת ומשפט אחד יהיה לכם ולגר הגר אתכם
(50761, -85, 4);[40, 300, 10, 8];משיח;13165;(4, 29, 11, 10, 13165);ומנחתה;2;(4, 29, 11, 40, 50761);שעיר עזים אחד חטאת מלבד חטאת הכפרים ועלת התמיד ומנחתה ונסכיהם
(5198, -84, 4);[40, 300, 10, 8];משיח;1260;(4, 3, 31, 1, 1260);ומשמרתם;2;(4, 3, 31, 2, 5198);ומשמרתם הארן והשלחן והמנרה והמזבחת וכלי הקדש אשר ישרתו בהם והמסך וכל עבדתו
(20427, -83, 4);[40, 300, 10, 8];משיח;5222;(4, 11, 3, 8, 5222);בם;2;(4, 11, 3, 29, 20427);ויקרא שם המקום ההוא תבערה כי בערה בם אש יהוה
(1259, -82, 4);[40, 300, 10, 8];משיח;299;(4, 1, 31, 1, 299);פקדיהם;6;(4, 1, 31, 6, 1259);פקדיהם למטה זבולן שבעה וחמשים אלף וארבע מאות
(46463, -82, 4);[40, 300, 10, 8];משיח;12094;(4, 26, 41, 4, 12094);למשפחתם;2;(4, 26, 41, 13, 46463);אלה בני בנימן למשפחתם ופקדיהם חמשה וארבעים אלף ושש מאות
(13388, -81, 4);[40, 300, 10, 8];משיח;3400;(4, 7, 31, 19, 3400);בשמן;3;(4, 7, 31, 76, 13388);קרבנו קערת כסף אחת שלשים ומאה משקלה מזרק אחד כסף שבעים שקל בשקל הקדש שניהם מלאים סלת בלולה בשמן למנחה
(45526, -81, 4);[40, 300, 10, 8];משיח;11893;(4, 26, 20, 4, 11893);למשפחתם;2;(4, 26, 20, 15, 45526);ויהיו בני יהודה למשפחתם לשלה משפחת השלני לפרץ משפחת הפרצי לזרח משפחת הזרחי
(13630, -79, 4);[40, 300, 10, 8];משיח;3462;(4, 7, 37, 15, 3462);שניהם;5;(4, 7, 37, 60, 13630);קרבנו קערת כסף אחת שלשים ומאה משקלה מזרק אחד כסף שבעים שקל בשקל הקדש שניהם מלאים סלת בלולה בשמן למנחה
(27293, -76, 4);[40, 300, 10, 8];משיח;7054;(4, 15, 8, 11, 7054);שלמים;5;(4, 15, 8, 34, 27293);וכי תעשה בן בקר עלה או זבח לפלא נדר או שלמים ליהוה
(6287, -73, 4);[40, 300, 10, 8];משיח;1528;(4, 3, 51, 15, 1528);משה;1;(4, 3, 51, 50, 6287);ויתן משה את כסף הפדים לאהרן ולבניו על פי יהוה כאשר צוה יהוה את משה
