(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(1607, -98, 4);[40, 300, 10, 8];משיח;415;(9, 2, 4, 5, 415);שם;2;(9, 2, 4, 22, 1607);ויבאו אנשי יהודה וימשחו שם את דוד למלך על בית יהודה ויגדו לדוד לאמר אנשי יביש גלעד אשר קברו את שאול
(37424, -93, 4);[40, 300, 10, 8];משיח;9807;(9, 22, 6, 4, 9807);קדמני;3;(9, 22, 6, 15, 37424);חבלי שאול סבני קדמני מקשי מות
(28023, -91, 4);[40, 300, 10, 8];משיח;7330;(9, 17, 20, 16, 7330);המים;2;(9, 17, 20, 70, 28023);ויבאו עבדי אבשלום אל האשה הביתה ויאמרו איה אחימעץ ויהונתן ותאמר להם האשה עברו מיכל המים ויבקשו ולא מצאו וישבו ירושלם
(32180, -89, 4);[40, 300, 10, 8];משיח;8424;(9, 19, 19, 10, 8424);ושמעי;3;(9, 19, 19, 42, 32180);ועברה העברה לעביר את בית המלך ולעשות הטוב בעינו ושמעי בן גרא נפל לפני המלך בעברו בירדן
(6876, -87, 4);[40, 300, 10, 8];משיח;1790;(9, 5, 2, 1, 1790);גם;2;(9, 5, 2, 2, 6876);גם אתמול גם שלשום בהיות שאול מלך עלינו אתה הייתה מוציא והמבי את ישראל ויאמר יהוה לך אתה תרעה את עמי את ישראל ואתה תהיה לנגיד על ישראל
(2607, -75, 4);[40, 300, 10, 8];משיח;668;(9, 2, 20, 4, 668);ויאמר;4;(9, 2, 20, 17, 2607);ויפן אבנר אחריו ויאמר האתה זה עשהאל ויאמר אנכי
(38976, -75, 4);[40, 300, 10, 8];משיח;10198;(9, 23, 5, 10, 10198);שם;2;(9, 23, 5, 26, 38976);כי לא כן ביתי עם אל כי ברית עולם שם לי ערוכה בכל ושמרה כי כל ישעי וכל חפץ כי לא יצמיח
(38595, -74, 4);[40, 300, 10, 8];משיח;10100;(9, 22, 46, 5, 10100);ממסגרותם;2;(9, 22, 46, 18, 38595);בני נכר יבלו ויחגרו ממסגרותם
(22293, -71, 4);[40, 300, 10, 8];משיח;5833;(9, 14, 26, 7, 5833);לימים;5;(9, 14, 26, 28, 22293);ובגלחו את ראשו והיה מקץ ימים לימים אשר יגלח כי כבד עליו וגלחו ושקל את שער ראשו מאתים שקלים באבן המלך
(39808, -70, 4);[40, 300, 10, 8];משיח;10411;(9, 23, 18, 18, 10411);שם;2;(9, 23, 18, 63, 39808);ואבישי אחי יואב בן צרויה הוא ראש השלשי והוא עורר את חניתו על שלש מאות חלל ולו שם בשלשה
(1205, -66, 4);[40, 300, 10, 8];משיח;318;(9, 1, 23, 5, 318);בחייהם;6;(9, 1, 23, 31, 1205);שאול ויהונתן הנאהבים והנעימם בחייהם ובמותם לא נפרדו מנשרים קלו מאריות גברו
(27474, -63, 4);[40, 300, 10, 8];משיח;7197;(9, 17, 14, 1, 7197);ויאמר;4;(9, 17, 14, 4, 27474);ויאמר אבשלום וכל איש ישראל טובה עצת חושי הארכי מעצת אחיתפל ויהוה צוה להפר את עצת אחיתפל הטובה לבעבור הביא יהוה אל אבשלום את הרעה
(38499, -60, 4);[40, 300, 10, 8];משיח;10076;(9, 22, 43, 6, 10076);אדקם;4;(9, 22, 43, 26, 38499);ואשחקם כעפר ארץ כטיט חוצות אדקם ארקעם
(14268, -59, 4);[40, 300, 10, 8];משיח;3705;(9, 10, 16, 15, 3705);לפניהם;6;(9, 10, 16, 62, 14268);וישלח הדדעזר ויצא את ארם אשר מעבר הנהר ויבאו חילם ושובך שר צבא הדדעזר לפניהם
