(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(6106, -100, 4);[40, 300, 10, 8];משיח;1504;(12, 6, 12, 4, 1504);האדם;4;(12, 6, 12, 14, 6106);ורחק יהוה את האדם ורבה העזובה בקרב הארץ
(62321, -100, 4);[40, 300, 10, 8];משיח;15779;(12, 62, 10, 12, 15779);הרימו;4;(12, 62, 10, 46, 62321);עברו עברו בשערים פנו דרך העם סלו סלו המסלה סקלו מאבן הרימו נס על העמים
(66733, -100, 4);[40, 300, 10, 8];משיח;16889;(12, 66, 22, 12, 16889);נאם;3;(12, 66, 22, 48, 66733);כי כאשר השמים החדשים והארץ החדשה אשר אני עשה עמדים לפני נאם יהוה כן יעמד זרעכם ושמכם
(56899, -99, 4);[40, 300, 10, 8];משיח;14441;(12, 57, 4, 2, 14441);מי;1;(12, 57, 4, 3, 56899);על מי תתענגו על מי תרחיבו פה תאריכו לשון הלוא אתם ילדי פשע זרע שקר
(48739, -96, 4);[40, 300, 10, 8];משיח;12369;(12, 48, 5, 4, 12369);בטרם;4;(12, 48, 5, 14, 48739);ואגיד לך מאז בטרם תבוא השמעתיך פן תאמר עצבי עשם ופסלי ונסכי צום
(48516, -94, 4);[40, 300, 10, 8];משיח;12317;(12, 48, 1, 1, 12317);שמעו;2;(12, 48, 1, 2, 48516);שמעו זאת בית יעקב הנקראים בשם ישראל וממי יהודה יצאו הנשבעים בשם יהוה ובאלהי ישראל יזכירו לא באמת ולא בצדקה
(64286, -94, 4);[40, 300, 10, 8];משיח;16272;(12, 65, 8, 2, 16272);אמר;2;(12, 65, 8, 4, 64286);כה אמר יהוה כאשר ימצא התירוש באשכול ואמר אל תשחיתהו כי ברכה בו כן אעשה למען עבדי לבלתי השחית הכל
(35377, -93, 4);[40, 300, 10, 8];משיח;9012;(12, 37, 7, 6, 9012);שמועה;2;(12, 37, 7, 19, 35377);הנני נותן בו רוח ושמע שמועה ושב אל ארצו והפלתיו בחרב בארצו
(50612, -92, 4);[40, 300, 10, 8];משיח;12835;(12, 49, 20, 8, 12835);המקום;5;(12, 49, 20, 31, 50612);עוד יאמרו באזניך בני שכליך צר לי המקום גשה לי ואשבה
(55158, -92, 4);[40, 300, 10, 8];משיח;13995;(12, 54, 14, 8, 13995);וממחתה;3;(12, 54, 14, 31, 55158);בצדקה תכונני רחקי מעשק כי לא תיראי וממחתה כי לא תקרב אליך
(61122, -89, 4);[40, 300, 10, 8];משיח;15478;(12, 61, 1, 10, 15478);ענוים;5;(12, 61, 1, 36, 61122);רוח אדני יהוה עלי יען משח יהוה אתי לבשר ענוים שלחני לחבש לנשברי לב לקרא לשבוים דרור ולאסורים פקח קוח
(64798, -88, 4);[40, 300, 10, 8];משיח;16394;(12, 65, 16, 6, 16394);אמן;2;(12, 65, 16, 25, 64798);אשר המתברך בארץ יתברך באלהי אמן והנשבע בארץ ישבע באלהי אמן כי נשכחו הצרות הראשנות וכי נסתרו מעיני
