(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(3358, -90, 4);[40, 300, 10, 8];משיח;859;(15, 5, 7, 5, 859);זרים;4;(15, 5, 7, 19, 3358);ביהוה בגדו כי בנים זרים ילדו עתה יאכלם חדש את חלקיהם
(9142, -75, 4);[40, 300, 10, 8];משיח;2320;(15, 14, 5, 3, 2320);אהבם;4;(15, 14, 5, 14, 9142);ארפא משובתם אהבם נדבה כי שב אפי ממנו
(6842, -71, 4);[40, 300, 10, 8];משיח;1746;(15, 10, 11, 3, 1746);מלמדה;1;(15, 10, 11, 11, 6842);ואפרים עגלה מלמדה אהבתי לדוש ואני עברתי על טוב צוארה ארכיב אפרים יחרוש יהודה ישדד לו יעקב
(1802, -51, 4);[40, 300, 10, 8];משיח;457;(15, 2, 24, 9, 457);והם;3;(15, 2, 24, 35, 1802);והארץ תענה את הדגן ואת התירוש ואת היצהר והם יענו את יזרעאל
(2942, -34, 4);[40, 300, 10, 8];משיח;757;(15, 4, 16, 7, 757);ירעם;4;(15, 4, 16, 25, 2942);כי כפרה סררה סרר ישראל עתה ירעם יהוה ככבש במרחב
(4134, -21, 4);[40, 300, 10, 8];משיח;1053;(15, 6, 10, 8, 1053);נטמא;3;(15, 6, 10, 36, 4134);בבית ישראל ראיתי שעריריה שם זנות לאפרים נטמא ישראל
(2969, -19, 4);[40, 300, 10, 8];משיח;763;(15, 4, 17, 3, 763);אפרים;5;(15, 4, 17, 14, 2969);חבור עצבים אפרים הנח לו
(3818, -7, 4);[40, 300, 10, 8];משיח;973;(15, 6, 2, 5, 973);יקמנו;3;(15, 6, 2, 23, 3818);יחינו מימים ביום השלישי יקמנו ונחיה לפניו
(5171, -3, 4);[40, 300, 10, 8];משיח;1324;(15, 8, 7, 12, 1324);קמח;2;(15, 8, 7, 41, 5171);כי רוח יזרעו וסופתה יקצרו קמה אין לו צמח בלי יעשה קמח אולי יעשה זרים יבלעהו
(3825, -7, 5);[5, 40, 300, 10, 8];המשיח;974;(15, 6, 2, 6, 974);ונחיה;5;(15, 6, 2, 30, 3825);יחינו מימים ביום השלישי יקמנו ונחיה לפניו
(9142, -75, 5);[40, 300, 10, 8, 10];משיחי;2320;(15, 14, 5, 3, 2320);אהבם;4;(15, 14, 5, 14, 9142);ארפא משובתם אהבם נדבה כי שב אפי ממנו
(3818, -7, 5);[40, 300, 10, 8, 10];משיחי;973;(15, 6, 2, 5, 973);יקמנו;3;(15, 6, 2, 23, 3818);יחינו מימים ביום השלישי יקמנו ונחיה לפניו
(3358, -90, 5);[40, 300, 10, 8, 6];משיחו;859;(15, 5, 7, 5, 859);זרים;4;(15, 5, 7, 19, 3358);ביהוה בגדו כי בנים זרים ילדו עתה יאכלם חדש את חלקיהם
(5171, -3, 5);[40, 300, 10, 8, 6];משיחו;1324;(15, 8, 7, 12, 1324);קמח;2;(15, 8, 7, 41, 5171);כי רוח יזרעו וסופתה יקצרו קמה אין לו צמח בלי יעשה קמח אולי יעשה זרים יבלעהו
