(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(3851, -92, 4);[40, 300, 10, 8];משיח;952;(16, 4, 21, 2, 952);דמם;2;(16, 4, 21, 8, 3851);ונקיתי דמם לא נקיתי ויהוה שכן בציון
(3469, -78, 4);[40, 300, 10, 8];משיח;861;(16, 4, 14, 2, 861);המונים;6;(16, 4, 14, 12, 3469);המונים המונים בעמק החרוץ כי קרוב יום יהוה בעמק החרוץ
(2872, -76, 4);[40, 300, 10, 8];משיח;717;(16, 4, 2, 18, 717);בגוים;5;(16, 4, 2, 74, 2872);וקבצתי את כל הגוים והורדתים אל עמק יהושפט ונשפטתי עמם שם על עמי ונחלתי ישראל אשר פזרו בגוים ואת ארצי חלקו
(1483, -57, 4);[40, 300, 10, 8];משיח;376;(16, 2, 11, 9, 376);מחנהו;1;(16, 2, 11, 28, 1483);ויהוה נתן קולו לפני חילו כי רב מאד מחנהו כי עצום עשה דברו כי גדול יום יהוה ונורא מאד ומי יכילנו
(3601, -42, 4);[40, 300, 10, 8];משיח;891;(16, 4, 17, 1, 891);וידעתם;6;(16, 4, 17, 6, 3601);וידעתם כי אני יהוה אלהיכם שכן בציון הר קדשי והיתה ירושלם קדש וזרים לא יעברו בה עוד
(2605, -38, 4);[40, 300, 10, 8];משיח;651;(16, 3, 3, 3, 651);בשמים;3;(16, 3, 3, 14, 2605);ונתתי מופתים בשמים ובארץ דם ואש ותימרות עשן
(3089, -19, 4);[40, 300, 10, 8];משיח;769;(16, 4, 6, 8, 769);למען;2;(16, 4, 6, 36, 3089);ובני יהודה ובני ירושלם מכרתם לבני היונים למען הרחיקם מעל גבולם
(1447, -17, 4);[40, 300, 10, 8];משיח;365;(16, 2, 10, 9, 365);וכוכבים;7;(16, 2, 10, 38, 1447);לפניו רגזה ארץ רעשו שמים שמש וירח קדרו וכוכבים אספו נגהם
(3547, -78, 5);[30, 40, 300, 10, 8];למשיח;879;(16, 4, 16, 4, 879);ומירושלם;7;(16, 4, 16, 21, 3547);ויהוה מציון ישאג ומירושלם יתן קולו ורעשו שמים וארץ ויהוה מחסה לעמו ומעוז לבני ישראל
(3851, -92, 5);[40, 300, 10, 8, 6];משיחו;952;(16, 4, 21, 2, 952);דמם;2;(16, 4, 21, 8, 3851);ונקיתי דמם לא נקיתי ויהוה שכן בציון
