(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(35374, -99, 4);[40, 300, 10, 8];משיח;8848;(27, 69, 33, 7, 8848);לבבכם;5;(27, 69, 33, 31, 35374);ראו ענוים ישמחו דרשי אלהים ויחי לבבכם
(16448, -98, 4);[40, 300, 10, 8];משיח;4140;(27, 35, 14, 6, 4140);אם;2;(27, 35, 14, 21, 16448);כרע כאח לי התהלכתי כאבל אם קדר שחותי
(21883, -98, 4);[40, 300, 10, 8];משיח;5498;(27, 44, 6, 6, 5498);קמינו;2;(27, 44, 6, 21, 21883);בך צרינו ננגח בשמך נבוס קמינו
(65252, -98, 4);[40, 300, 10, 8];משיח;16226;(27, 119, 53, 3, 16226);מרשעים;1;(27, 119, 53, 12, 65252);זלעפה אחזתני מרשעים עזבי תורתך
(31424, -95, 4);[40, 300, 10, 8];משיח;7896;(27, 64, 3, 3, 7896);מרעים;1;(27, 64, 3, 12, 31424);תסתירני מסוד מרעים מרגשת פעלי און
(22615, -93, 4);[40, 300, 10, 8];משיח;5674;(27, 45, 3, 11, 5674);לעולם;5;(27, 45, 3, 45, 22615);יפיפית מבני אדם הוצק חן בשפתותיך על כן ברכך אלהים לעולם
(75226, -92, 4);[40, 300, 10, 8];משיח;18712;(27, 142, 5, 9, 18712);ממני;2;(27, 142, 5, 31, 75226);הביט ימין וראה ואין לי מכיר אבד מנוס ממני אין דורש לנפשי
(13620, -91, 4);[40, 300, 10, 8];משיח;3428;(27, 31, 8, 2, 3428);ואשמחה;4;(27, 31, 8, 9, 13620);אגילה ואשמחה בחסדך אשר ראית את עניי ידעת בצרות נפשי
(75329, -90, 4);[40, 300, 10, 8];משיח;18737;(27, 142, 8, 2, 18737);ממסגר;2;(27, 142, 8, 8, 75329);הוציאה ממסגר נפשי להודות את שמך בי יכתרו צדיקים כי תגמל עלי
(36686, -89, 4);[40, 300, 10, 8];משיח;9167;(27, 72, 6, 2, 9167);כמטר;2;(27, 72, 6, 5, 36686);ירד כמטר על גז כרביבים זרזיף ארץ
(75214, -88, 4);[40, 300, 10, 8];משיח;18709;(27, 142, 5, 6, 18709);מכיר;1;(27, 142, 5, 19, 75214);הביט ימין וראה ואין לי מכיר אבד מנוס ממני אין דורש לנפשי
(7052, -81, 4);[40, 300, 10, 8];משיח;1781;(27, 18, 22, 7, 1781);מאלהי;1;(27, 18, 22, 24, 7052);כי שמרתי דרכי יהוה ולא רשעתי מאלהי
(69412, -81, 4);[40, 300, 10, 8];משיח;17236;(27, 124, 7, 3, 17236);נמלטה;2;(27, 124, 7, 12, 69412);נפשנו כצפור נמלטה מפח יוקשים הפח נשבר ואנחנו נמלטנו
(30629, -80, 4);[40, 300, 10, 8];משיח;7689;(27, 62, 3, 5, 7689);משגבי;1;(27, 62, 3, 17, 30629);אך הוא צורי וישועתי משגבי לא אמוט רבה
(12029, -79, 4);[40, 300, 10, 8];משיח;3023;(27, 27, 8, 2, 3023);אמר;2;(27, 27, 8, 4, 12029);לך אמר לבי בקשו פני את פניך יהוה אבקש
(26063, -79, 4);[40, 300, 10, 8];משיח;6541;(27, 51, 16, 2, 6541);מדמים;3;(27, 51, 16, 9, 26063);הצילני מדמים אלהים אלהי תשועתי תרנן לשוני צדקתך
(30543, -79, 4);[40, 300, 10, 8];משיח;7667;(27, 61, 9, 3, 7667);שמך;2;(27, 61, 9, 9, 30543);כן אזמרה שמך לעד לשלמי נדרי יום יום
(55115, -78, 4);[40, 300, 10, 8];משיח;13743;(27, 104, 18, 1, 13743);הרים;4;(27, 104, 18, 4, 55115);הרים הגבהים ליעלים סלעים מחסה לשפנים
(64395, -78, 4);[40, 300, 10, 8];משיח;16027;(27, 119, 19, 6, 16027);ממני;1;(27, 119, 19, 17, 64395);גר אנכי בארץ אל תסתר ממני מצותיך
(26034, -77, 4);[40, 300, 10, 8];משיח;6535;(27, 51, 15, 2, 6535);פשעים;5;(27, 51, 15, 10, 26034);אלמדה פשעים דרכיך וחטאים אליך ישובו
(11610, -76, 4);[40, 300, 10, 8];משיח;2918;(27, 26, 9, 6, 2918);ועם;3;(27, 26, 9, 20, 11610);אל תאסף עם חטאים נפשי ועם אנשי דמים חיי
(28168, -76, 4);[40, 300, 10, 8];משיח;7075;(27, 56, 8, 4, 7075);למו;2;(27, 56, 8, 10, 28168);על און פלט למו באף עמים הורד אלהים
(56409, -76, 4);[40, 300, 10, 8];משיח;14065;(27, 105, 29, 3, 14065);מימיהם;3;(27, 105, 29, 8, 56409);הפך את מימיהם לדם וימת את דגתם
