(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(11485, -100, 4);[40, 300, 10, 8];משיח;2929;(28, 14, 34, 5, 2929);לאמים;5;(28, 14, 34, 21, 11485);צדקה תרומם גוי וחסד לאמים חטאת
(13794, -100, 4);[40, 300, 10, 8];משיח;3541;(28, 17, 13, 1, 3541);משיב;1;(28, 17, 13, 1, 13794);משיב רעה תחת טובה לא תמיש רעה מביתו
(24740, -93, 4);[40, 300, 10, 8];משיח;6450;(28, 30, 5, 7, 6450);לחסים;5;(28, 30, 5, 26, 24740);כל אמרת אלוה צרופה מגן הוא לחסים בו
(18617, -90, 4);[40, 300, 10, 8];משיח;4833;(28, 23, 9, 8, 4833);מליך;1;(28, 23, 9, 26, 18617);באזני כסיל אל תדבר כי יבוז לשכל מליך
(1882, -89, 4);[40, 300, 10, 8];משיח;460;(28, 3, 11, 5, 460);תמאס;2;(28, 3, 11, 15, 1882);מוסר יהוה בני אל תמאס ואל תקץ בתוכחתו
(5429, -88, 4);[40, 300, 10, 8];משיח;1379;(28, 7, 17, 3, 1379);מר;1;(28, 7, 17, 10, 5429);נפתי משכבי מר אהלים וקנמון
(13834, -86, 4);[40, 300, 10, 8];משיח;3552;(28, 17, 14, 4, 3552);מדון;1;(28, 17, 14, 13, 13834);פוטר מים ראשית מדון ולפני התגלע הריב נטוש
(23779, -86, 4);[40, 300, 10, 8];משיח;6199;(28, 29, 1, 8, 6199);מרפא;1;(28, 29, 1, 28, 23779);איש תוכחות מקשה ערף פתע ישבר ואין מרפא
(5850, -78, 4);[40, 300, 10, 8];משיח;1489;(28, 8, 4, 7, 1489);אדם;3;(28, 8, 4, 27, 5850);אליכם אישים אקרא וקולי אל בני אדם
(19398, -78, 4);[40, 300, 10, 8];משיח;5039;(28, 24, 1, 8, 5039);אתם;3;(28, 24, 1, 29, 19398);אל תקנא באנשי רעה ואל תתאו להיות אתם
(9742, -74, 4);[40, 300, 10, 8];משיח;2478;(28, 12, 24, 6, 2478);למס;2;(28, 12, 24, 24, 9742);יד חרוצים תמשול ורמיה תהיה למס
(25566, -74, 4);[40, 300, 10, 8];משיח;6671;(28, 30, 31, 2, 6671);מתנים;1;(28, 30, 31, 6, 25566);זרזיר מתנים או תיש ומלך אלקום עמו
(23405, -71, 4);[40, 300, 10, 8];משיח;6100;(28, 28, 17, 9, 6100);יתמכו;3;(28, 28, 17, 26, 23405);אדם עשק בדם נפש עד בור ינוס אל יתמכו בו
(4646, -67, 4);[40, 300, 10, 8];משיח;1174;(28, 6, 24, 4, 1174);מחלקת;1;(28, 6, 24, 12, 4646);לשמרך מאשת רע מחלקת לשון נכריה
