(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(8231, -100, 4);[40, 300, 10, 8];משיח;2166;(29, 11, 10, 1, 2166);אם;2;(29, 11, 10, 2, 8231);אם יחלף ויסגיר ויקהיל ומי ישיבנו
(31141, -98, 4);[40, 300, 10, 8];משיח;8159;(29, 42, 7, 14, 8159);התימני;4;(29, 42, 7, 52, 31141);ויהי אחר דבר יהוה את הדברים האלה אל איוב ויאמר יהוה אל אליפז התימני חרה אפי בך ובשני רעיך כי לא דברתם אלי נכונה כעבדי איוב
(24629, -97, 4);[40, 300, 10, 8];משיח;6436;(29, 34, 12, 2, 6436);אמנם;2;(29, 34, 12, 4, 24629);אף אמנם אל לא ירשיע ושדי לא יעות משפט
(4361, -96, 4);[40, 300, 10, 8];משיח;1136;(29, 6, 4, 4, 1136);עמדי;2;(29, 6, 4, 10, 4361);כי חצי שדי עמדי אשר חמתם שתה רוחי בעותי אלוה יערכוני
(25637, -93, 4);[40, 300, 10, 8];משיח;6716;(29, 35, 10, 2, 6716);אמר;2;(29, 35, 10, 5, 25637);ולא אמר איה אלוה עשי נתן זמרות בלילה
(6943, -84, 4);[40, 300, 10, 8];משיח;1832;(29, 9, 22, 9, 1832);מכלה;1;(29, 9, 22, 25, 6943);אחת היא על כן אמרתי תם ורשע הוא מכלה
(21977, -70, 4);[40, 300, 10, 8];משיח;5728;(29, 31, 17, 7, 5728);ממנה;2;(29, 31, 17, 23, 21977);ואכל פתי לבדי ולא אכל יתום ממנה
(6899, -68, 4);[40, 300, 10, 8];משיח;1817;(29, 9, 21, 1, 1817);תם;2;(29, 9, 21, 2, 6899);תם אני לא אדע נפשי אמאס חיי
(20665, -64, 4);[40, 300, 10, 8];משיח;5385;(29, 30, 1, 9, 5385);אבותם;5;(29, 30, 1, 39, 20665);ועתה שחקו עלי צעירים ממני לימים אשר מאסתי אבותם לשית עם כלבי צאני
(15268, -63, 4);[40, 300, 10, 8];משיח;3985;(29, 21, 11, 4, 3985);וילדיהם;7;(29, 21, 11, 23, 15268);ישלחו כצאן עויליהם וילדיהם ירקדון
(27135, -60, 4);[40, 300, 10, 8];משיח;7121;(29, 37, 15, 2, 7121);בשום;4;(29, 37, 15, 8, 27135);התדע בשום אלוה עליהם והפיע אור עננו
(20877, -57, 4);[40, 300, 10, 8];משיח;5441;(29, 30, 9, 2, 5441);נגינתם;6;(29, 30, 9, 10, 20877);ועתה נגינתם הייתי ואהי להם למלה
(23860, -57, 4);[40, 300, 10, 8];משיח;6233;(29, 33, 17, 5, 6233);מגבר;1;(29, 33, 17, 17, 23860);להסיר אדם מעשה וגוה מגבר יכסה
(9001, -55, 4);[40, 300, 10, 8];משיח;2372;(29, 12, 16, 6, 2372);ומשגה;2;(29, 12, 16, 18, 9001);עמו עז ותושיה לו שגג ומשגה
(30938, -52, 4);[40, 300, 10, 8];משיח;8104;(29, 42, 1, 5, 8104);ויאמר;4;(29, 42, 1, 18, 30938);ויען איוב את יהוה ויאמר
(5989, -49, 4);[40, 300, 10, 8];משיח;1571;(29, 8, 9, 8, 1571);ימינו;2;(29, 8, 9, 23, 5989);כי תמול אנחנו ולא נדע כי צל ימינו עלי ארץ
(20560, -49, 4);[40, 300, 10, 8];משיח;5360;(29, 29, 24, 2, 5360);אלהם;4;(29, 29, 24, 8, 20560);אשחק אלהם לא יאמינו ואור פני לא יפילון
(4689, -43, 4);[40, 300, 10, 8];משיח;1224;(29, 6, 15, 3, 1224);כמו;2;(29, 6, 15, 9, 4689);אחי בגדו כמו נחל כאפיק נחלים יעברו
(22182, -39, 4);[40, 300, 10, 8];משיח;5781;(29, 31, 25, 1, 5781);אם;2;(29, 31, 25, 2, 22182);אם אשמח כי רב חילי וכי כביר מצאה ידי
(30174, -39, 4);[40, 300, 10, 8];משיח;7909;(29, 40, 30, 6, 7909);כנענים;6;(29, 40, 30, 28, 30174);יכרו עליו חברים יחצוהו בין כנענים
(15131, -38, 4);[40, 300, 10, 8];משיח;3954;(29, 21, 7, 1, 3954);מדוע;1;(29, 21, 7, 1, 15131);מדוע רשעים יחיו עתקו גם גברו חיל
(8680, -34, 4);[40, 300, 10, 8];משיח;2284;(29, 12, 5, 6, 2284);למועדי;2;(29, 12, 5, 23, 8680);לפיד בוז לעשתות שאנן נכון למועדי רגל
(19043, -31, 4);[40, 300, 10, 8];משיח;4978;(29, 27, 20, 2, 4978);כמים;2;(29, 27, 20, 8, 19043);תשיגהו כמים בלהות לילה גנבתו סופה
(15794, -30, 4);[40, 300, 10, 8];משיח;4118;(29, 21, 30, 2, 4118);ליום;4;(29, 21, 30, 6, 15794);כי ליום איד יחשך רע ליום עברות יובלו
(26116, -27, 4);[40, 300, 10, 8];משיח;6842;(29, 36, 11, 5, 6842);ימיהם;2;(29, 36, 11, 19, 26116);אם ישמעו ויעבדו יכלו ימיהם בטוב ושניהם בנעימים
(2040, -26, 4);[40, 300, 10, 8];משיח;537;(29, 2, 12, 17, 537);השמימה;5;(29, 2, 12, 76, 2040);וישאו את עיניהם מרחוק ולא הכירהו וישאו קולם ויבכו ויקרעו איש מעלו ויזרקו עפר על ראשיהם השמימה
(3267, -21, 4);[40, 300, 10, 8];משיח;851;(29, 4, 14, 5, 851);עצמותי;3;(29, 4, 14, 19, 3267);פחד קראני ורעדה ורב עצמותי הפחיד
(2668, -19, 4);[40, 300, 10, 8];משיח;704;(29, 3, 19, 3, 704);שם;2;(29, 3, 19, 10, 2668);קטן וגדול שם הוא ועבד חפשי מאדניו
(26434, -18, 4);[40, 300, 10, 8];משיח;6930;(29, 36, 23, 1, 6930);מי;1;(29, 36, 23, 1, 26434);מי פקד עליו דרכו ומי אמר פעלת עולה
(24621, -14, 4);[40, 300, 10, 8];משיח;6434;(29, 34, 11, 8, 6434);ימצאנו;2;(29, 34, 11, 24, 24621);כי פעל אדם ישלם לו וכארח איש ימצאנו
(18741, -10, 4);[40, 300, 10, 8];משיח;4895;(29, 27, 9, 2, 4895);ישמע;3;(29, 27, 9, 9, 18741);הצעקתו ישמע אל כי תבוא עליו צרה
(20155, -9, 4);[40, 300, 10, 8];משיח;5263;(29, 29, 9, 3, 5263);במלים;2;(29, 29, 9, 10, 20155);שרים עצרו במלים וכף ישימו לפיהם
