(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(1542, -100, 4);[40, 300, 10, 8];משיח;411;(32, 2, 2, 17, 411);ממלכה;2;(32, 2, 2, 58, 1542);בלע אדני לא חמל את כל נאות יעקב הרס בעברתו מבצרי בת יהודה הגיע לארץ חלל ממלכה ושריה
(1701, -98, 4);[40, 300, 10, 8];משיח;453;(32, 2, 5, 8, 453);ארמנותיה;3;(32, 2, 5, 28, 1701);היה אדני כאויב בלע ישראל בלע כל ארמנותיה שחת מבצריו וירב בבת יהודה תאניה ואניה
(1788, -98, 4);[40, 300, 10, 8];משיח;474;(32, 2, 6, 14, 474);מלך;1;(32, 2, 6, 51, 1788);ויחמס כגן שכו שחת מעדו שכח יהוה בציון מועד ושבת וינאץ בזעם אפו מלך וכהן
(4958, -90, 4);[40, 300, 10, 8];משיח;1291;(32, 4, 14, 5, 1291);בדם;3;(32, 4, 14, 22, 4958);נעו עורים בחוצות נגאלו בדם בלא יוכלו יגעו בלבשיהם
(2136, -87, 4);[40, 300, 10, 8];משיח;561;(32, 2, 12, 2, 561);יאמרו;3;(32, 2, 12, 8, 2136);לאמתם יאמרו איה דגן ויין בהתעטפם כחלל ברחבות עיר בהשתפך נפשם אל חיק אמתם
(221, -47, 4);[40, 300, 10, 8];משיח;57;(32, 1, 4, 9, 57);שוממין;3;(32, 1, 4, 34, 221);דרכי ציון אבלות מבלי באי מועד כל שעריה שוממין כהניה נאנחים בתולתיה נוגות והיא מר לה
(2076, -43, 4);[40, 300, 10, 8];משיח;546;(32, 2, 11, 4, 546);חמרמרו;2;(32, 2, 11, 15, 2076);כלו בדמעות עיני חמרמרו מעי נשפך לארץ כבדי על שבר בת עמי בעטף עולל ויונק ברחבות קריה
(2989, -41, 4);[40, 300, 10, 8];משיח;787;(32, 3, 6, 1, 787);במחשכים;7;(32, 3, 6, 7, 2989);במחשכים הושיבני כמתי עולם
(4802, -38, 4);[40, 300, 10, 8];משיח;1253;(32, 4, 10, 11, 1253);עמי;2;(32, 4, 10, 43, 4802);ידי נשים רחמניות בשלו ילדיהן היו לברות למו בשבר בת עמי
(3546, -37, 4);[40, 300, 10, 8];משיח;928;(32, 3, 31, 4, 928);לעולם;5;(32, 3, 31, 13, 3546);כי לא יזנח לעולם אדני
(4334, -37, 4);[40, 300, 10, 8];משיח;1135;(32, 3, 66, 3, 1135);ותשמידם;4;(32, 3, 66, 11, 4334);תרדף באף ותשמידם מתחת שמי יהוה
(622, -26, 4);[40, 300, 10, 8];משיח;166;(32, 1, 10, 11, 166);מקדשה;1;(32, 1, 10, 32, 622);ידו פרש צר על כל מחמדיה כי ראתה גוים באו מקדשה אשר צויתה לא יבאו בקהל לך
(5856, -26, 4);[40, 300, 10, 8];משיח;1512;(32, 5, 18, 5, 1512);שועלים;6;(32, 5, 18, 18, 5856);על הר ציון ששמם שועלים הלכו בו
(3172, -23, 4);[40, 300, 10, 8];משיח;832;(32, 3, 14, 5, 832);נגינתם;6;(32, 3, 14, 20, 3172);הייתי שחק לכל עמי נגינתם כל היום
(2187, -10, 4);[40, 300, 10, 8];משיח;573;(32, 2, 12, 14, 573);אמתם;4;(32, 2, 12, 59, 2187);לאמתם יאמרו איה דגן ויין בהתעטפם כחלל ברחבות עיר בהשתפך נפשם אל חיק אמתם
(648, -26, 5);[30, 40, 300, 10, 8];למשיח;173;(32, 1, 11, 1, 173);כל;2;(32, 1, 11, 2, 648);כל עמה נאנחים מבקשים לחם נתנו מחמודיהם באכל להשיב נפש ראה יהוה והביטה כי הייתי זוללה
(5882, -26, 5);[30, 40, 300, 10, 8];למשיח;1520;(32, 5, 19, 6, 1520);לדור;1;(32, 5, 19, 20, 5882);אתה יהוה לעולם תשב כסאך לדור ודור
(2076, -43, 5);[40, 300, 10, 8, 10];משיחי;546;(32, 2, 11, 4, 546);חמרמרו;2;(32, 2, 11, 15, 2076);כלו בדמעות עיני חמרמרו מעי נשפך לארץ כבדי על שבר בת עמי בעטף עולל ויונק ברחבות קריה
(2187, -10, 5);[40, 300, 10, 8, 10];משיחי;573;(32, 2, 12, 14, 573);אמתם;4;(32, 2, 12, 59, 2187);לאמתם יאמרו איה דגן ויין בהתעטפם כחלל ברחבות עיר בהשתפך נפשם אל חיק אמתם
(1542, -100, 5);[40, 300, 10, 8, 20];משיחך;411;(32, 2, 2, 17, 411);ממלכה;2;(32, 2, 2, 58, 1542);בלע אדני לא חמל את כל נאות יעקב הרס בעברתו מבצרי בת יהודה הגיע לארץ חלל ממלכה ושריה
(622, -26, 5);[40, 300, 10, 8, 6];משיחו;166;(32, 1, 10, 11, 166);מקדשה;1;(32, 1, 10, 32, 622);ידו פרש צר על כל מחמדיה כי ראתה גוים באו מקדשה אשר צויתה לא יבאו בקהל לך
(648, -26, 6);[30, 40, 300, 10, 8, 6];למשיחו;173;(32, 1, 11, 1, 173);כל;2;(32, 1, 11, 2, 648);כל עמה נאנחים מבקשים לחם נתנו מחמודיהם באכל להשיב נפש ראה יהוה והביטה כי הייתי זוללה
