(n, d, k);[Gematria of ELS];ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(471, -97, 4);[40, 300, 10, 8];משיח;127;(33, 1, 12, 4, 127);מלך;1;(33, 1, 12, 13, 471);אני קהלת הייתי מלך על ישראל בירושלם
(2930, -92, 4);[40, 300, 10, 8];משיח;785;(33, 3, 17, 17, 785);שם;2;(33, 3, 17, 58, 2930);אמרתי אני בלבי את הצדיק ואת הרשע ישפט האלהים כי עת לכל חפץ ועל כל המעשה שם
(7581, -87, 4);[40, 300, 10, 8];משיח;2090;(33, 8, 15, 15, 2090);ולשמוח;4;(33, 8, 15, 54, 7581);ושבחתי אני את השמחה אשר אין טוב לאדם תחת השמש כי אם לאכל ולשתות ולשמוח והוא ילונו בעמלו ימי חייו אשר נתן לו האלהים תחת השמש
(8256, -83, 4);[40, 300, 10, 8];משיח;2275;(33, 9, 7, 3, 2275);בשמחה;3;(33, 9, 7, 8, 8256);לך אכל בשמחה לחמך ושתה בלב טוב יינך כי כבר רצה האלהים את מעשיך
(4036, -81, 4);[40, 300, 10, 8];משיח;1098;(33, 4, 17, 9, 1098);לשמע;3;(33, 4, 17, 34, 4036);שמר רגליך כאשר תלך אל בית האלהים וקרוב לשמע מתת הכסילים זבח כי אינם יודעים לעשות רע
(6160, -75, 4);[40, 300, 10, 8];משיח;1693;(33, 7, 14, 21, 1693);מאומה;1;(33, 7, 14, 70, 6160);ביום טובה היה בטוב וביום רעה ראה גם את זה לעמת זה עשה האלהים על דברת שלא ימצא האדם אחריו מאומה
(6688, -73, 4);[40, 300, 10, 8];משיח;1838;(33, 7, 27, 4, 1838);אמרה;2;(33, 7, 27, 12, 6688);ראה זה מצאתי אמרה קהלת אחת לאחת למצא חשבון
(8319, -71, 4);[40, 300, 10, 8];משיח;2292;(33, 9, 8, 6, 2292);ושמן;3;(33, 9, 8, 22, 8319);בכל עת יהיו בגדיך לבנים ושמן על ראשך אל יחסר
(1869, -70, 4);[40, 300, 10, 8];משיח;490;(33, 2, 19, 13, 490);השמש;3;(33, 2, 19, 51, 1869);ומי יודע החכם יהיה או סכל וישלט בכל עמלי שעמלתי ושחכמתי תחת השמש גם זה הבל
(3290, -69, 4);[40, 300, 10, 8];משיח;885;(33, 4, 1, 16, 885);מנחם;1;(33, 4, 1, 60, 3290);ושבתי אני ואראה את כל העשקים אשר נעשים תחת השמש והנה דמעת העשקים ואין להם מנחם ומיד עשקיהם כח ואין להם מנחם
(9515, -61, 4);[40, 300, 10, 8];משיח;2606;(33, 10, 16, 4, 2606);שמלכך;2;(33, 10, 16, 9, 9515);אי לך ארץ שמלכך נער ושריך בבקר יאכלו
(3593, -37, 4);[40, 300, 10, 8];משיח;975;(33, 4, 8, 14, 975);גם;2;(33, 4, 8, 39, 3593);יש אחד ואין שני גם בן ואח אין לו ואין קץ לכל עמלו גם עיניו לא תשבע עשר ולמי אני עמל ומחסר את נפשי מטובה גם זה הבל וענין רע הוא
